edge_id,node_a,node_b,seam_length_px,mean_continuity_discontinuity_score,max_continuity_discontinuity_score,collider_flip_count,domain_flip_count,path_length_delta_mean,path_length_delta_max,step_count_delta_mean,step_count_delta_max,boundary_event_delta_mean,boundary_event_delta_max
1,0,1,2684,2.853027,3.0,2684,0,2.252499,19.345872,301.719821,700.0,0.0,0.0
2,0,2,7,0.0,0.0,7,0,,,253.0,253.0,0.0,0.0
3,0,3,52,3.0,3.0,52,0,,,476.5,700.0,0.0,0.0
4,0,4,171,3.0,3.0,171,0,7.385984,19.324761,468.140351,700.0,0.0,0.0
5,0,5,52,3.0,3.0,52,0,,,476.0,700.0,0.0,0.0
6,0,6,171,3.0,3.0,171,0,7.398491,19.345872,467.649123,700.0,0.0,0.0
7,0,7,52,3.0,3.0,52,0,,,473.0,694.0,0.0,0.0
8,0,8,171,3.0,3.0,171,0,7.328289,19.118531,464.701754,694.0,0.0,0.0
9,0,9,52,3.0,3.0,52,0,,,440.0,628.0,0.0,0.0
10,0,10,171,3.0,3.0,171,0,6.453858,16.478788,432.280702,628.0,0.0,0.0
11,0,11,187,3.0,3.0,187,0,,,365.71123,571.0,0.0,0.0
12,0,12,171,3.0,3.0,171,0,5.710041,14.231715,404.280702,571.0,0.0,0.0
13,0,14,171,3.0,3.0,171,0,5.078414,12.322406,380.210526,523.0,0.0,0.0
14,0,15,171,3.0,3.0,171,0,4.541856,10.69986,360.070175,482.0,0.0,0.0
15,0,16,171,3.0,3.0,171,0,4.085873,9.320869,343.368421,448.0,0.0,0.0
16,0,17,171,3.0,3.0,171,0,3.698063,8.148552,328.631579,418.0,0.0,0.0
17,0,18,171,3.0,3.0,171,0,3.36666,7.147792,316.350877,393.0,0.0,0.0
18,0,19,106,3.0,3.0,106,0,,,303.613208,371.0,0.0,0.0
19,0,20,171,3.0,3.0,171,0,3.084227,6.296458,305.54386,371.0,0.0,0.0
20,0,21,171,3.0,3.0,171,0,2.843159,5.571873,296.701754,353.0,0.0,0.0
21,0,22,171,3.0,3.0,171,0,2.636977,4.954795,289.333333,338.0,0.0,0.0
22,0,23,106,3.0,3.0,106,0,,,283.254717,325.0,0.0,0.0
23,0,24,171,3.0,3.0,171,0,2.460195,4.428803,282.947368,325.0,0.0,0.0
24,0,25,171,3.0,3.0,171,0,2.306908,3.976345,277.052632,313.0,0.0,0.0
25,0,26,171,3.0,3.0,171,0,2.174555,3.589739,272.631579,304.0,0.0,0.0
26,0,27,52,3.0,3.0,52,0,,,273.5,296.0,0.0,0.0
27,0,28,171,3.0,3.0,171,0,2.059729,3.258873,268.701754,296.0,0.0,0.0
28,0,29,52,3.0,3.0,52,0,,,270.0,289.0,0.0,0.0
29,0,30,171,3.0,3.0,171,0,1.959529,2.975112,265.263158,289.0,0.0,0.0
30,0,31,52,3.0,3.0,52,0,,,267.0,283.0,0.0,0.0
31,0,32,171,3.0,3.0,171,0,1.871527,2.731133,262.315789,283.0,0.0,0.0
32,0,33,52,3.0,3.0,52,0,,,264.5,278.0,0.0,0.0
33,0,34,167,3.0,3.0,167,0,1.792481,2.517337,260.071856,278.0,0.0,0.0
34,0,35,4,0.0,0.0,4,0,,,251.0,251.0,0.0,0.0
35,0,36,52,3.0,3.0,52,0,,,262.0,273.0,0.0,0.0
36,0,37,75,3.0,3.0,75,0,,,261.853333,273.0,0.0,0.0
37,0,38,8,3.0,3.0,8,0,,,264.75,273.0,0.0,0.0
38,0,39,88,3.0,3.0,88,0,1.721951,2.332333,252.943182,273.0,0.0,0.0
39,0,40,52,3.0,3.0,52,0,,,260.5,270.0,0.0,0.0
40,0,41,171,3.0,3.0,171,0,1.658373,2.171539,255.929825,270.0,0.0,0.0
41,0,42,52,3.0,3.0,52,0,,,259.0,267.0,0.0,0.0
42,0,43,171,3.0,3.0,171,0,1.600477,2.031049,254.45614,267.0,0.0,0.0
43,0,44,52,3.0,3.0,52,0,,,257.5,264.0,0.0,0.0
44,0,45,171,3.0,3.0,171,0,1.547141,1.907574,252.982456,264.0,0.0,0.0
45,0,46,52,3.0,3.0,52,0,,,256.5,262.0,0.0,0.0
46,0,47,171,3.0,3.0,171,0,1.494874,1.798326,252.0,262.0,0.0,0.0
47,0,48,52,3.0,3.0,52,0,,,255.0,260.0,0.0,0.0
48,0,49,171,3.0,3.0,171,0,1.445494,1.701732,250.526316,260.0,0.0,0.0
49,1,2,9,1.218783,1.224511,9,0,0.102515,0.116835,0.0,0.0,0.0,0.0
50,1,3,3,1.178801,1.178808,3,0,0.002559,0.002576,0.0,0.0,0.0,0.0
51,1,5,3,1.178803,1.178806,3,0,0.002563,0.002572,0.0,0.0,0.0,0.0
52,1,7,3,1.178801,1.178805,3,0,0.002559,0.002568,0.0,0.0,0.0,0.0
53,1,9,3,1.178803,1.178804,3,0,0.002564,0.002565,0.0,0.0,0.0,0.0
54,1,11,23,1.178802,1.17881,23,0,0.002561,0.002581,0.0,0.0,0.0,0.0
55,1,13,20,2.326694,3.029963,20,0,0.066734,0.084429,73.3,271.0,0.0,0.0
56,1,19,11,1.178803,1.178807,11,0,0.002564,0.002573,0.0,0.0,0.0,0.0
57,1,23,11,1.178804,1.178807,11,0,0.002565,0.002573,0.0,0.0,0.0,0.0
58,1,27,3,1.178802,1.178805,3,0,0.002561,0.002569,0.0,0.0,0.0,0.0
59,1,29,3,1.178798,1.178799,3,0,0.00255,0.002555,0.0,0.0,0.0,0.0
60,1,31,3,1.178804,1.178808,3,0,0.002567,0.002576,0.0,0.0,0.0,0.0
61,1,33,3,1.178803,1.178808,3,0,0.002563,0.002577,0.0,0.0,0.0,0.0
62,1,36,3,1.178804,1.17881,3,0,0.002567,0.002581,0.0,0.0,0.0,0.0
63,1,40,3,1.178798,1.178801,3,0,0.002552,0.00256,0.0,0.0,0.0,0.0
64,1,42,3,1.178801,1.178804,3,0,0.002558,0.002565,0.0,0.0,0.0,0.0
65,1,44,3,1.178798,1.178804,3,0,0.002551,0.002565,0.0,0.0,0.0,0.0
66,1,46,3,1.1788,1.178806,3,0,0.002556,0.002572,0.0,0.0,0.0,0.0
67,1,48,3,1.178805,1.178809,3,0,0.002568,0.002578,0.0,0.0,0.0,0.0
68,3,4,3,1.222576,1.222613,3,0,0.111996,0.112088,0.0,0.0,0.0,0.0
69,5,6,3,1.22246,1.222492,3,0,0.111707,0.111787,0.0,0.0,0.0,0.0
70,7,8,3,1.222351,1.22237,3,0,0.111433,0.111482,0.0,0.0,0.0,0.0
71,9,10,3,1.222254,1.222279,3,0,0.111192,0.111253,0.0,0.0,0.0,0.0
72,11,12,3,1.222164,1.222185,3,0,0.110966,0.11102,0.0,0.0,0.0,0.0
73,11,14,3,1.222086,1.222105,3,0,0.110771,0.110819,0.0,0.0,0.0,0.0
74,11,15,3,1.222018,1.222032,3,0,0.110602,0.110636,0.0,0.0,0.0,0.0
75,11,16,3,1.221965,1.221978,3,0,0.110468,0.110502,0.0,0.0,0.0,0.0
76,11,17,3,1.221905,1.221916,3,0,0.110319,0.110346,0.0,0.0,0.0,0.0
77,11,18,3,1.221875,1.221883,3,0,0.110244,0.110265,0.0,0.0,0.0,0.0
78,19,20,3,1.221841,1.221853,3,0,0.110158,0.110189,0.0,0.0,0.0,0.0
79,19,21,3,1.221827,1.221831,3,0,0.110123,0.110134,0.0,0.0,0.0,0.0
80,19,22,3,1.221815,1.221819,3,0,0.110095,0.110105,0.0,0.0,0.0,0.0
81,23,24,3,1.221819,1.22182,3,0,0.110104,0.110106,0.0,0.0,0.0,0.0
82,23,25,3,1.22183,1.221835,3,0,0.110133,0.110145,0.0,0.0,0.0,0.0
83,23,26,3,1.22185,1.221858,3,0,0.110181,0.110202,0.0,0.0,0.0,0.0
84,27,28,3,1.22188,1.221884,3,0,0.110257,0.110266,0.0,0.0,0.0,0.0
85,29,30,3,1.221917,1.221931,3,0,0.110349,0.110383,0.0,0.0,0.0,0.0
86,31,32,3,1.221975,1.221983,3,0,0.110494,0.110515,0.0,0.0,0.0,0.0
