edge_id,node_a,node_b,seam_length_px,mean_continuity_discontinuity_score,max_continuity_discontinuity_score,collider_flip_count,domain_flip_count,path_length_delta_mean,path_length_delta_max,step_count_delta_mean,step_count_delta_max,boundary_event_delta_mean,boundary_event_delta_max
1,0,1,2775,2.856539,3.0,2775,0,2.246609,19.345872,306.589189,700.0,0.0,0.0
2,0,2,7,0.0,0.0,7,0,,,253.0,253.0,0.0,0.0
3,0,3,52,3.0,3.0,52,0,,,476.5,700.0,0.0,0.0
4,0,4,171,3.0,3.0,171,0,7.385984,19.324761,468.140351,700.0,0.0,0.0
5,0,5,106,3.0,3.0,106,0,,,462.207547,700.0,0.0,0.0
6,0,6,171,3.0,3.0,171,0,7.398491,19.345872,467.649123,700.0,0.0,0.0
7,0,7,171,3.0,3.0,171,0,7.328289,19.118531,464.701754,694.0,0.0,0.0
8,0,8,171,3.0,3.0,171,0,6.453858,16.478788,432.280702,628.0,0.0,0.0
9,0,9,52,3.0,3.0,52,0,,,411.5,571.0,0.0,0.0
10,0,10,171,3.0,3.0,171,0,5.710041,14.231715,404.280702,571.0,0.0,0.0
11,0,12,79,3.0,3.0,79,0,,,372.936709,523.0,0.0,0.0
12,0,13,305,3.0,3.0,305,0,4.810135,12.322406,370.203279,523.0,0.0,0.0
13,0,14,171,3.0,3.0,171,0,4.085873,9.320869,343.368421,448.0,0.0,0.0
14,0,15,106,3.0,3.0,106,0,,,324.09434,418.0,0.0,0.0
15,0,16,171,3.0,3.0,171,0,3.698063,8.148552,328.631579,418.0,0.0,0.0
16,0,17,171,3.0,3.0,171,0,3.36666,7.147792,316.350877,393.0,0.0,0.0
17,0,18,171,3.0,3.0,171,0,3.084227,6.296458,305.54386,371.0,0.0,0.0
18,0,19,79,3.0,3.0,79,0,,,298.886076,353.0,0.0,0.0
19,0,20,171,3.0,3.0,171,0,2.843159,5.571873,296.701754,353.0,0.0,0.0
20,0,21,171,3.0,3.0,171,0,2.636977,4.954795,289.333333,338.0,0.0,0.0
21,0,22,133,3.0,3.0,133,0,,,279.639098,325.0,0.0,0.0
22,0,23,171,3.0,3.0,171,0,2.460195,4.428803,282.947368,325.0,0.0,0.0
23,0,24,241,3.0,3.0,241,0,2.240731,3.976345,273.618257,313.0,0.0,0.0
24,0,25,171,3.0,3.0,171,0,2.059729,3.258873,268.701754,296.0,0.0,0.0
25,0,26,171,3.0,3.0,171,0,1.959529,2.975112,265.263158,289.0,0.0,0.0
26,0,27,79,3.0,3.0,79,0,,,265.151899,283.0,0.0,0.0
27,0,28,301,3.0,3.0,301,0,1.832004,2.731133,260.757475,283.0,0.0,0.0
28,0,29,4,0.0,0.0,4,0,,,251.0,251.0,0.0,0.0
29,0,30,75,3.0,3.0,75,0,,,261.853333,273.0,0.0,0.0
30,0,31,8,3.0,3.0,8,0,,,264.75,273.0,0.0,0.0
31,0,32,88,3.0,3.0,88,0,1.721951,2.332333,252.943182,273.0,0.0,0.0
32,0,33,52,3.0,3.0,52,0,,,260.5,270.0,0.0,0.0
33,0,34,171,3.0,3.0,171,0,1.658373,2.171539,255.929825,270.0,0.0,0.0
34,0,35,79,3.0,3.0,79,0,,,258.075949,267.0,0.0,0.0
35,0,36,305,3.0,3.0,305,0,1.573809,2.031049,253.239344,267.0,0.0,0.0
36,0,37,171,3.0,3.0,171,0,1.494874,1.798326,252.0,262.0,0.0,0.0
37,0,38,26,3.0,3.0,26,0,,,260.0,260.0,0.0,0.0
38,1,2,9,1.218783,1.224511,9,0,0.102515,0.116835,0.0,0.0,0.0,0.0
39,1,3,3,1.178801,1.178808,3,0,0.002559,0.002576,0.0,0.0,0.0,0.0
40,1,5,11,1.178801,1.178806,11,0,0.002559,0.002572,0.0,0.0,0.0,0.0
41,1,9,3,1.1788,1.178801,3,0,0.002558,0.00256,0.0,0.0,0.0,0.0
42,1,11,20,2.326694,3.029963,20,0,0.066734,0.084429,73.3,271.0,0.0,0.0
43,1,12,11,1.178803,1.178809,11,0,0.002563,0.002579,0.0,0.0,0.0,0.0
44,1,15,11,1.178801,1.178807,11,0,0.002558,0.002574,0.0,0.0,0.0,0.0
45,1,19,7,1.178804,1.178806,7,0,0.002565,0.002571,0.0,0.0,0.0,0.0
46,1,22,19,1.178802,1.178807,19,0,0.002562,0.002574,0.0,0.0,0.0,0.0
47,1,27,11,1.178803,1.17881,11,0,0.002564,0.002581,0.0,0.0,0.0,0.0
48,1,33,3,1.178798,1.178801,3,0,0.002552,0.00256,0.0,0.0,0.0,0.0
49,1,35,11,1.1788,1.178806,11,0,0.002557,0.002572,0.0,0.0,0.0,0.0
50,1,38,34,1.228861,1.349511,34,0,0.06337,0.116835,1.647059,8.0,0.0,0.0
51,3,4,3,1.222576,1.222613,3,0,0.111996,0.112088,0.0,0.0,0.0,0.0
