region_id,collider_id,area,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,contour_pixel_count,mean_discontinuity_score,max_discontinuity_score,boundary_flip_count,high_vector_count,boundary_high_vector_density,boundary_aligns_with_high_vector_density
0,26390562202,25,12.0,0.0,0,0,24,0,25,2.017301,2.017301,1,1,0.04,False
1,26289898898,103,76.0,0.0,25,0,127,0,103,2.017301,2.017301,1,1,0.009709,False
2,26390562202,104,12.5,13.5,0,12,25,15,56,2.868078,3.0,30,30,0.535714,True
3,26289898898,330,78.573,13.036,26,12,133,15,219,2.938617,3.0,115,115,0.525114,True
4,26440893853,78,146.5,13.0,134,12,159,14,54,2.897855,3.0,29,29,0.537037,True
5,26390562202,319,12.796,23.555,0,18,26,29,73,2.678702,3.0,40,40,0.547945,True
6,26289898898,1106,76.915,23.465,26,18,133,29,507,2.902465,3.0,271,271,0.534517,True
7,26440893853,78,146.5,19.0,134,18,159,20,54,2.897728,3.0,29,29,0.537037,True
8,26440893853,80,146.162,23.012,133,22,159,24,55,2.873124,3.0,31,31,0.563636,True
9,26440893853,81,146.0,27.0,133,26,159,28,56,2.900396,3.0,30,30,0.535714,True
