x,y,neighbor_x,neighbor_y,collider_change,domain_change,hit_distance_delta,hit_normal_angle_delta,path_length_delta,boundary_event_delta,step_count_delta,ownership_flip_score,total_transport_discontinuity_score
0,11,0,12,1,0,5.550139,0.0,0.0,0,437.0,1.0,3.0
1,11,1,12,1,0,5.576515,0.0,0.0,0,437.0,1.0,3.0
2,11,2,12,1,0,5.603779,0.0,0.0,0,437.0,1.0,3.0
3,11,3,12,1,0,5.631982,0.0,0.0,0,437.0,1.0,3.0
4,11,4,12,1,0,5.661163,0.0,0.0,0,437.0,1.0,3.0
5,11,5,12,1,0,5.691375,0.0,0.0,0,437.0,1.0,3.0
6,11,6,12,1,0,5.722652,0.0,0.0,0,437.0,1.0,3.0
7,11,7,12,1,0,5.755056,0.0,0.0,0,437.0,1.0,3.0
8,11,8,12,1,0,5.788632,0.0,0.0,0,437.0,1.0,3.0
9,11,9,12,1,0,5.823437,0.0,0.0,0,437.0,1.0,3.0
10,11,10,12,1,0,5.859542,0.0,0.0,0,437.0,1.0,3.0
11,11,11,12,1,0,5.897006,0.0,0.0,0,437.0,1.0,3.0
12,11,12,12,1,0,5.93589,0.0,0.0,0,437.0,1.0,3.0
13,11,13,12,1,0,5.976264,0.0,0.0,0,437.0,1.0,3.0
14,11,14,12,1,0,6.018221,0.0,0.0,0,437.0,1.0,3.0
15,11,15,12,1,0,6.061832,0.0,0.0,0,437.0,1.0,3.0
16,11,16,12,1,0,6.107183,0.0,0.0,0,437.0,1.0,3.0
17,11,17,12,1,0,6.154374,0.0,0.0,0,437.0,1.0,3.0
18,11,18,12,1,0,6.2035,0.0,0.0,0,437.0,1.0,3.0
19,11,19,12,1,0,6.254659,0.0,0.0,0,437.0,1.0,3.0
20,11,20,12,1,0,6.307978,0.0,0.0,0,437.0,1.0,3.0
21,11,21,12,1,0,6.363568,0.0,0.0,0,437.0,1.0,3.0
22,11,22,12,1,0,6.421566,0.0,0.0,0,437.0,1.0,3.0
23,11,23,12,1,0,6.482115,0.0,0.0,0,437.0,1.0,3.0
24,11,24,12,1,0,6.545352,0.0,0.0,0,437.0,1.0,3.0
25,11,25,12,1,0,6.611448,0.0,0.0,0,437.0,1.0,3.0
26,11,26,12,1,0,6.569789,0.0,0.0,0,437.0,1.0,3.0
27,11,27,12,1,0,6.516804,0.0,0.0,0,437.0,1.0,3.0
28,11,28,12,1,0,6.464396,0.0,0.0,0,437.0,1.0,3.0
29,11,29,12,1,0,6.412588,0.0,0.0,0,437.0,1.0,3.0
30,11,30,12,1,0,6.361374,0.0,0.0,0,437.0,1.0,3.0
31,11,31,12,1,0,6.310786,0.0,0.0,0,437.0,1.0,3.0
