x,y,neighbor_x,neighbor_y,collider_change,domain_change,hit_distance_delta,hit_normal_angle_delta,path_length_delta,boundary_event_delta,step_count_delta,ownership_flip_score,total_transport_discontinuity_score
0,11,0,12,1,0,5.550143,0.0,0.0,0,437.0,1.0,3.0
1,11,1,12,1,0,5.576514,0.0,0.0,0,437.0,1.0,3.0
2,11,2,12,1,0,5.603782,0.0,0.0,0,437.0,1.0,3.0
3,11,3,12,1,0,5.631985,0.0,0.0,0,437.0,1.0,3.0
4,11,4,12,1,0,5.661171,0.0,0.0,0,437.0,1.0,3.0
5,11,5,12,1,0,5.691377,0.0,0.0,0,437.0,1.0,3.0
6,11,6,12,1,0,5.722656,0.0,0.0,0,437.0,1.0,3.0
7,11,7,12,1,0,5.755056,0.0,0.0,0,437.0,1.0,3.0
8,11,8,12,1,0,5.788632,0.0,0.0,0,437.0,1.0,3.0
9,11,9,12,1,0,5.823444,0.0,0.0,0,437.0,1.0,3.0
10,11,10,12,1,0,5.859547,0.0,0.0,0,437.0,1.0,3.0
11,11,11,12,1,0,5.897007,0.0,0.0,0,437.0,1.0,3.0
12,11,12,12,1,0,5.935891,0.0,0.0,0,437.0,1.0,3.0
13,11,13,12,1,0,5.976271,0.0,0.0,0,437.0,1.0,3.0
14,11,14,12,1,0,6.018227,0.0,0.0,0,437.0,1.0,3.0
15,11,15,12,1,0,6.061836,0.0,0.0,0,437.0,1.0,3.0
16,11,16,12,1,0,6.107187,0.0,0.0,0,437.0,1.0,3.0
17,11,17,12,1,0,6.154378,0.0,0.0,0,437.0,1.0,3.0
18,11,18,12,1,0,6.203498,0.0,0.0,0,437.0,1.0,3.0
19,11,19,12,1,0,6.254662,0.0,0.0,0,437.0,1.0,3.0
20,11,20,12,1,0,6.307982,0.0,0.0,0,437.0,1.0,3.0
21,11,21,12,1,0,6.363573,0.0,0.0,0,437.0,1.0,3.0
22,11,22,12,1,0,6.421572,0.0,0.0,0,437.0,1.0,3.0
23,11,23,12,1,0,6.482117,0.0,0.0,0,437.0,1.0,3.0
24,11,24,12,1,0,6.545358,0.0,0.0,0,437.0,1.0,3.0
25,11,25,12,1,0,6.611454,0.0,0.0,0,437.0,1.0,3.0
26,11,26,12,1,0,6.569799,0.0,0.0,0,437.0,1.0,3.0
27,11,27,12,1,0,6.516811,0.0,0.0,0,437.0,1.0,3.0
28,11,28,12,1,0,6.464405,0.0,0.0,0,437.0,1.0,3.0
29,11,29,12,1,0,6.41259,0.0,0.0,0,437.0,1.0,3.0
30,11,30,12,1,0,6.36138,0.0,0.0,0,437.0,1.0,3.0
31,11,31,12,1,0,6.310792,0.0,0.0,0,437.0,1.0,3.0
