region_id,collider_id,area,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,contour_pixel_count,mean_discontinuity_score,max_discontinuity_score,boundary_flip_count,high_vector_count,boundary_high_vector_density,boundary_aligns_with_high_vector_density
0,26390562202,25,12.0,0.0,0,0,24,0,25,2.017298,2.017298,1,1,0.04,False
1,26289898898,39,44.0,0.0,25,0,63,0,39,2.017298,2.017298,1,1,0.025641,False
2,26390562202,78,12.5,13.0,0,12,25,14,54,2.897855,3.0,29,29,0.537037,True
3,26289898898,254,74.264,12.724,26,12,133,14,217,2.955114,3.0,113,113,0.520737,True
4,26440893853,52,146.5,12.5,134,12,159,13,52,2.929616,3.0,28,28,0.538462,True
5,26390562202,78,12.5,19.0,0,18,25,20,54,2.897728,3.0,29,29,0.537037,True
6,26289898898,324,79.5,19.0,26,18,133,20,218,2.936789,3.0,114,114,0.522936,True
7,26440893853,78,146.5,19.0,134,18,159,20,54,2.897728,3.0,29,29,0.537037,True
8,26390562202,215,12.94,25.516,0,22,26,29,65,2.752631,3.0,36,36,0.553846,True
9,26289898898,776,77.53,25.513,26,22,133,29,361,2.893138,3.0,194,194,0.537396,True
10,26440893853,80,146.162,23.012,133,22,159,24,55,2.873124,3.0,31,31,0.563636,True
11,26440893853,81,146.0,27.0,133,26,159,28,56,2.900396,3.0,30,30,0.535714,True
