x,y,neighbor_x,neighbor_y,collider_change,domain_change,hit_distance_delta,hit_normal_angle_delta,path_length_delta,boundary_event_delta,step_count_delta,ownership_flip_score,total_transport_discontinuity_score
6,18,7,18,1,0,0.257188,90.0,0.257188,0,0.0,1.0,2.102875
32,18,33,18,1,0,0.257188,90.0,0.257188,0,0.0,1.0,2.102875
7,19,8,19,1,0,0.205824,90.0,0.205824,0,0.0,1.0,2.08233
31,19,32,19,1,0,0.205824,90.0,0.205824,0,0.0,1.0,2.08233
5,7,6,7,1,0,0.205537,90.0,0.205537,0,0.0,1.0,2.082215
33,7,34,7,1,0,0.205537,90.0,0.205537,0,0.0,1.0,2.082215
6,17,7,17,1,0,0.199236,90.0,0.199236,0,0.0,1.0,2.079694
32,17,33,17,1,0,0.199236,90.0,0.199236,0,0.0,1.0,2.079694
6,8,7,8,1,0,0.198787,90.0,0.198787,0,0.0,1.0,2.079515
32,8,33,8,1,0,0.198787,90.0,0.198787,0,0.0,1.0,2.079515
5,6,6,6,1,0,0.17235,90.0,0.17235,0,0.0,1.0,2.06894
33,6,34,6,1,0,0.17235,90.0,0.17235,0,0.0,1.0,2.06894
7,18,7,19,1,0,0.171654,90.0,0.171654,0,0.0,1.0,2.068662
32,18,32,19,1,0,0.171654,90.0,0.171654,0,0.0,1.0,2.068662
6,9,7,9,1,0,0.161479,90.0,0.161479,0,0.0,1.0,2.064592
32,9,33,9,1,0,0.161479,90.0,0.161479,0,0.0,1.0,2.064592
7,20,8,20,1,0,0.152113,90.0,0.152113,0,0.0,1.0,2.060845
31,20,32,20,1,0,0.152113,90.0,0.152113,0,0.0,1.0,2.060845
6,16,7,16,1,0,0.144861,90.0,0.144861,0,0.0,1.0,2.057944
32,16,33,16,1,0,0.144861,90.0,0.144861,0,0.0,1.0,2.057944
5,5,6,5,1,0,0.139999,90.0,0.139999,0,0.0,1.0,2.056
33,5,34,5,1,0,0.139999,90.0,0.139999,0,0.0,1.0,2.056
6,10,7,10,1,0,0.123299,90.0,0.123299,0,0.0,1.0,2.04932
32,10,33,10,1,0,0.123299,90.0,0.123299,0,0.0,1.0,2.04932
5,4,6,4,1,0,0.108129,90.0,0.108129,0,0.0,1.0,2.043252
33,4,34,4,1,0,0.108129,90.0,0.108129,0,0.0,1.0,2.043252
7,21,8,21,1,0,0.095111,90.0,0.095111,0,0.0,1.0,2.038044
31,21,32,21,1,0,0.095111,90.0,0.095111,0,0.0,1.0,2.038044
6,15,7,15,1,0,0.093764,90.0,0.093764,0,0.0,1.0,2.037506
32,15,33,15,1,0,0.093764,90.0,0.093764,0,0.0,1.0,2.037506
6,11,7,11,1,0,0.083869,90.0,0.083869,0,0.0,1.0,2.033548
32,11,33,11,1,0,0.083869,90.0,0.083869,0,0.0,1.0,2.033548
5,3,6,3,1,0,0.076356,90.0,0.076356,0,0.0,1.0,2.030542
33,3,34,3,1,0,0.076356,90.0,0.076356,0,0.0,1.0,2.030542
6,7,6,8,1,0,0.046515,90.0,0.046515,0,0.0,1.0,2.018606
33,7,33,8,1,0,0.046515,90.0,0.046515,0,0.0,1.0,2.018606
6,14,7,14,1,0,0.045678,90.0,0.045678,0,0.0,1.0,2.018271
32,14,33,14,1,0,0.045678,90.0,0.045678,0,0.0,1.0,2.018271
5,2,6,2,1,0,0.044386,90.0,0.044386,0,0.0,1.0,2.017754
33,2,34,2,1,0,0.044386,90.0,0.044386,0,0.0,1.0,2.017754
6,12,7,12,1,0,0.0428,90.0,0.0428,0,0.0,1.0,2.01712
32,12,33,12,1,0,0.042801,90.0,0.042801,0,0.0,1.0,2.01712
7,22,8,22,1,0,0.034528,90.0,0.034528,0,0.0,1.0,2.013811
31,22,32,22,1,0,0.034528,90.0,0.034528,0,0.0,1.0,2.013811
5,0,6,0,1,0,0.021398,90.0,0.021398,0,0.0,1.0,2.008559
33,0,34,0,1,0,0.021398,90.0,0.021398,0,0.0,1.0,2.008559
5,1,6,1,1,0,0.0119,90.0,0.0119,0,0.0,1.0,2.00476
33,1,34,1,1,0,0.0119,90.0,0.0119,0,0.0,1.0,2.00476
6,13,7,13,1,0,0.000264,90.0,0.000264,0,0.0,1.0,2.000106
32,13,33,13,1,0,0.000264,90.0,0.000264,0,0.0,1.0,2.000106
