x,y,neighbor_x,neighbor_y,collider_change,domain_change,hit_distance_delta,hit_normal_angle_delta,path_length_delta,boundary_event_delta,step_count_delta,ownership_flip_score,total_transport_discontinuity_score
6,18,7,18,1,0,0.25719,90.0,0.25719,0,0.0,1.0,2.102876
32,18,33,18,1,0,0.257191,90.0,0.257191,0,0.0,1.0,2.102876
7,19,8,19,1,0,0.205819,90.0,0.205819,0,0.0,1.0,2.082328
31,19,32,19,1,0,0.205817,90.0,0.205817,0,0.0,1.0,2.082327
5,7,6,7,1,0,0.205545,90.0,0.205545,0,0.0,1.0,2.082218
33,7,34,7,1,0,0.205544,90.0,0.205544,0,0.0,1.0,2.082218
6,17,7,17,1,0,0.199245,90.0,0.199245,0,0.0,1.0,2.079698
32,17,33,17,1,0,0.199245,90.0,0.199245,0,0.0,1.0,2.079698
6,8,7,8,1,0,0.198794,90.0,0.198794,0,0.0,1.0,2.079518
32,8,33,8,1,0,0.198794,90.0,0.198794,0,0.0,1.0,2.079518
5,6,6,6,1,0,0.172354,90.0,0.172354,0,0.0,1.0,2.068941
33,6,34,6,1,0,0.172354,90.0,0.172354,0,0.0,1.0,2.068941
7,18,7,19,1,0,0.171648,90.0,0.171648,0,0.0,1.0,2.068659
32,18,32,19,1,0,0.171648,90.0,0.171648,0,0.0,1.0,2.068659
32,9,33,9,1,0,0.161479,90.0,0.161479,0,0.0,1.0,2.064592
6,9,7,9,1,0,0.161477,90.0,0.161477,0,0.0,1.0,2.064591
7,20,8,20,1,0,0.152116,90.0,0.152116,0,0.0,1.0,2.060846
31,20,32,20,1,0,0.152116,90.0,0.152116,0,0.0,1.0,2.060846
6,16,7,16,1,0,0.144864,90.0,0.144864,0,0.0,1.0,2.057946
32,16,33,16,1,0,0.144864,90.0,0.144864,0,0.0,1.0,2.057946
5,5,6,5,1,0,0.140002,90.0,0.140002,0,0.0,1.0,2.056001
33,5,34,5,1,0,0.140002,90.0,0.140002,0,0.0,1.0,2.056001
6,10,7,10,1,0,0.123299,90.0,0.123299,0,0.0,1.0,2.04932
32,10,33,10,1,0,0.123299,90.0,0.123299,0,0.0,1.0,2.04932
5,4,6,4,1,0,0.108123,90.0,0.108123,0,0.0,1.0,2.043249
33,4,34,4,1,0,0.108123,90.0,0.108123,0,0.0,1.0,2.043249
7,21,8,21,1,0,0.095111,90.0,0.095111,0,0.0,1.0,2.038044
31,21,32,21,1,0,0.095111,90.0,0.095111,0,0.0,1.0,2.038044
6,15,7,15,1,0,0.093772,90.0,0.093772,0,0.0,1.0,2.037509
32,15,33,15,1,0,0.093769,90.0,0.093769,0,0.0,1.0,2.037508
6,11,7,11,1,0,0.083865,90.0,0.083865,0,0.0,1.0,2.033546
32,11,33,11,1,0,0.083865,90.0,0.083865,0,0.0,1.0,2.033546
5,3,6,3,1,0,0.076357,90.0,0.076357,0,0.0,1.0,2.030543
33,3,34,3,1,0,0.076357,90.0,0.076357,0,0.0,1.0,2.030543
6,7,6,8,1,0,0.046514,90.0,0.046514,0,0.0,1.0,2.018606
33,7,33,8,1,0,0.046513,90.0,0.046513,0,0.0,1.0,2.018605
6,14,7,14,1,0,0.045674,90.0,0.045674,0,0.0,1.0,2.01827
32,14,33,14,1,0,0.045674,90.0,0.045674,0,0.0,1.0,2.01827
5,2,6,2,1,0,0.044384,90.0,0.044384,0,0.0,1.0,2.017754
33,2,34,2,1,0,0.044384,90.0,0.044384,0,0.0,1.0,2.017754
32,12,33,12,1,0,0.042804,90.0,0.042804,0,0.0,1.0,2.017122
6,12,7,12,1,0,0.042802,90.0,0.042802,0,0.0,1.0,2.017121
7,22,8,22,1,0,0.034531,90.0,0.034531,0,0.0,1.0,2.013812
31,22,32,22,1,0,0.034531,90.0,0.034531,0,0.0,1.0,2.013812
33,0,34,0,1,0,0.021387,90.0,0.021387,0,0.0,1.0,2.008555
5,0,6,0,1,0,0.021386,90.0,0.021386,0,0.0,1.0,2.008554
33,1,34,1,1,0,0.011896,90.0,0.011896,0,0.0,1.0,2.004758
5,1,6,1,1,0,0.011893,90.0,0.011893,0,0.0,1.0,2.004757
6,13,7,13,1,0,0.000262,90.0,0.000262,0,0.0,1.0,2.000105
32,13,33,13,1,0,0.000262,90.0,0.000262,0,0.0,1.0,2.000105
