timestamp,fixture_id,commit_hash,transport_model,requested_stepLength,requested_min_stepLength,requested_turnThreshold,requested_errorTolerance,steps_per_ray,effective_stepLength,effective_min_stepLength,effective_turnThreshold,effective_errorTolerance,status,capture_succeeded,launch_audit_status,guard_progress,forcedAdvance,processed_rows,total_rows_considered,total_rows_processed,total_rows_skipped,processed_row_start,processed_row_end,zero_hit_rows,row_participation_summary,runtime_fingerprint,traced_pixels,runtime,source_hits,miss_hits,backgroundHits,useful_hit_ratio,ssim_vs_baseline,mad_vs_baseline,image_width,image_height,visual_tag,decision_tag,runtime_fingerprint_present,assembly_timestamp_present,effective_step_matches_requested,row_diagnostics_present,scheduler_clean,run_verified
2026-03-21T13-09-07,fixture_001,fe9ae2f0d764dc3b245f058bc06b3550a5fbb58a,GRIN_Optical,,,,,350,0.05,0.05,,,ok,true,ok,0,0,164,,,,,,,,,54112,28.883,2582,51530,0,0.04771584861028977,0.9916696446398755,0.35234615,1152,648,,,,,,,,
2026-03-21T13-10-51,fixture_001,fe9ae2f0d764dc3b245f058bc06b3550a5fbb58a,GRIN_Optical,0.04,0.04,,,350,0.04,0.04,,,ok,true,ok,0,0,164,,,,,,,,,71840,28.231,3372,68468,0,0.046937639198218264,0.9852023020497764,0.5570019,1152,648,,,,,,,,
2026-03-21T14-09-04,fixture_001,202e0d79d46f596a4890491610b30f00a4c99803,GRIN_Optical,0.04,0.04,4.0,,350,0.04,0.04,,,ok,true,ok,0,0,164,,,,,,,,,72448,28.194,3398,69050,0,0.04690260600706714,0.9849248782711791,0.5693346,1152,648,,,,,,,,
2026-03-21T14-09-56,fixture_001,202e0d79d46f596a4890491610b30f00a4c99803,GRIN_Optical,0.045,0.045,4.0,,350,0.045,0.045,4.0,,ok,true,ok,0,0,164,,,,,,,,,49504,29.043,2338,47166,0,0.047228506787330315,0.9906132912477283,0.37539205,1152,648,,,,,,,,
2026-03-21T14-10-35,fixture_001,202e0d79d46f596a4890491610b30f00a4c99803,GRIN_Optical,0.04,0.04,3.2,,350,0.04,0.04,3.2,,ok,true,ok,0,0,164,,,,,,,,,71744,28.264,3353,68391,0,0.046735615521855484,0.9853355790129147,0.54168093,1152,648,,,,,,,,
2026-03-21T14-11-04,fixture_001,202e0d79d46f596a4890491610b30f00a4c99803,GRIN_Optical,0.04,0.04,4.0,,350,0.04,0.04,4.0,,ok,true,ok,0,0,164,,,,,,,,,71264,28.164,3309,67955,0,0.046432981589582395,0.9878870727584829,0.5093901,1152,648,,,,,,,,
2026-03-21T14-11-33,fixture_001,202e0d79d46f596a4890491610b30f00a4c99803,GRIN_Optical,0.04,0.04,4.8,,350,0.04,0.04,4.8,,ok,true,ok,0,0,164,,,,,,,,,72032,28.111,3387,68645,0,0.047020768547312304,0.9840144788664138,0.6165056,1152,648,,,,,,,,
2026-03-21T14-12-01,fixture_001,202e0d79d46f596a4890491610b30f00a4c99803,GRIN_Optical,0.045,0.045,3.2,,350,0.045,0.045,3.2,,ok,true,ok,0,0,164,,,,,,,,,52352,28.487,2380,49972,0,0.04546149144254279,0.9901325892035914,0.4131087,1152,648,,,,,,,,
2026-03-21T14-12-31,fixture_001,202e0d79d46f596a4890491610b30f00a4c99803,GRIN_Optical,0.045,0.045,4.0,,350,0.045,0.045,4.0,,ok,true,ok,0,0,164,,,,,,,,,49888,28.708,2348,47540,0,0.047065426555484284,0.9912465210597091,0.36347416,1152,648,,,,,,,,
2026-03-21T14-13-00,fixture_001,202e0d79d46f596a4890491610b30f00a4c99803,GRIN_Optical,0.045,0.045,4.8,,350,0.045,0.045,4.8,,ok,true,ok,0,0,164,,,,,,,,,50592,28.452,2310,48282,0,0.045659392789373816,0.9892805273955529,0.4553648,1152,648,,,,,,,,
2026-03-21T14-13-29,fixture_001,202e0d79d46f596a4890491610b30f00a4c99803,GRIN_Optical,0.05,0.05,3.2,,350,0.05,0.05,3.2,,ok,true,ok,0,0,164,,,,,,,,,50336,28.61,2369,47967,0,0.04706373172282263,0.9889409312734124,0.48891532,1152,648,,,,,,,,
2026-03-21T14-13-58,fixture_001,202e0d79d46f596a4890491610b30f00a4c99803,GRIN_Optical,0.05,0.05,4.0,,350,0.05,0.05,4.0,,ok,true,ok,0,0,164,,,,,,,,,54048,28.528,2555,51493,0,0.04727279455298993,0.990942804209885,0.3763445,1152,648,,,,,,,,
2026-03-21T14-14-27,fixture_001,202e0d79d46f596a4890491610b30f00a4c99803,GRIN_Optical,0.05,0.05,4.8,,350,0.05,0.05,4.8,,ok,true,ok,0,0,164,,,,,,,,,52256,28.522,2423,49833,0,0.046367881200244945,0.9920739959526167,0.32536188,1152,648,,,,,,,,
2026-03-21T14-41-34,fixture_001,07ff97a11634c3bce82ff82cac496680e7741df5,GRIN_Optical,0.038,0.038,4.4,,350,0.038,0.038,4.4,,ok,true,ok,0,0,164,,,,,,,,,70688,28.536,2904,67784,0,0.041081937528293345,0.9814483092006338,0.6858465,1152,648,,,,,,,,
2026-03-21T14-42-03,fixture_001,07ff97a11634c3bce82ff82cac496680e7741df5,GRIN_Optical,0.038,0.038,4.8,,350,0.038,0.038,4.8,,ok,true,ok,0,0,164,,,,,,,,,67712,28.419,2761,64951,0,0.040775637996219284,0.9856125937363439,0.5665161,1152,648,,,,,,,,
2026-03-21T14-42-32,fixture_001,07ff97a11634c3bce82ff82cac496680e7741df5,GRIN_Optical,0.038,0.038,5.2,,350,0.038,0.038,5.2,,ok,true,ok,0,0,164,,,,,,,,,70400,28.215,2920,67480,0,0.04147727272727273,0.9832950086454604,0.69288516,1152,648,,,,,,,,
2026-03-21T14-43-01,fixture_001,07ff97a11634c3bce82ff82cac496680e7741df5,GRIN_Optical,0.04,0.04,4.4,,350,0.04,0.04,4.4,,ok,true,ok,0,0,164,,,,,,,,,72416,28.068,3380,69036,0,0.04667476800707026,0.9837867394914928,0.6304249,1152,648,,,,,,,,
2026-03-21T14-43-29,fixture_001,07ff97a11634c3bce82ff82cac496680e7741df5,GRIN_Optical,0.04,0.04,4.8,,350,0.04,0.04,4.8,,ok,true,ok,0,0,164,,,,,,,,,69600,28.337,3221,66379,0,0.04627873563218391,0.9877611345653229,0.42544234,1152,648,,,,,,,,
2026-03-21T14-43-58,fixture_001,07ff97a11634c3bce82ff82cac496680e7741df5,GRIN_Optical,0.04,0.04,5.2,,350,0.04,0.04,5.2,,ok,true,ok,0,0,164,,,,,,,,,70272,28.212,3216,67056,0,0.045765027322404374,0.9880274336471605,0.49207497,1152,648,,,,,,,,
2026-03-21T14-44-27,fixture_001,07ff97a11634c3bce82ff82cac496680e7741df5,GRIN_Optical,0.042,0.042,4.4,,350,0.042,0.042,4.4,,ok,true,ok,0,0,164,,,,,,,,,51712,28.552,2351,49361,0,0.045463335396039604,0.9900410676836654,0.429558,1152,648,,,,,,,,
2026-03-21T14-44-56,fixture_001,07ff97a11634c3bce82ff82cac496680e7741df5,GRIN_Optical,0.042,0.042,4.8,,350,0.042,0.042,4.8,,ok,true,ok,0,0,164,,,,,,,,,51072,28.496,2387,48685,0,0.04673793859649123,0.9897164061305701,0.43296772,1152,648,,,,,,,,
2026-03-21T14-45-25,fixture_001,07ff97a11634c3bce82ff82cac496680e7741df5,GRIN_Optical,0.042,0.042,5.2,,350,0.042,0.042,5.2,,ok,true,ok,0,0,164,,,,,,,,,51104,28.565,2342,48762,0,0.04582811521603006,0.9901078273157761,0.41488546,1152,648,,,,,,,,
2026-03-21T16-13-01,fixture_001,07ff97a11634c3bce82ff82cac496680e7741df5,GRIN_Optical,0.04,0.04,3.6,,350,0.04,0.04,3.6,,ok,true,ok,0,0,164,,,,,,,,,72416,28.96,3380,69036,0,0.04667476800707026,0.9854299714941178,0.5491425,1152,648,,,,,,,,
2026-03-21T16-13-30,fixture_001,07ff97a11634c3bce82ff82cac496680e7741df5,GRIN_Optical,0.04,0.04,4.0,,350,0.04,0.04,4.0,,ok,true,ok,0,0,164,,,,,,,,,69792,28.809,3184,66608,0,0.04562127464465841,0.9893859521593269,0.42990273,1152,648,,,,,,,,
2026-03-21T16-13-59,fixture_001,07ff97a11634c3bce82ff82cac496680e7741df5,GRIN_Optical,0.04,0.04,4.4,,350,0.04,0.04,4.4,,ok,true,ok,0,0,164,,,,,,,,,67808,29.07,3088,64720,0,0.045540349221330816,0.9889303510513431,0.37916076,1152,648,,,,,,,,
2026-03-21T16-14-28,fixture_001,07ff97a11634c3bce82ff82cac496680e7741df5,GRIN_Optical,0.04,0.04,4.8,,350,0.04,0.04,4.8,,ok,true,ok,0,0,164,,,,,,,,,68960,28.888,3208,65752,0,0.04651972157772622,0.989258249421364,0.44928885,1152,648,,,,,,,,
2026-03-21T16-18-04,fixture_001,07ff97a11634c3bce82ff82cac496680e7741df5,GRIN_Optical,0.04,0.04,3.2,,350,0.04,0.04,3.2,,ok,true,ok,0,0,164,,,,,,,,,72224,28.67,3390,68834,0,0.04693730615861763,0.9848927394221533,0.5760285,1152,648,,,,,,,,
2026-03-21T16-18-33,fixture_001,07ff97a11634c3bce82ff82cac496680e7741df5,GRIN_Optical,0.04,0.04,2.8,,350,0.04,0.04,2.8,,ok,true,ok,0,0,164,,,,,,,,,70208,28.88,3214,66994,0,0.045778258887876025,0.9887630991394337,0.45848337,1152,648,,,,,,,,
2026-03-21T16-19-01,fixture_001,07ff97a11634c3bce82ff82cac496680e7741df5,GRIN_Optical,0.04,0.04,2.4,,350,0.04,0.04,2.4,,ok,true,ok,0,0,164,,,,,,,,,72512,28.43,3408,69104,0,0.0469991173874669,0.9843474617590501,0.6051062,1152,648,,,,,,,,
2026-03-21T16-19-30,fixture_001,07ff97a11634c3bce82ff82cac496680e7741df5,GRIN_Optical,0.04,0.04,2.0,,350,0.04,0.04,2.0,,ok,true,ok,0,0,164,,,,,,,,,71712,28.661,3339,68373,0,0.04656124497991968,0.9860410577856852,0.5281828,1152,648,,,,,,,,
2026-03-21T16-20-47,fixture_001,07ff97a11634c3bce82ff82cac496680e7741df5,GRIN_Optical,0.04,0.04,2.2,,350,0.04,0.04,2.2,,ok,true,ok,0,0,164,,,,,,,,,70592,28.802,3278,67314,0,0.046435856754306434,0.9877828583208551,0.5065296,1152,648,,,,,,,,
2026-03-21T16-21-16,fixture_001,07ff97a11634c3bce82ff82cac496680e7741df5,GRIN_Optical,0.04,0.04,2.4,,350,0.04,0.04,2.4,,ok,true,ok,0,0,164,,,,,,,,,67808,28.721,3181,64627,0,0.046911868806040584,0.9854053591428825,0.5372889,1152,648,,,,,,,,
2026-03-21T16-21-45,fixture_001,07ff97a11634c3bce82ff82cac496680e7741df5,GRIN_Optical,0.04,0.04,2.6,,350,0.04,0.04,2.6,,ok,true,ok,0,0,164,,,,,,,,,66720,28.833,3014,63706,0,0.045173860911270985,0.9880372453362604,0.5073012,1152,648,,,,,,,,
2026-03-21T16-22-14,fixture_001,07ff97a11634c3bce82ff82cac496680e7741df5,GRIN_Optical,0.04,0.04,2.8,,350,0.04,0.04,2.8,,ok,true,ok,0,0,164,,,,,,,,,72352,28.421,3365,68987,0,0.04650873507297656,0.9851486799189194,0.55592483,1152,648,,,,,,,,
