node_id,anchor_id,object_id,projected_tile,projected_x,projected_y,object_centroid_projected_x,object_centroid_projected_y,radial_dist_from_object_centroid,radial_angle_from_object_centroid,nearest_anchor_kind,nearest_corner_dist,nearest_edge_dist,radial_offset_x,radial_offset_y,max_decision_risk,risk_at_0.00625,required_precision_estimate,convergence_class,local_maximum,persistent_mismatch_at_0.00625,threshold_snap_zone
1,geometry:25836914057:centroid,geometry:25836914057,2,128,122,160,90,45.25483,2.356194,Centroid,-1.0,45.96738,-16,16,2.270861,2.269874,0.003125,threshold_snap,yes,yes,yes
2,geometry:25836914057:centroid,geometry:25836914057,2,128,58,160,90,45.25483,-2.356194,Centroid,-1.0,46.69047,-16,-16,2.269688,2.268898,0.003125,threshold_snap,yes,yes,yes
3,geometry:25836914057:centroid,geometry:25836914057,2,133,117,160,90,38.18377,2.356194,Centroid,-1.0,46.61545,-11,11,2.267361,2.265997,0.003125,threshold_snap,no,yes,yes
4,geometry:25836914057:centroid,geometry:25836914057,2,136,114,160,90,33.94112,2.356194,Centroid,-1.0,47.50789,-8,8,2.265025,2.264049,0.003125,threshold_snap,no,yes,yes
5,geometry:25836914057:centroid,geometry:25836914057,2,136,114,160,90,33.94112,2.356194,Centroid,-1.0,47.50789,-16,16,2.265025,2.264049,0.003125,threshold_snap,no,yes,yes
6,geometry:25836914057:centroid,geometry:25836914057,2,133,63,160,90,38.18377,-2.356194,Centroid,-1.0,47.43417,-11,-11,2.265024,2.265024,0.003125,threshold_snap,no,yes,yes
7,geometry:25836914057:centroid,geometry:25836914057,2,136,66,160,90,33.94112,-2.356194,Centroid,-1.0,48.37355,-8,-8,2.265007,2.264031,0.003125,threshold_snap,no,yes,yes
8,geometry:25836914057:centroid,geometry:25836914057,2,136,66,160,90,33.94112,-2.356194,Centroid,-1.0,48.37355,-16,-16,2.265007,2.264031,0.003125,threshold_snap,no,yes,yes
9,geometry:25836914057:centroid,geometry:25836914057,2,144,122,160,90,35.77709,2.034444,Centroid,-1.0,36.67424,0,16,2.265004,2.26403,0.003125,threshold_snap,yes,yes,yes
10,geometry:25836914057:centroid,geometry:25836914057,2,144,58,160,90,35.77709,-2.034444,Centroid,-1.0,37.57659,0,-16,2.265004,2.26403,0.003125,threshold_snap,yes,yes,yes
11,geometry:25836914057:centroid,geometry:25836914057,2,144,58,160,90,35.77709,-2.034444,Centroid,-1.0,37.57659,-16,-16,2.265004,2.26403,0.003125,threshold_snap,yes,yes,yes
12,geometry:25836914057:centroid,geometry:25836914057,2,144,122,160,90,35.77709,2.034444,Centroid,-1.0,36.67424,-16,16,2.265004,2.26403,0.003125,threshold_snap,yes,yes,yes
13,geometry:25836914057:centroid,geometry:25836914057,2,138,68,160,90,31.1127,-2.356194,Centroid,-1.0,49.1935,-6,-6,2.263071,2.262083,0.003125,threshold_snap,no,yes,yes
14,geometry:25836914057:centroid,geometry:25836914057,2,128,74,160,90,35.77709,-2.677945,Centroid,-1.0,59.36329,-16,0,2.263061,2.262094,0.003125,threshold_snap,yes,yes,yes
15,geometry:25836914057:centroid,geometry:25836914057,2,128,74,160,90,35.77709,-2.677945,Centroid,-1.0,59.36329,-16,-16,2.263061,2.262094,0.003125,threshold_snap,yes,yes,yes
16,geometry:25836914057:centroid,geometry:25836914057,2,128,106,160,90,35.77709,2.677945,Centroid,-1.0,58.5235,-16,0,2.26306,2.262093,0.003125,threshold_snap,yes,yes,yes
17,geometry:25836914057:centroid,geometry:25836914057,2,128,106,160,90,35.77709,2.677945,Centroid,-1.0,58.5235,-16,16,2.26306,2.262093,0.003125,threshold_snap,yes,yes,yes
18,geometry:25836914057:centroid,geometry:25836914057,2,138,112,160,90,31.1127,2.356194,Centroid,-1.0,48.30114,-6,6,2.263056,2.262079,0.003125,threshold_snap,no,yes,yes
19,geometry:25836914057:centroid,geometry:25836914057,2,136,106,160,90,28.84441,2.55359,Centroid,-1.0,54.56189,-8,0,2.262653,2.261086,0.003125,threshold_snap,no,yes,yes
20,geometry:25836914057:centroid,geometry:25836914057,2,136,106,160,90,28.84441,2.55359,Centroid,-1.0,54.56189,-16,16,2.262653,2.261086,0.003125,threshold_snap,no,yes,yes
