anchor_id,object_id,projected_tile,projected_x,projected_y,object_centroid_projected_x,object_centroid_projected_y,radial_dist_from_object_centroid,radial_angle_from_object_centroid,nearest_anchor_kind,nearest_corner_dist,nearest_edge_dist,radial_offset_x,radial_offset_y,step_length,reference_step_length,sample_count,mean_decision_risk,max_decision_risk,match_rate,matched_count,monotonic_decay,minimum_step_satisfying_epsilon,persistent_mismatch_at_0.00625
geometry:25836914057:centroid,geometry:25836914057,2,128,58,160,90,45.25483,-2.356194,Centroid,-1,46.69047,-16,-16,0.003125,0.003125,1,0,0,1,1,pass,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,58,160,90,45.25483,-2.356194,Centroid,-1,46.69047,-16,-16,0.00625,0.003125,1,2.268898,2.268898,0,0,pass,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,58,160,90,45.25483,-2.356194,Centroid,-1,46.69047,-16,-16,0.0125,0.003125,1,2.268907,2.268907,0,0,pass,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,58,160,90,45.25483,-2.356194,Centroid,-1,46.69047,-16,-16,0.015,0.003125,1,2.269688,2.269688,0,0,pass,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,74,160,90,35.77709,-2.677945,Centroid,-1,59.36329,-16,-16,0.003125,0.003125,1,0,0,1,1,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,74,160,90,35.77709,-2.677945,Centroid,-1,59.36329,-16,-16,0.00625,0.003125,1,2.262094,2.262094,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,74,160,90,35.77709,-2.677945,Centroid,-1,59.36329,-16,-16,0.0125,0.003125,1,2.263061,2.263061,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,74,160,90,35.77709,-2.677945,Centroid,-1,59.36329,-16,-16,0.015,0.003125,1,2.262676,2.262676,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,74,160,90,35.77709,-2.677945,Centroid,-1,59.36329,-16,0,0.003125,0.003125,1,0,0,1,1,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,74,160,90,35.77709,-2.677945,Centroid,-1,59.36329,-16,0,0.00625,0.003125,1,2.262094,2.262094,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,74,160,90,35.77709,-2.677945,Centroid,-1,59.36329,-16,0,0.0125,0.003125,1,2.263061,2.263061,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,74,160,90,35.77709,-2.677945,Centroid,-1,59.36329,-16,0,0.015,0.003125,1,2.262676,2.262676,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,90,160,90,32,3.141593,Centroid,-1,72.44998,-16,-16,0.003125,0.003125,1,0,0,1,1,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,90,160,90,32,3.141593,Centroid,-1,72.44998,-16,-16,0.00625,0.003125,1,2.260131,2.260131,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,90,160,90,32,3.141593,Centroid,-1,72.44998,-16,-16,0.0125,0.003125,1,2.261116,2.261116,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,90,160,90,32,3.141593,Centroid,-1,72.44998,-16,-16,0.015,0.003125,1,2.260329,2.260329,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,90,160,90,32,3.141593,Centroid,-1,72.44998,-16,0,0.003125,0.003125,1,0,0,1,1,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,90,160,90,32,3.141593,Centroid,-1,72.44998,-16,0,0.00625,0.003125,1,2.260131,2.260131,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,90,160,90,32,3.141593,Centroid,-1,72.44998,-16,0,0.0125,0.003125,1,2.261116,2.261116,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,90,160,90,32,3.141593,Centroid,-1,72.44998,-16,0,0.015,0.003125,1,2.260329,2.260329,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,90,160,90,32,3.141593,Centroid,-1,72.44998,-16,16,0.003125,0.003125,1,0,0,1,1,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,90,160,90,32,3.141593,Centroid,-1,72.44998,-16,16,0.00625,0.003125,1,2.260131,2.260131,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,90,160,90,32,3.141593,Centroid,-1,72.44998,-16,16,0.0125,0.003125,1,2.261116,2.261116,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,90,160,90,32,3.141593,Centroid,-1,72.44998,-16,16,0.015,0.003125,1,2.260329,2.260329,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,106,160,90,35.77709,2.677945,Centroid,-1,58.5235,-16,0,0.003125,0.003125,1,0,0,1,1,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,106,160,90,35.77709,2.677945,Centroid,-1,58.5235,-16,0,0.00625,0.003125,1,2.262093,2.262093,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,106,160,90,35.77709,2.677945,Centroid,-1,58.5235,-16,0,0.0125,0.003125,1,2.26306,2.26306,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,106,160,90,35.77709,2.677945,Centroid,-1,58.5235,-16,0,0.015,0.003125,1,2.262669,2.262669,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,106,160,90,35.77709,2.677945,Centroid,-1,58.5235,-16,16,0.003125,0.003125,1,0,0,1,1,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,106,160,90,35.77709,2.677945,Centroid,-1,58.5235,-16,16,0.00625,0.003125,1,2.262093,2.262093,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,106,160,90,35.77709,2.677945,Centroid,-1,58.5235,-16,16,0.0125,0.003125,1,2.26306,2.26306,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,106,160,90,35.77709,2.677945,Centroid,-1,58.5235,-16,16,0.015,0.003125,1,2.262669,2.262669,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,122,160,90,45.25483,2.356194,Centroid,-1,45.96738,-16,16,0.003125,0.003125,1,0,0,1,1,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,122,160,90,45.25483,2.356194,Centroid,-1,45.96738,-16,16,0.00625,0.003125,1,2.269874,2.269874,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,122,160,90,45.25483,2.356194,Centroid,-1,45.96738,-16,16,0.0125,0.003125,1,2.270861,2.270861,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,128,122,160,90,45.25483,2.356194,Centroid,-1,45.96738,-16,16,0.015,0.003125,1,2.269687,2.269687,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,133,63,160,90,38.18377,-2.356194,Centroid,-1,47.43417,-11,-11,0.003125,0.003125,1,0,0,1,1,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,133,63,160,90,38.18377,-2.356194,Centroid,-1,47.43417,-11,-11,0.00625,0.003125,1,2.265024,2.265024,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,133,63,160,90,38.18377,-2.356194,Centroid,-1,47.43417,-11,-11,0.0125,0.003125,1,2.265022,2.265022,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,133,63,160,90,38.18377,-2.356194,Centroid,-1,47.43417,-11,-11,0.015,0.003125,1,2.265016,2.265016,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,133,85,160,90,27.45906,-2.958482,Centroid,-1,66.70832,-11,11,0.003125,0.003125,1,0,0,1,1,pass,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,133,85,160,90,27.45906,-2.958482,Centroid,-1,66.70832,-11,11,0.00625,0.003125,1,2.259151,2.259151,0,0,pass,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,133,85,160,90,27.45906,-2.958482,Centroid,-1,66.70832,-11,11,0.0125,0.003125,1,2.259151,2.259151,0,0,pass,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,133,85,160,90,27.45906,-2.958482,Centroid,-1,66.70832,-11,11,0.015,0.003125,1,2.260319,2.260319,0,0,pass,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,133,95,160,90,27.45906,2.958482,Centroid,-1,65.79514,-11,-11,0.003125,0.003125,1,0,0,1,1,pass,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,133,95,160,90,27.45906,2.958482,Centroid,-1,65.79514,-11,-11,0.00625,0.003125,1,2.259151,2.259151,0,0,pass,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,133,95,160,90,27.45906,2.958482,Centroid,-1,65.79514,-11,-11,0.0125,0.003125,1,2.259152,2.259152,0,0,pass,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,133,95,160,90,27.45906,2.958482,Centroid,-1,65.79514,-11,-11,0.015,0.003125,1,2.26033,2.26033,0,0,pass,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,133,117,160,90,38.18377,2.356194,Centroid,-1,46.61545,-11,11,0.003125,0.003125,1,0,0,1,1,pass,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,133,117,160,90,38.18377,2.356194,Centroid,-1,46.61545,-11,11,0.00625,0.003125,1,2.265997,2.265997,0,0,pass,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,133,117,160,90,38.18377,2.356194,Centroid,-1,46.61545,-11,11,0.0125,0.003125,1,2.266964,2.266964,0,0,pass,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,133,117,160,90,38.18377,2.356194,Centroid,-1,46.61545,-11,11,0.015,0.003125,1,2.267361,2.267361,0,0,pass,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,136,66,160,90,33.94112,-2.356194,Centroid,-1,48.37355,-16,-16,0.003125,0.003125,1,0,0,1,1,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,136,66,160,90,33.94112,-2.356194,Centroid,-1,48.37355,-16,-16,0.00625,0.003125,1,2.264031,2.264031,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,136,66,160,90,33.94112,-2.356194,Centroid,-1,48.37355,-16,-16,0.0125,0.003125,1,2.265007,2.265007,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,136,66,160,90,33.94112,-2.356194,Centroid,-1,48.37355,-16,-16,0.015,0.003125,1,2.265004,2.265004,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,136,66,160,90,33.94112,-2.356194,Centroid,-1,48.37355,-8,-8,0.003125,0.003125,1,0,0,1,1,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,136,66,160,90,33.94112,-2.356194,Centroid,-1,48.37355,-8,-8,0.00625,0.003125,1,2.264031,2.264031,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,136,66,160,90,33.94112,-2.356194,Centroid,-1,48.37355,-8,-8,0.0125,0.003125,1,2.265007,2.265007,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,136,66,160,90,33.94112,-2.356194,Centroid,-1,48.37355,-8,-8,0.015,0.003125,1,2.265004,2.265004,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,136,74,160,90,28.84441,-2.55359,Centroid,-1,55.4617,-16,-16,0.003125,0.003125,1,0,0,1,1,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,136,74,160,90,28.84441,-2.55359,Centroid,-1,55.4617,-16,-16,0.00625,0.003125,1,2.261086,2.261086,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,136,74,160,90,28.84441,-2.55359,Centroid,-1,55.4617,-16,-16,0.0125,0.003125,1,2.261088,2.261088,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,136,74,160,90,28.84441,-2.55359,Centroid,-1,55.4617,-16,-16,0.015,0.003125,1,2.260307,2.260307,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,136,74,160,90,28.84441,-2.55359,Centroid,-1,55.4617,-8,0,0.003125,0.003125,1,0,0,1,1,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,136,74,160,90,28.84441,-2.55359,Centroid,-1,55.4617,-8,0,0.00625,0.003125,1,2.261086,2.261086,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,136,74,160,90,28.84441,-2.55359,Centroid,-1,55.4617,-8,0,0.0125,0.003125,1,2.261088,2.261088,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,136,74,160,90,28.84441,-2.55359,Centroid,-1,55.4617,-8,0,0.015,0.003125,1,2.260307,2.260307,0,0,fail,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,136,82,160,90,25.29822,-2.819842,Centroid,-1,62.76942,-16,-16,0.003125,0.003125,1,0,0,1,1,pass,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,136,82,160,90,25.29822,-2.819842,Centroid,-1,62.76942,-16,-16,0.00625,0.003125,1,2.259152,2.259152,0,0,pass,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,136,82,160,90,25.29822,-2.819842,Centroid,-1,62.76942,-16,-16,0.0125,0.003125,1,2.259155,2.259155,0,0,pass,0.003125,yes
geometry:25836914057:centroid,geometry:25836914057,2,136,82,160,90,25.29822,-2.819842,Centroid,-1,62.76942,-16,-16,0.015,0.003125,1,2.260325,2.260325,0,0,pass,0.003125,yes
