region_id,node_id,object_id,node_center_x,node_center_y,object_centroid_projected_x,object_centroid_projected_y,max_decision_risk,inner_high_risk_radius,outer_stable_radius,required_precision_label_inside_region,convergence_class_distribution,region_class,sample_count,high_risk_sample_count,stable_sample_count,sealed
1,1,geometry:25836914057,128,122,160,90,2.270861,43.84062,,0.003125,threshold_snap:84,UNSEALED_NONCONVERGENT,84,84,0,no
2,2,geometry:25836914057,128,58,160,90,2.269688,43.84062,,0.003125,threshold_snap:84,UNSEALED_NONCONVERGENT,84,84,0,no
3,3,geometry:25836914057,133,117,160,90,2.270861,36.769553,,0.003125,threshold_snap:95,UNSEALED_NONCONVERGENT,95,95,0,no
4,4,geometry:25836914057,136,114,160,90,2.270861,32.526912,,0.003125,threshold_snap:117,UNSEALED_NONCONVERGENT,117,117,0,no
5,5,geometry:25836914057,136,114,160,90,2.270861,32.526912,,0.003125,threshold_snap:117,UNSEALED_NONCONVERGENT,117,117,0,no
6,6,geometry:25836914057,133,63,160,90,2.269688,36.769553,,0.003125,threshold_snap:95,UNSEALED_NONCONVERGENT,95,95,0,no
7,7,geometry:25836914057,136,66,160,90,2.269688,32.526912,,0.003125,threshold_snap:117,UNSEALED_NONCONVERGENT,117,117,0,no
8,8,geometry:25836914057,136,66,160,90,2.269688,32.526912,,0.003125,threshold_snap:117,UNSEALED_NONCONVERGENT,117,117,0,no
9,9,geometry:25836914057,144,122,160,90,2.270861,34.885527,,0.003125,threshold_snap:100,UNSEALED_NONCONVERGENT,100,100,0,no
10,10,geometry:25836914057,144,58,160,90,2.269688,34.885527,,0.003125,threshold_snap:100,UNSEALED_NONCONVERGENT,100,100,0,no
11,11,geometry:25836914057,144,58,160,90,2.269688,34.885527,,0.003125,threshold_snap:100,UNSEALED_NONCONVERGENT,100,100,0,no
12,12,geometry:25836914057,144,122,160,90,2.270861,34.885527,,0.003125,threshold_snap:100,UNSEALED_NONCONVERGENT,100,100,0,no
13,13,geometry:25836914057,138,68,160,90,2.269688,29.698485,,0.003125,threshold_snap:135,UNSEALED_NONCONVERGENT,135,135,0,no
14,14,geometry:25836914057,128,74,160,90,2.269688,34.885527,,0.003125,threshold_snap:117,UNSEALED_NONCONVERGENT,117,117,0,no
