step_length,mode,effective_status,beauty_hash,hash_matches_off,changed_pixels,changed_bbox,band_pixels,band_percent,boundary_mean,selection_flip_mean,step_sensitivity_mean,precision_required_mean,sconv_confidence_mean,band_vs_boundary_precision,band_vs_boundary_iou,band_vs_selection_flip_precision,band_vs_selection_flip_iou,band_vs_step_sensitivity_precision,band_vs_step_sensitivity_iou,band_vs_precision_required_precision,band_vs_precision_required_iou
0.00625,off,0,11f08ed3b18bacad72726dd3a21aacc50cac6793c4e861dfd16841ad854f05a3,true,0,none,14414,25.0240,,,,,,,,,,,,,
0.00625,telemetry_on,0,87f2471c12f031c3b1a03985858a79e39f5fa0281dc04cc99c1730015409b911,false,2048,"(0, 26, 319, 177)",15068,26.1600,0.1586,0.2272,,,,0.1140,0.0650,0.1140,0.0650,,,,
0.00625,sconv_on,0,4df364795cf05720487050d61e3336181ebe47c08a9dee9aa0073948f3b13d54,false,1984,"(0, 46, 319, 177)",15442,26.8090,0.1609,0.2306,0.0000,0.0000,0.2306,0.1195,0.0686,0.1195,0.0686,0.0000,0.0000,0.0000,0.0000
0.00625,resolver_on,0,b6f59ae3a222c4ea8663efe375b063694555fc1858c2ca0e0b6e4661a5008b96,false,2688,"(0, 26, 319, 177)",15168,26.3330,0.1555,0.2228,,,,0.1137,0.0656,0.1137,0.0656,,,,
0.0125,off,0,6783e073a1e13ca2e06e7db363c936538c720ec5eb4a1388d092e0c120f5b737,true,0,none,8968,15.5690,,,,,,,,,,,,,
0.0125,telemetry_on,0,a89029bba764fb8e648f100af1c0458eed0996fa8a9843d065f703adacc785fa,false,2752,"(128, 2, 319, 179)",11672,20.2640,0.2893,0.4144,,,,0.1256,0.0430,0.1256,0.0430,,,,
0.0125,sconv_on,0,38f29d900c1bff80226b493fa6e4574f6dfe2a33235e357691a83b9ebea9c7f7,false,2816,"(96, 26, 319, 179)",10516,18.2570,0.2877,0.4122,0.0000,0.0000,0.4122,0.1674,0.0542,0.1674,0.0542,0.0000,0.0000,0.0000,0.0000
0.0125,resolver_on,0,cb03b72df84d95086f83de24dd1c6dd508b1cf1c39bc5901ec9d67d0ee793426,false,6976,"(64, 2, 319, 179)",16532,28.7010,0.2459,0.3522,,,,0.2030,0.1003,0.2030,0.1003,,,,
0.025,off,0,67888360cccc14b13c8d2de978cd3e2f4c9521561fc73026424896301df13ed8,true,0,none,260,0.4510,,,,,,,,,,,,,
0.025,telemetry_on,0,67888360cccc14b13c8d2de978cd3e2f4c9521561fc73026424896301df13ed8,true,0,none,260,0.4510,0.3056,0.4378,,,,0.4923,0.0050,0.4923,0.0050,,,,
0.025,sconv_on,0,1dfcc04dc8ac689512ec5aed9074287635c1c18099ed2c28b33a9d4305d31707,false,64,"(32, 6, 63, 7)",196,0.3400,0.3056,0.4378,0.0000,0.0000,0.4378,0.6531,0.0051,0.6531,0.0051,0.0000,0.0000,0.0000,0.0000
0.025,resolver_on,0,31dcfbfa24084c8582f46723ffaa88b9c8c424e9ad6dfd23fb7f93ea224baac1,false,384,"(0, 4, 319, 7)",388,0.6740,0.3056,0.4378,,,,0.3299,0.0050,0.3299,0.0050,,,,
