step_length,mode,effective_status,beauty_hash,hash_matches_off,changed_pixels,changed_bbox,band_pixels,band_percent,boundary_mean,selection_flip_mean,step_sensitivity_mean,precision_required_mean,sconv_confidence_mean,probe_dist_delta_mean,probe_normal_delta_mean,probe_collider_mismatch_mean,band_vs_boundary_precision,band_vs_boundary_iou,band_vs_selection_flip_precision,band_vs_selection_flip_iou,band_vs_step_sensitivity_precision,band_vs_step_sensitivity_iou,band_vs_precision_required_precision,band_vs_precision_required_iou,band_vs_probe_dist_delta_precision,band_vs_probe_dist_delta_iou,band_vs_probe_collider_mismatch_precision,band_vs_probe_collider_mismatch_iou
0.00625,off,0,ddcd5af7dc76bd0289fcfdcd82c27ffb10d8482fd670c82e2873f14d587eeefc,true,0,none,14920,25.9030,,,,,,,,,,,,,,,,,,,,
0.00625,telemetry_on,0,0ac84ca26133b7104ece63407e95d6014408795a23e037bb6499b7a6261093d6,false,3008,"(0, 2, 319, 177)",16082,27.9200,0.1501,0.2150,,,,,,,0.1044,0.0627,0.1044,0.0627,,,,,,,,
0.00625,sconv_on,0,7c1a39576cc6a06b2a0849ce82495d96c3d741aacdb60fc547ab620fb996d67d,false,21056,"(0, 0, 319, 177)",11900,20.6600,0.0077,0.0110,0.0000,0.0000,0.1022,0.0000,0.0000,0.0000,0.0534,0.0534,0.0534,0.0534,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.00625,resolver_on,0,d21bbedc293fea0aac6120a63541a0f709c2a7d25d0ef08a8f597814b619a938,false,2688,"(0, 2, 319, 169)",15580,27.0490,0.1523,0.2181,,,,,,,0.1109,0.0654,0.1109,0.0654,,,,,,,,
0.0125,off,0,68e5af11d3d9d0cfd5e99c7e5b404c4ecf8a06f6d3de9815d44976185978555f,true,0,none,11634,20.1980,,,,,,,,,,,,,,,,,,,,
0.0125,telemetry_on,0,1c4b2a32844cdff45c50c6d7076bd81f321464cbb401f916a70d118db8f3c988,false,3392,"(32, 2, 319, 179)",12370,21.4760,0.2719,0.3896,,,,,,,0.1534,0.0576,0.1534,0.0576,,,,,,,,
0.0125,sconv_on,0,275e3817682c754e137b3d79115c765e2125297f7d49e610854c5142c5a89951,false,37248,"(0, 0, 319, 179)",11772,20.4380,0.0070,0.0100,0.0000,0.0000,0.1011,0.0000,0.0000,0.0000,0.0489,0.0489,0.0489,0.0489,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0125,resolver_on,0,3b65941e50ffb61f13ff452c418ebb441f9a61b0af326c95526334e78b533f9d,false,6336,"(32, 30, 319, 179)",18300,31.7710,0.2342,0.3356,,,,,,,0.1929,0.1035,0.1929,0.1035,,,,,,,,
0.025,off,0,1dfcc04dc8ac689512ec5aed9074287635c1c18099ed2c28b33a9d4305d31707,true,0,none,196,0.3400,,,,,,,,,,,,,,,,,,,,
0.025,telemetry_on,0,1dfcc04dc8ac689512ec5aed9074287635c1c18099ed2c28b33a9d4305d31707,true,0,none,196,0.3400,0.3056,0.4378,,,,,,,0.6531,0.0051,0.6531,0.0051,,,,,,,,
0.025,sconv_on,0,39d480f5d78156dc2a4bc3db9e70f1a7a0705ce9820aeaa553e925529cfbcd46,false,36992,"(0, 0, 319, 179)",14996,26.0350,0.0977,0.1400,0.0000,0.0000,0.2589,0.0000,0.0000,0.0000,0.1295,0.0920,0.1295,0.0920,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.025,resolver_on,0,0a1257ca630ae70c074383742944a1f01def924cc69f366eae91f8a317edf9dd,false,128,"(0, 4, 319, 7)",196,0.3400,0.3056,0.4378,,,,,,,0.6531,0.0051,0.6531,0.0051,,,,,,,,
