timestamp,step_length,traversal,cell_dir,effective_status,beauty_hash,band_pixels,band_percent,horizontal_band_score,vertical_band_score,changed_pixels_vs_row_baseline,corner_roi_required_precision,corner_roi_collider_flip_samples,corner_roi_ownership_change_samples,corner_roi_mean_max_risk,notes
2026-05-03T19:04:33Z,0.00625,checkerboard,/home/bb/code/godot_xPRIMEray/output/first_pass_traversal_comparison/20260503T171942Z/step_0.00625/checkerboard,0,6196582644cb8d49aa95494763ef14ffe3711d1ea18c2919255cae2814bdcb35,3120,5.4167,0.09375,0.188889,4384,0.003125,572,572,3.24856,clean_exit
2026-05-03T18:51:30Z,0.00625,column,/home/bb/code/godot_xPRIMEray/output/first_pass_traversal_comparison/20260503T171942Z/step_0.00625/column,0,baec30aca16c88598360b81952df82af267a5a52e468f3d622f971dd91222431,3120,5.4167,0.09375,0.112121,4896,0.003125,572,572,3.24856,clean_exit
2026-05-03T18:44:56Z,0.00625,row,/home/bb/code/godot_xPRIMEray/output/first_pass_traversal_comparison/20260503T171942Z/step_0.00625/row,0,cae9a9d4cd87e3f8342758fc3b3593875169d7227d551895867fd2b9c30c30a7,10466,18.1701,0.215173,0.173333,0,0.003125,572,572,3.24856,godot_shutdown_abort_after_harness_success
2026-05-03T18:58:03Z,0.00625,tile,/home/bb/code/godot_xPRIMEray/output/first_pass_traversal_comparison/20260503T171942Z/step_0.00625/tile,0,5a883cccf72bb3af1a82922416aa5467ae199d5b8614f68a1c0a7924b3261cad,3120,5.4167,0.09375,0.122778,4896,0.003125,572,572,3.24856,clean_exit
2026-05-03T18:37:48Z,0.0125,checkerboard,/home/bb/code/godot_xPRIMEray/output/first_pass_traversal_comparison/20260503T171942Z/step_0.0125/checkerboard,0,c8b87e43ebbac14fadf0cf8648a9cea5cc3ea19142bfc08ceb1dc82b0f6a552e,5680,9.8611,0.150424,0.193651,11168,0.003125,572,572,3.24856,clean_exit
2026-05-03T18:25:01Z,0.0125,column,/home/bb/code/godot_xPRIMEray/output/first_pass_traversal_comparison/20260503T171942Z/step_0.0125/column,0,47385d6941b50eb8d4de9328c79eb7d8e11365eba52cdf706ef33e12c1bc982d,5897,10.2378,0.154858,0.192857,11360,0.003125,572,572,3.24856,clean_exit
2026-05-03T18:18:38Z,0.0125,row,/home/bb/code/godot_xPRIMEray/output/first_pass_traversal_comparison/20260503T171942Z/step_0.0125/row,0,0f48c9541e35da3905a326e7fe029225396eac381caae0ae3ec3f50895c54b3e,3120,5.4167,0.09375,0.230864,0,0.003125,572,572,3.24856,godot_shutdown_abort_after_harness_success
2026-05-03T18:31:25Z,0.0125,tile,/home/bb/code/godot_xPRIMEray/output/first_pass_traversal_comparison/20260503T171942Z/step_0.0125/tile,0,803ab2ad57c3dec1721a94d073d5b4d07d1052fc20d0ef182ebcedd5d297f570,5253,9.1198,0.142745,0.197009,10752,0.003125,572,572,3.24856,clean_exit
2026-05-03T18:11:33Z,0.015,checkerboard,/home/bb/code/godot_xPRIMEray/output/first_pass_traversal_comparison/20260503T171942Z/step_0.015/checkerboard,0,31f75dd8547aeea7470ce791d0f7ef6c648e11906e32e68567993aa6b8f004c2,7346,12.7535,0.186636,0.17735,10144,0.003125,572,572,3.24856,clean_exit
2026-05-03T17:58:42Z,0.015,column,/home/bb/code/godot_xPRIMEray/output/first_pass_traversal_comparison/20260503T171942Z/step_0.015/column,0,a74b27666de4df5e63f369cb2cc637ddf333ad3aaadf09046c9f1b3260d06140,4764,8.2708,0.127244,0.175758,12224,0.003125,572,572,3.24856,clean_exit
2026-05-03T17:52:21Z,0.015,row,/home/bb/code/godot_xPRIMEray/output/first_pass_traversal_comparison/20260503T171942Z/step_0.015/row,0,12e567bf7e7c204a862c236496ce21540fa023454e7831cd0557d6a01f68eb75,3254,5.6493,0.095035,0.198611,0,0.003125,572,572,3.24856,godot_shutdown_abort_after_harness_success
2026-05-03T18:05:11Z,0.015,tile,/home/bb/code/godot_xPRIMEray/output/first_pass_traversal_comparison/20260503T171942Z/step_0.015/tile,0,2bff109ea709f27b22491643ed1090b16a435a2e5706b0f23dfb2b6329f1f245,7006,12.1632,0.177998,0.180342,10336,0.003125,572,572,3.24856,godot_shutdown_abort_after_harness_success
2026-05-03T17:45:26Z,0.018,checkerboard,/home/bb/code/godot_xPRIMEray/output/first_pass_traversal_comparison/20260503T171942Z/step_0.018/checkerboard,0,faa5e475f26393ba65ad26662a3558f86dfcdecfcb921236b1f5abbaf1f8b436,2946,5.1146,0.102292,0.143519,12864,0.003125,572,572,3.24856,clean_exit
2026-05-03T17:32:51Z,0.018,column,/home/bb/code/godot_xPRIMEray/output/first_pass_traversal_comparison/20260503T171942Z/step_0.018/column,0,515faef53d2c1fffdfad9572905c82599abe6abcdc3b2cfed84b81f1e1c71712,2452,4.2569,0.092319,0.111667,15040,0.003125,572,572,3.24856,clean_exit
2026-05-03T17:26:35Z,0.018,row,/home/bb/code/godot_xPRIMEray/output/first_pass_traversal_comparison/20260503T171942Z/step_0.018/row,0,3adb63c3d37142e677cdc7f5d1bd1178586fadd606e3820f6c0ade75c2647602,3384,5.875,0.097917,0.172222,0,0.003125,572,572,3.24856,godot_shutdown_abort_after_harness_success
2026-05-03T17:39:08Z,0.018,tile,/home/bb/code/godot_xPRIMEray/output/first_pass_traversal_comparison/20260503T171942Z/step_0.018/tile,0,3c5e21637eecd9504393f2bcc3a8265124a23cc2f5b0f51912f0b596cc392a62,2413,4.1892,0.090851,0.09246,15232,0.003125,572,572,3.24856,clean_exit
