edge_id,node_a,node_b,seam_length_px,collider_flip_count,domain_flip_count,boundary_event_flip_count,mean_continuity_discontinuity_score,max_continuity_discontinuity_score,mean_hit_distance_delta,max_hit_distance_delta,mean_path_length_delta,max_path_length_delta,mean_step_count_delta,max_step_count_delta,mean_normal_angle_delta,max_normal_angle_delta,unresolved_sample_count_on_seam,ownership_transition_count,edge_stability_class
1,0,1,3,3,0,0,2.006201,2.008313,0.015501,0.020783,0.015501,0.020783,0.0,0.0,90.0,90.0,0,0,precision_sensitive
2,0,3,49,49,0,0,,,6.267189,6.926407,,,700.0,700.0,0.0,0.0,0,0,unknown
3,1,2,3,3,0,0,2.006201,2.008313,0.015501,0.020783,0.015501,0.020783,0.0,0.0,90.0,90.0,0,0,precision_sensitive
4,1,3,222,222,0,0,,,5.937058,6.94719,,,700.0,700.0,0.0,0.0,0,0,unknown
5,2,3,49,49,0,0,,,6.267189,6.926407,,,700.0,700.0,0.0,0.0,0,0,unknown
6,3,4,51,51,0,0,3.0,3.0,6.006049,6.618785,,,700.0,700.0,0.0,0.0,0,0,precision_sensitive
7,3,5,218,218,0,0,2.999507,3.0,5.559345,6.626317,,,700.0,700.0,0.0,0.0,0,0,precision_sensitive
8,3,6,51,51,0,0,3.0,3.0,6.006049,6.618785,,,700.0,700.0,0.0,0.0,0,0,precision_sensitive
9,4,5,3,3,0,0,2.005073,2.007132,0.012681,0.01783,0.012681,0.01783,0.0,0.0,90.0,90.0,0,0,precision_sensitive
10,4,7,51,51,0,0,,,5.981997,6.58674,,,700.0,700.0,0.0,0.0,0,0,unknown
11,5,6,2,2,0,0,2.004043,2.005073,0.010108,0.012683,0.010108,0.012683,0.0,0.0,90.0,90.0,0,0,precision_sensitive
12,5,7,219,219,0,0,,,5.532063,6.615325,,,700.0,700.0,0.0,0.0,0,0,unknown
13,6,7,51,51,0,0,,,5.993942,6.602642,,,700.0,700.0,0.0,0.0,0,0,unknown
14,7,8,51,51,0,0,3.0,3.0,5.958585,6.555532,,,700.0,700.0,0.0,0.0,0,0,precision_sensitive
15,7,9,218,218,0,0,2.997021,3.0,5.500077,6.583545,,,700.0,700.0,0.0,0.0,0,0,precision_sensitive
16,7,10,51,51,0,0,3.0,3.0,5.958585,6.555532,,,700.0,700.0,0.0,0.0,0,0,precision_sensitive
17,8,9,4,4,0,0,2.008713,2.011205,0.021782,0.028013,0.021782,0.028013,0.0,0.0,90.0,90.0,0,0,precision_sensitive
18,8,11,52,52,0,0,,,5.947791,6.558029,,,700.0,700.0,0.0,0.0,0,0,unknown
19,9,10,3,3,0,0,2.008705,2.011205,0.021761,0.028013,0.021761,0.028013,0.0,0.0,90.0,90.0,0,0,precision_sensitive
20,9,11,217,217,0,0,,,5.464223,6.546274,,,700.0,700.0,0.0,0.0,0,0,unknown
21,10,11,52,52,0,0,,,5.959165,6.573309,,,700.0,700.0,0.0,0.0,0,0,unknown
22,11,12,52,52,0,0,3.0,3.0,5.925534,6.528114,,,700.0,700.0,0.0,0.0,0,0,precision_sensitive
23,11,13,216,216,0,0,2.99359,3.0,5.434011,6.516592,,,700.0,700.0,0.0,0.0,0,0,precision_sensitive
24,11,14,52,52,0,0,3.0,3.0,5.925534,6.528114,,,700.0,700.0,0.0,0.0,0,0,precision_sensitive
25,12,13,3,3,0,0,2.002555,2.004609,0.006388,0.011522,0.006388,0.011522,0.0,0.0,90.0,90.0,0,0,precision_sensitive
26,12,15,52,52,0,0,,,5.903943,6.499082,,,700.0,700.0,0.0,0.0,0,0,unknown
27,13,14,2,2,0,0,2.003584,2.004609,0.008961,0.011522,0.008961,0.011522,0.0,0.0,90.0,90.0,0,0,precision_sensitive
28,13,15,217,217,0,0,,,5.409616,6.507105,,,700.0,700.0,0.0,0.0,0,0,unknown
29,14,15,52,52,0,0,,,5.914654,6.513505,,,700.0,700.0,0.0,0.0,0,0,unknown
