node_id,transport_signature,had_hit,collider_id,domain_id,boundary_event_bucket,area_px,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,mean_hit_distance,mean_path_length,mean_step_count,mean_boundary_event_count,mean_normal_x,mean_normal_y,mean_normal_z,is_unresolved_island_member,precision_floor_label,epsilon_stable_area_px,source_step_length,traversal,stride
0,1|26206012821|0|0,1,26206012821,0,0,147,24.0,1.0,0,0,48,2,6.282392,6.282392,700.0,0.0,1.0,0.0,0.0,0,,,0.015,row,1
1,1|26105349517|0|0,1,26105349517,0,0,666,159.5,1.0,49,0,270,2,5.955906,5.955906,700.0,0.0,0.0,0.0,1.0,0,,,0.015,row,1
2,1|26256344472|0|0,1,26256344472,0,0,147,295.0,1.0,271,0,319,2,6.282392,6.282392,700.0,0.0,-1.0,0.0,0.0,0,,,0.015,row,1
3,0|0|0|0,0,0,0,0,6400,159.5,12.5,0,3,319,22,0.0,,0.0,0.0,,,,0,,,0.015,row,1
4,1|26206012821|0|0,1,26206012821,0,0,153,25.0,24.0,0,23,50,25,5.993996,5.993996,700.0,0.0,1.0,0.0,0.0,0,,,0.015,row,1
5,1|26105349517|0|0,1,26105349517,0,0,609,153.108374,23.926108,51,23,268,25,5.505819,5.505819,700.0,0.0,0.0,0.0,1.0,0,,,0.015,row,1
6,1|26256344472|0|0,1,26256344472,0,0,102,294.0,23.5,269,23,319,24,5.999995,5.999995,700.0,0.0,-1.0,0.0,0.0,0,,,0.015,row,1
7,0|0|0|0,0,0,0,0,416,185.346154,25.769231,0,25,319,26,0.0,,0.0,0.0,,,,0,,,0.015,row,1
8,1|26206012821|0|0,1,26206012821,0,0,155,25.335484,28.006452,0,27,51,29,5.955158,5.955158,700.0,0.0,1.0,0.0,0.0,0,,,0.015,row,1
9,1|26105349517|0|0,1,26105349517,0,0,574,150.231707,27.864111,51,27,268,29,5.45155,5.45155,700.0,0.0,0.0,0.0,1.0,0,,,0.015,row,1
10,1|26256344472|0|0,1,26256344472,0,0,103,293.747573,27.504854,268,27,319,28,5.958878,5.958878,700.0,0.0,-1.0,0.0,0.0,0,,,0.015,row,1
11,0|0|0|0,0,0,0,0,448,186.928571,29.714286,0,29,319,30,0.0,,0.0,0.0,,,,0,,,0.015,row,1
12,1|26206012821|0|0,1,26206012821,0,0,156,25.5,32.0,0,31,51,33,5.91471,5.91471,700.0,0.0,1.0,0.0,0.0,0,,,0.015,row,1
13,1|26105349517|0|0,1,26105349517,0,0,572,150.199301,31.867133,52,31,267,33,5.391816,5.391816,700.0,0.0,0.0,0.0,1.0,0,,,0.015,row,1
14,1|26256344472|0|0,1,26256344472,0,0,104,293.5,31.5,268,31,319,32,5.920094,5.920094,700.0,0.0,-1.0,0.0,0.0,0,,,0.015,row,1
15,0|0|0|0,0,0,0,0,46848,159.762295,106.29918,0,33,319,179,0.0,,0.0,0.0,,,,0,,,0.015,row,1
