region_id,collider_id,area,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,contour_pixel_count,mean_discontinuity_score,max_discontinuity_score,boundary_flip_count,high_vector_count,boundary_high_vector_density,boundary_aligns_with_high_vector_density
0,26206012821,147,24.0,1.0,0,0,48,2,100,2.006201,2.008313,3,3,0.03,False
1,26105349517,666,159.5,1.0,49,0,270,2,446,2.006201,2.008313,6,6,0.013453,False
2,26256344472,147,295.0,1.0,271,0,319,2,100,2.006201,2.008313,3,3,0.03,False
3,26206012821,153,25.0,24.0,0,23,50,25,104,2.944726,3.0,54,54,0.519231,True
4,26105349517,609,153.108,23.926,51,23,268,25,437,2.977201,3.0,223,223,0.510297,True
5,26256344472,102,294.0,23.5,269,23,319,24,102,2.962417,3.0,53,53,0.519608,True
6,26206012821,155,25.335,28.006,0,27,51,29,105,2.929194,3.0,56,56,0.533333,True
7,26105349517,574,150.232,27.864,51,27,268,29,435,2.966274,3.0,225,225,0.517241,True
8,26256344472,103,293.748,27.505,268,27,319,28,103,2.945929,3.0,55,55,0.533981,True
9,26206012821,156,25.5,32.0,0,31,51,33,106,2.945594,3.0,55,55,0.518868,True
10,26105349517,572,150.199,31.867,52,31,267,33,433,2.971178,3.0,221,221,0.510393,True
11,26256344472,104,293.5,31.5,268,31,319,32,104,2.963096,3.0,54,54,0.519231,True
