x,y,neighbor_x,neighbor_y,collider_change,domain_change,hit_distance_delta,hit_normal_angle_delta,path_length_delta,boundary_event_delta,step_count_delta,ownership_flip_score,total_transport_discontinuity_score
11,2,12,2,1,0,0.132601,90.0,0.132601,0,0.0,1.0,2.05304
67,2,68,2,1,0,0.132601,90.0,0.132601,0,0.0,1.0,2.05304
11,1,12,1,1,0,0.114498,90.0,0.114498,0,0.0,1.0,2.045799
67,1,68,1,1,0,0.114498,90.0,0.114498,0,0.0,1.0,2.045799
13,14,14,14,1,0,0.110774,90.0,0.110774,0,0.0,1.0,2.04431
65,14,66,14,1,0,0.110774,90.0,0.110774,0,0.0,1.0,2.04431
12,13,13,13,1,0,0.101379,90.0,0.101379,0,0.0,1.0,2.040552
66,13,67,13,1,0,0.101379,90.0,0.101379,0,0.0,1.0,2.040552
11,0,12,0,1,0,0.096124,90.0,0.096124,0,0.0,1.0,2.038449
67,0,68,0,1,0,0.096124,90.0,0.096124,0,0.0,1.0,2.038449
13,15,14,15,1,0,0.091138,90.0,0.091138,0,0.0,1.0,2.036455
65,15,66,15,1,0,0.091126,90.0,0.091126,0,0.0,1.0,2.036451
12,3,13,3,1,0,0.088583,90.0,0.088583,0,0.0,1.0,2.035433
66,3,67,3,1,0,0.088583,90.0,0.088583,0,0.0,1.0,2.035433
12,12,13,12,1,0,0.08272,90.0,0.08272,0,0.0,1.0,2.033088
66,12,67,12,1,0,0.08272,90.0,0.08272,0,0.0,1.0,2.033088
13,16,14,16,1,0,0.071414,90.0,0.071414,0,0.0,1.0,2.028566
65,16,66,16,1,0,0.071412,90.0,0.071412,0,0.0,1.0,2.028565
12,4,13,4,1,0,0.06881,90.0,0.06881,0,0.0,1.0,2.027524
66,4,67,4,1,0,0.06881,90.0,0.06881,0,0.0,1.0,2.027524
12,2,12,3,1,0,0.066483,90.0,0.066483,0,0.0,1.0,2.026593
67,2,67,3,1,0,0.066483,90.0,0.066483,0,0.0,1.0,2.026593
12,11,13,11,1,0,0.064073,90.0,0.064073,0,0.0,1.0,2.025629
66,11,67,11,1,0,0.064073,90.0,0.064073,0,0.0,1.0,2.025629
13,17,14,17,1,0,0.051686,90.0,0.051686,0,0.0,1.0,2.020674
65,17,66,17,1,0,0.051686,90.0,0.051686,0,0.0,1.0,2.020674
12,5,13,5,1,0,0.049281,90.0,0.049281,0,0.0,1.0,2.019712
66,5,67,5,1,0,0.049281,90.0,0.049281,0,0.0,1.0,2.019712
12,10,13,10,1,0,0.045454,90.0,0.045454,0,0.0,1.0,2.018182
66,10,67,10,1,0,0.045454,90.0,0.045454,0,0.0,1.0,2.018182
13,18,14,18,1,0,0.031832,90.0,0.031832,0,0.0,1.0,2.012733
65,18,66,18,1,0,0.03183,90.0,0.03183,0,0.0,1.0,2.012732
12,6,13,6,1,0,0.029992,90.0,0.029992,0,0.0,1.0,2.011997
66,6,67,6,1,0,0.029992,90.0,0.029992,0,0.0,1.0,2.011997
13,21,14,21,1,0,0.028879,90.0,0.028879,0,0.0,1.0,2.011552
65,21,66,21,1,0,0.028879,90.0,0.028879,0,0.0,1.0,2.011552
12,9,13,9,1,0,0.026783,90.0,0.026783,0,0.0,1.0,2.010713
66,9,67,9,1,0,0.026783,90.0,0.026783,0,0.0,1.0,2.010713
13,13,13,14,1,0,0.020629,90.0,0.020629,0,0.0,1.0,2.008252
66,13,66,14,1,0,0.020629,90.0,0.020629,0,0.0,1.0,2.008252
13,19,14,19,1,0,0.011816,90.0,0.011816,0,0.0,1.0,2.004726
65,19,66,19,1,0,0.011816,90.0,0.011816,0,0.0,1.0,2.004726
12,7,13,7,1,0,0.010921,90.0,0.010921,0,0.0,1.0,2.004368
66,7,67,7,1,0,0.010921,90.0,0.010921,0,0.0,1.0,2.004368
65,20,66,20,1,0,0.008419,90.0,0.008419,0,0.0,1.0,2.003368
13,20,14,20,1,0,0.008388,90.0,0.008388,0,0.0,1.0,2.003355
12,8,13,8,1,0,0.008,90.0,0.008,0,0.0,1.0,2.0032
66,8,67,8,1,0,0.008,90.0,0.008,0,0.0,1.0,2.0032
