node_id,anchor_id,object_id,projected_tile,projected_x,projected_y,radial_offset_x,radial_offset_y,max_decision_risk,risk_at_0.00625,required_precision_estimate,convergence_class,local_maximum,persistent_mismatch_at_0.00625,threshold_snap_zone
1,geometry:25937577361:centroid,geometry:25937577361,1,67,56,0,-4,2.293107,2.291346,0.003125,threshold_snap,yes,yes,yes
2,geometry:25937577361:centroid,geometry:25937577361,1,67,64,0,4,2.288417,2.28744,0.003125,threshold_snap,no,yes,yes
3,geometry:25937577361:centroid,geometry:25937577361,1,71,60,4,0,2.28141,2.279662,0.003125,threshold_snap,no,yes,yes
4,geometry:25937577361:centroid,geometry:25937577361,1,67,58,0,-2,2.279068,2.278672,0.003125,threshold_snap,no,yes,yes
5,geometry:25937577361:centroid,geometry:25937577361,0,63,60,-4,0,2.279065,2.277683,0.003125,threshold_snap,no,yes,yes
6,geometry:25937577361:centroid,geometry:25937577361,1,67,62,0,2,2.276726,2.276721,0.003125,threshold_snap,no,yes,yes
7,geometry:25937577361:centroid,geometry:25937577361,1,69,60,2,0,2.274783,2.274772,0.003125,threshold_snap,no,yes,yes
8,geometry:25937577361:centroid,geometry:25937577361,1,65,60,-2,0,2.274782,2.273808,0.003125,threshold_snap,no,yes,yes
9,geometry:25937577361:centroid,geometry:25937577361,1,68,60,1,0,2.274771,2.273793,0.003125,threshold_snap,no,yes,yes
10,geometry:25937577361:centroid,geometry:25937577361,1,67,61,0,1,2.274771,2.273793,0.003125,threshold_snap,no,yes,yes
11,geometry:25937577361:centroid,geometry:25937577361,1,67,59,0,-1,2.274756,2.273776,0.003125,threshold_snap,no,yes,yes
12,geometry:25937577361:centroid,geometry:25937577361,1,67,60,0,0,2.27437,2.272816,0.003125,threshold_snap,no,yes,yes
13,geometry:25937577361:centroid,geometry:25937577361,1,66,60,-1,0,2.274369,2.272802,0.003125,threshold_snap,no,yes,yes
14,geometry:25836914057:centroid,geometry:25836914057,2,156,90,-4,0,2.250943,2.249386,0.003125,threshold_snap,yes,yes,yes
15,geometry:25836914057:centroid,geometry:25836914057,2,160,90,0,0,2.249403,2.248417,0.003125,threshold_snap,no,yes,yes
16,geometry:25836914057:centroid,geometry:25836914057,2,159,90,-1,0,2.249403,2.248417,0.003125,threshold_snap,no,yes,yes
17,geometry:25836914057:centroid,geometry:25836914057,2,160,89,0,-1,2.249403,2.248417,0.003125,threshold_snap,no,yes,yes
18,geometry:25836914057:centroid,geometry:25836914057,2,158,90,-2,0,2.249394,2.248415,0.003125,threshold_snap,no,yes,yes
19,geometry:25836914057:centroid,geometry:25836914057,2,160,94,0,4,2.249392,2.248427,0.003125,threshold_snap,no,yes,yes
20,geometry:25836914057:centroid,geometry:25836914057,2,160,91,0,1,2.24939,2.248414,0.003125,threshold_snap,no,yes,yes
21,geometry:25836914057:centroid,geometry:25836914057,2,160,88,0,-2,2.24939,2.248414,0.003125,threshold_snap,no,yes,yes
22,geometry:25836914057:centroid,geometry:25836914057,2,160,86,0,-4,2.24939,2.248414,0.003125,threshold_snap,no,yes,yes
23,geometry:25836914057:centroid,geometry:25836914057,2,160,92,0,2,2.249375,2.248397,0.003125,threshold_snap,no,yes,yes
24,geometry:25836914057:centroid,geometry:25836914057,2,161,90,1,0,2.248616,2.247439,0.003125,threshold_snap,no,yes,yes
25,geometry:25836914057:centroid,geometry:25836914057,2,162,90,2,0,2.248612,2.247438,0.003125,threshold_snap,no,yes,yes
26,geometry:25836914057:centroid,geometry:25836914057,2,164,90,4,0,2.247421,2.246444,0.003125,threshold_snap,no,yes,yes
