node_id,anchor_id,object_id,projected_tile,projected_x,projected_y,object_centroid_projected_x,object_centroid_projected_y,radial_dist_from_object_centroid,radial_angle_from_object_centroid,nearest_anchor_kind,nearest_corner_dist,nearest_edge_dist,radial_offset_x,radial_offset_y,max_decision_risk,risk_at_0.00625,required_precision_estimate,convergence_class,local_maximum,persistent_mismatch_at_0.00625,threshold_snap_zone
1,geometry:25836914057:centroid,geometry:25836914057,2,144,106,160,90,22.62742,2.356194,Centroid,-1.0,51.5461,-16,16,2.257976,2.257198,0.003125,threshold_snap,yes,yes,yes
2,geometry:25836914057:centroid,geometry:25836914057,2,144,74,160,90,22.62742,-2.356194,Centroid,-1.0,52.49762,-16,-16,2.257973,2.257199,0.003125,threshold_snap,yes,yes,yes
3,geometry:25836914057:centroid,geometry:25836914057,2,144,90,160,90,16.0,3.141593,Centroid,-1.0,66.94027,-16,0,2.255624,2.255245,0.003125,threshold_snap,yes,yes,yes
4,geometry:25836914057:centroid,geometry:25836914057,2,152,82,160,90,11.31371,-2.356194,Centroid,-1.0,58.54913,-8,-8,2.253298,2.251343,0.003125,threshold_snap,yes,yes,yes
5,geometry:25836914057:centroid,geometry:25836914057,2,152,98,160,90,11.31371,2.356194,Centroid,-1.0,57.55867,-8,8,2.25328,2.252301,0.003125,threshold_snap,yes,yes,yes
6,geometry:25836914057:centroid,geometry:25836914057,2,152,90,160,90,8.0,3.141593,Centroid,-1.0,65.49046,-8,0,2.25136,2.25136,0.003125,threshold_snap,no,yes,yes
7,geometry:25836914057:centroid,geometry:25836914057,2,160,74,160,90,16.0,-1.570796,Centroid,-1.0,50.0,0,-16,2.251358,2.25037,0.003125,threshold_snap,yes,yes,yes
8,geometry:25836914057:centroid,geometry:25836914057,2,160,106,160,90,16.0,1.570796,Centroid,-1.0,49.0,0,16,2.251355,2.25037,0.003125,threshold_snap,yes,yes,yes
9,geometry:25836914057:centroid,geometry:25836914057,2,156,90,160,90,4.0,3.141593,Centroid,-1.0,65.12296,-4,0,2.250943,2.249386,0.003125,threshold_snap,no,yes,yes
10,geometry:25836914057:centroid,geometry:25836914057,2,156,86,160,90,5.656854,-2.356194,Centroid,-1.0,62.1289,-4,-4,2.250941,2.249375,0.003125,threshold_snap,no,yes,yes
11,geometry:25836914057:centroid,geometry:25836914057,2,156,94,160,90,5.656854,2.356194,Centroid,-1.0,61.13101,-4,4,2.250939,2.249389,0.003125,threshold_snap,no,yes,yes
12,geometry:25836914057:centroid,geometry:25836914057,2,160,90,160,90,0.0,0.0,Centroid,-1.0,65.0,0,0,2.249403,2.248417,0.003125,threshold_snap,no,yes,yes
13,geometry:25836914057:centroid,geometry:25836914057,2,159,90,160,90,1.0,3.141593,Centroid,-1.0,65.00769,-1,0,2.249403,2.248417,0.003125,threshold_snap,no,yes,yes
14,geometry:25836914057:centroid,geometry:25836914057,2,160,89,160,90,1.0,-1.570796,Centroid,-1.0,65.0,0,-1,2.249403,2.248417,0.003125,threshold_snap,no,yes,yes
15,geometry:25836914057:centroid,geometry:25836914057,2,159,89,160,90,1.414214,-2.356194,Centroid,-1.0,65.00769,-1,-1,2.249403,2.248417,0.003125,threshold_snap,no,yes,yes
16,geometry:25836914057:centroid,geometry:25836914057,2,158,90,160,90,2.0,3.141593,Centroid,-1.0,65.03076,-2,0,2.249394,2.248415,0.003125,threshold_snap,no,yes,yes
17,geometry:25836914057:centroid,geometry:25836914057,2,160,94,160,90,4.0,1.570796,Centroid,-1.0,61.0,0,4,2.249392,2.248427,0.003125,threshold_snap,no,yes,yes
18,geometry:25836914057:centroid,geometry:25836914057,2,160,98,160,90,8.0,1.570796,Centroid,-1.0,57.0,0,8,2.249392,2.248427,0.003125,threshold_snap,no,yes,yes
19,geometry:25836914057:centroid,geometry:25836914057,2,160,91,160,90,1.0,1.570796,Centroid,-1.0,64.0,0,1,2.24939,2.248414,0.003125,threshold_snap,no,yes,yes
20,geometry:25836914057:centroid,geometry:25836914057,2,159,91,160,90,1.414214,2.356194,Centroid,-1.0,64.00781,-1,1,2.24939,2.248414,0.003125,threshold_snap,no,yes,yes
21,geometry:25836914057:centroid,geometry:25836914057,2,160,88,160,90,2.0,-1.570796,Centroid,-1.0,64.0,0,-2,2.24939,2.248414,0.003125,threshold_snap,no,yes,yes
22,geometry:25836914057:centroid,geometry:25836914057,2,160,86,160,90,4.0,-1.570796,Centroid,-1.0,62.0,0,-4,2.24939,2.248414,0.003125,threshold_snap,no,yes,yes
23,geometry:25836914057:centroid,geometry:25836914057,2,158,88,160,90,2.828427,-2.356194,Centroid,-1.0,64.03124,-2,-2,2.249387,2.248413,0.003125,threshold_snap,no,yes,yes
