region_id,node_id,object_id,node_center_x,node_center_y,object_centroid_projected_x,object_centroid_projected_y,max_decision_risk,inner_high_risk_radius,outer_stable_radius,required_precision_label_inside_region,convergence_class_distribution,region_class,sample_count,high_risk_sample_count,stable_sample_count,sealed
1,1,geometry:25836914057,144,106,160,90,2.257976,25.612497,,0.003125,threshold_snap:32,UNSEALED_NONCONVERGENT,32,32,0,no
2,2,geometry:25836914057,144,74,160,90,2.257973,25.612497,,0.003125,threshold_snap:32,UNSEALED_NONCONVERGENT,32,32,0,no
3,3,geometry:25836914057,144,90,160,90,2.257976,25.298221,,0.003125,threshold_snap:38,UNSEALED_NONCONVERGENT,38,38,0,no
4,4,geometry:25836914057,152,82,160,90,2.257976,25.298221,,0.003125,threshold_snap:40,UNSEALED_NONCONVERGENT,40,40,0,no
5,5,geometry:25836914057,152,98,160,90,2.257976,25.298221,,0.003125,threshold_snap:40,UNSEALED_NONCONVERGENT,40,40,0,no
6,6,geometry:25836914057,152,90,160,90,2.257976,24,,0.003125,threshold_snap:39,UNSEALED_NONCONVERGENT,39,39,0,no
7,7,geometry:25836914057,160,74,160,90,2.257973,25.298221,,0.003125,threshold_snap:38,UNSEALED_NONCONVERGENT,38,38,0,no
8,8,geometry:25836914057,160,106,160,90,2.257976,25.298221,,0.003125,threshold_snap:38,UNSEALED_NONCONVERGENT,38,38,0,no
9,9,geometry:25836914057,156,90,160,90,2.257976,25.612497,,0.003125,threshold_snap:41,UNSEALED_NONCONVERGENT,41,41,0,no
10,10,geometry:25836914057,156,86,160,90,2.257976,23.323808,,0.003125,threshold_snap:40,UNSEALED_NONCONVERGENT,40,40,0,no
11,11,geometry:25836914057,156,94,160,90,2.257976,23.323808,,0.003125,threshold_snap:40,UNSEALED_NONCONVERGENT,40,40,0,no
12,12,geometry:25836914057,160,90,160,90,2.257976,22.627417,,0.003125,threshold_snap:41,UNSEALED_NONCONVERGENT,41,41,0,no
