sample_id,roi_id,pixel_x,pixel_y,production_step_length,oracle_step_length,collider_match,domain_match,normal_angle_delta,hit_distance_delta,path_length_delta,boundary_event_delta,step_count_delta,ownership_graph_agreement,epsilon_stability_class,secondary_tags,decision_risk,oracle_repeat_match,oracle_self_path_delta,oracle_self_graph_delta,comparison_confidence
oracle_px_0000_36_31,manual_roi_0,36,31,0.015,0.001563,1,1,0,0.000055,0.002583,0,4883,0.99969,stable,,0.00031,1,0,0,high
oracle_px_0001_37_31,manual_roi_0,37,31,0.015,0.001563,1,1,0,0.000114,0.007269,0,4880,0.999133,stable,,0.000867,1,0,0,high
oracle_px_0002_38_31,manual_roi_0,38,31,0.015,0.001563,1,1,0,0.000101,0.010393,0,4878,0.998767,unresolved,,0.001233,1,0,0,high
oracle_px_0003_39_31,manual_roi_0,39,31,0.015,0.001563,1,1,0,0.000141,0.000079,0,4876,0.999974,stable,,0.000026,1,0,0,high
oracle_px_0004_40_31,manual_roi_0,40,31,0.015,0.001563,1,1,0,0.000255,0.004766,0,4873,0.999409,stable,,0.000591,1,0,0,high
oracle_px_0005_41_31,manual_roi_0,41,31,0.015,0.001563,1,1,0,0.000311,0.00789,0,4871,0.999035,stable,,0.000965,1,0,0,high
oracle_px_0006_42_31,manual_roi_0,42,31,0.015,0.001563,1,1,0,0.000363,0.012576,0,4868,0.998476,unresolved,,0.001524,1,0,0,high
oracle_px_0007_43_31,manual_roi_0,43,31,0.015,0.001563,1,1,0,0.0004,0.002262,0,4866,0.999686,stable,,0.000314,1,0,0,high
oracle_px_0008_44_31,manual_roi_0,44,31,0.015,0.001563,1,1,0,0.000344,0.005386,0,4864,0.999325,stable,,0.000675,1,0,0,high
oracle_px_0009_36_32,manual_roi_0,36,32,0.015,0.001563,1,1,0,0.000454,0.008831,0,4879,0.998909,stable,,0.001091,1,0,0,high
oracle_px_0010_37_32,manual_roi_0,37,32,0.015,0.001563,1,1,0,0.000482,0.013517,0,4876,0.998354,unresolved,,0.001646,1,0,0,high
oracle_px_0011_38_32,manual_roi_0,38,32,0.015,0.001563,1,1,0,0.00004,0.003203,0,4874,0.999619,stable,,0.000382,1,0,0,high
oracle_px_0012_39_32,manual_roi_0,39,32,0.015,0.001563,1,1,0,0.00006,0.006328,0,4872,0.999248,stable,,0.000752,1,0,0,high
oracle_px_0013_40_32,manual_roi_0,40,32,0.015,0.001563,1,1,0,0.000122,0.011014,0,4869,0.998689,unresolved,,0.001311,1,0,0,high
oracle_px_0014_41_32,manual_roi_0,41,32,0.015,0.001563,1,1,0,0.00008,0.0007,0,4867,0.999908,stable,,0.000092,1,0,0,high
oracle_px_0015_42_32,manual_roi_0,42,32,0.015,0.001563,1,1,0,0.000111,0.003824,0,4865,0.999536,stable,,0.000464,1,0,0,high
