sample_id,step_length,runtime_ms,step_count,event_count,refinement_count,graph_stability,decision_risk
oracle_px_0000_36_31,0.001563,16,5451,0,0,1,0
oracle_px_0000_36_31,0.015,1,568,0,0,0.99969,0.00031
oracle_px_0001_37_31,0.001563,13,5448,0,0,1,0
oracle_px_0001_37_31,0.015,1,568,0,0,0.999133,0.000867
oracle_px_0002_38_31,0.001563,17,5446,0,0,1,0
oracle_px_0002_38_31,0.015,1,568,0,0,0.998767,0.001233
oracle_px_0003_39_31,0.001563,20,5443,0,0,1,0
oracle_px_0003_39_31,0.015,3,567,0,0,0.999974,0.000026
oracle_px_0004_40_31,0.001563,17,5440,0,0,1,0
oracle_px_0004_40_31,0.015,2,567,0,0,0.999409,0.000591
oracle_px_0005_41_31,0.001563,15,5438,0,0,1,0
oracle_px_0005_41_31,0.015,2,567,0,0,0.999035,0.000965
oracle_px_0006_42_31,0.001563,9,5435,0,0,1,0
oracle_px_0006_42_31,0.015,2,567,0,0,0.998476,0.001524
oracle_px_0007_43_31,0.001563,9,5432,0,0,1,0
oracle_px_0007_43_31,0.015,1,566,0,0,0.999686,0.000314
oracle_px_0008_44_31,0.001563,9,5430,0,0,1,0
oracle_px_0008_44_31,0.015,1,566,0,0,0.999325,0.000675
oracle_px_0009_36_32,0.001563,9,5447,0,0,1,0
oracle_px_0009_36_32,0.015,1,568,0,0,0.998909,0.001091
oracle_px_0010_37_32,0.001563,9,5444,0,0,1,0
oracle_px_0010_37_32,0.015,1,568,0,0,0.998354,0.001646
oracle_px_0011_38_32,0.001563,9,5441,0,0,1,0
oracle_px_0011_38_32,0.015,1,567,0,0,0.999619,0.000382
oracle_px_0012_39_32,0.001563,15,5439,0,0,1,0
oracle_px_0012_39_32,0.015,1,567,0,0,0.999248,0.000752
oracle_px_0013_40_32,0.001563,14,5436,0,0,1,0
oracle_px_0013_40_32,0.015,1,567,0,0,0.998689,0.001311
oracle_px_0014_41_32,0.001563,10,5433,0,0,1,0
oracle_px_0014_41_32,0.015,1,566,0,0,0.999908,0.000092
oracle_px_0015_42_32,0.001563,9,5431,0,0,1,0
oracle_px_0015_42_32,0.015,1,566,0,0,0.999536,0.000464
oracle_px_0016_43_32,0.001563,9,5428,0,0,1,0
oracle_px_0016_43_32,0.015,1,566,0,0,0.998984,0.001016
oracle_px_0017_44_32,0.001563,9,5425,0,0,1,0
oracle_px_0017_44_32,0.015,1,566,0,0,0.998429,0.001571
oracle_px_0018_36_33,0.001563,9,5443,0,0,1,0
oracle_px_0018_36_33,0.015,1,567,0,0,0.999974,0.000026
oracle_px_0019_37_33,0.001563,9,5440,0,0,1,0
oracle_px_0019_37_33,0.015,1,567,0,0,0.999409,0.000591
oracle_px_0020_38_33,0.001563,14,5438,0,0,1,0
oracle_px_0020_38_33,0.015,1,567,0,0,0.999025,0.000975
oracle_px_0021_39_33,0.001563,14,5435,0,0,1,0
oracle_px_0021_39_33,0.015,1,567,0,0,0.998476,0.001524
oracle_px_0022_40_33,0.001563,9,5432,0,0,1,0
oracle_px_0022_40_33,0.015,1,566,0,0,0.999679,0.000321
oracle_px_0023_41_33,0.001563,9,5430,0,0,1,0
oracle_px_0023_41_33,0.015,1,566,0,0,0.999298,0.000702
oracle_px_0024_42_33,0.001563,9,5427,0,0,1,0
oracle_px_0024_42_33,0.015,1,566,0,0,0.998807,0.001193
oracle_px_0025_43_33,0.001563,9,5424,0,0,1,0
oracle_px_0025_43_33,0.015,1,565,0,0,0.999968,0.000032
oracle_px_0026_44_33,0.001563,9,5421,0,0,1,0
oracle_px_0026_44_33,0.015,1,565,0,0,0.999475,0.000525
oracle_px_0027_36_34,0.001563,9,5439,0,0,1,0
oracle_px_0027_36_34,0.015,1,567,0,0,0.999202,0.000799
oracle_px_0028_37_34,0.001563,13,5436,0,0,1,0
oracle_px_0028_37_34,0.015,1,567,0,0,0.998702,0.001298
oracle_px_0029_38_34,0.001563,15,5433,0,0,1,0
oracle_px_0029_38_34,0.015,1,566,0,0,0.999901,0.000099
oracle_px_0030_39_34,0.001563,9,5431,0,0,1,0
oracle_px_0030_39_34,0.015,1,566,0,0,0.999536,0.000464
oracle_px_0031_40_34,0.001563,9,5428,0,0,1,0
oracle_px_0031_40_34,0.015,1,566,0,0,0.998971,0.00103
oracle_px_0032_41_34,0.001563,9,5425,0,0,1,0
oracle_px_0032_41_34,0.015,1,566,0,0,0.998404,0.001596
oracle_px_0033_42_34,0.001563,9,5423,0,0,1,0
oracle_px_0033_42_34,0.015,1,565,0,0,0.999804,0.000196
oracle_px_0034_43_34,0.001563,9,5420,0,0,1,0
oracle_px_0034_43_34,0.015,1,565,0,0,0.999246,0.000754
oracle_px_0035_44_34,0.001563,9,5418,0,0,1,0
oracle_px_0035_44_34,0.015,1,565,0,0,0.998873,0.001127
oracle_px_0036_36_35,0.001563,15,5435,0,0,1,0
oracle_px_0036_36_35,0.015,1,567,0,0,0.998499,0.001501
oracle_px_0037_37_35,0.001563,39,5432,0,0,1,0
oracle_px_0037_37_35,0.015,1,566,0,0,0.999694,0.000306
oracle_px_0038_38_35,0.001563,9,5430,0,0,1,0
oracle_px_0038_38_35,0.015,2,566,0,0,0.999311,0.000689
oracle_px_0039_39_35,0.001563,9,5427,0,0,1,0
oracle_px_0039_39_35,0.015,1,566,0,0,0.998759,0.001241
oracle_px_0040_40_35,0.001563,9,5424,0,0,1,0
oracle_px_0040_40_35,0.015,1,565,0,0,0.999907,0.000093
oracle_px_0041_41_35,0.001563,9,5421,0,0,1,0
oracle_px_0041_41_35,0.015,1,565,0,0,0.999475,0.000525
oracle_px_0042_42_35,0.001563,9,5419,0,0,1,0
oracle_px_0042_42_35,0.015,1,565,0,0,0.999104,0.000896
oracle_px_0043_43_35,0.001563,9,5416,0,0,1,0
oracle_px_0043_43_35,0.015,1,565,0,0,0.998538,0.001462
oracle_px_0044_44_35,0.001563,15,5413,0,0,1,0
oracle_px_0044_44_35,0.015,1,564,0,0,0.999752,0.000248
oracle_px_0045_36_36,0.001563,38,5431,0,0,1,0
oracle_px_0045_36_36,0.015,1,566,0,0,0.999501,0.000499
oracle_px_0046_37_36,0.001563,9,5429,0,0,1,0
oracle_px_0046_37_36,0.015,2,566,0,0,0.999115,0.000885
oracle_px_0047_38_36,0.001563,9,5426,0,0,1,0
oracle_px_0047_38_36,0.015,0,566,0,0,0.998619,0.001381
oracle_px_0048_39_36,0.001563,9,5423,0,0,1,0
oracle_px_0048_39_36,0.015,1,565,0,0,0.999836,0.000164
oracle_px_0049_40_36,0.001563,9,5420,0,0,1,0
oracle_px_0049_40_36,0.015,1,565,0,0,0.999271,0.000729
oracle_px_0050_41_36,0.001563,9,5418,0,0,1,0
oracle_px_0050_41_36,0.015,1,565,0,0,0.998888,0.001112
oracle_px_0051_42_36,0.001563,9,5415,0,0,1,0
oracle_px_0051_42_36,0.015,1,565,0,0,0.998326,0.001674
oracle_px_0052_43_36,0.001563,15,5412,0,0,1,0
oracle_px_0052_43_36,0.015,0,564,0,0,0.999536,0.000464
oracle_px_0053_44_36,0.001563,36,5410,0,0,1,0
oracle_px_0053_44_36,0.015,1,564,0,0,0.999163,0.000837
oracle_px_0054_36_37,0.001563,10,5427,0,0,1,0
oracle_px_0054_36_37,0.015,1,566,0,0,0.998811,0.001189
oracle_px_0055_37_37,0.001563,11,5425,0,0,1,0
oracle_px_0055_37_37,0.015,1,566,0,0,0.998432,0.001568
oracle_px_0056_38_37,0.001563,9,5422,0,0,1,0
oracle_px_0056_38_37,0.015,1,565,0,0,0.999625,0.000375
oracle_px_0057_39_37,0.001563,9,5419,0,0,1,0
oracle_px_0057_39_37,0.015,1,565,0,0,0.999059,0.000941
oracle_px_0058_40_37,0.001563,9,5417,0,0,1,0
oracle_px_0058_40_37,0.015,1,565,0,0,0.998689,0.001311
oracle_px_0059_41_37,0.001563,10,5414,0,0,1,0
oracle_px_0059_41_37,0.015,0,564,0,0,0.999898,0.000102
oracle_px_0060_42_37,0.001563,16,5411,0,0,1,0
oracle_px_0060_42_37,0.015,1,564,0,0,0.999337,0.000663
oracle_px_0061_43_37,0.001563,34,5408,0,0,1,0
oracle_px_0061_43_37,0.015,1,564,0,0,0.998844,0.001156
oracle_px_0062_44_37,0.001563,10,5406,0,0,1,0
oracle_px_0062_44_37,0.015,0,564,0,0,0.998472,0.001528
oracle_px_0063_36_38,0.001563,10,5424,0,0,1,0
oracle_px_0063_36_38,0.015,1,565,0,0,0.999957,0.000043
