sample_id,roi_id,pixel_x,pixel_y,production_step_length,oracle_step_length,collider_match,domain_match,normal_angle_delta,hit_distance_delta,path_length_delta,boundary_event_delta,step_count_delta,ownership_graph_agreement,epsilon_stability_class,secondary_tags,decision_risk,oracle_repeat_match,oracle_self_path_delta,oracle_self_graph_delta,comparison_confidence
oracle_px_0000_38_32,manual_roi_0,38,32,0.015,0.001563,0,1,0,-1,2.103179,0,3530,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.328529,1,0,0,high
oracle_px_0000_38_32,manual_roi_0,38,32,0.00625,0.001563,0,1,0,-1,2.104385,0,2736,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.328717,1,0,0,high
oracle_px_0000_38_32,manual_roi_0,38,32,0.003125,0.001563,0,1,0,-1,2.101547,0,1376,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.328274,1,0,0,high
oracle_px_0001_39_32,manual_roi_0,39,32,0.015,0.001563,0,1,0,-1,2.103179,0,3530,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.328529,1,0,0,high
oracle_px_0001_39_32,manual_roi_0,39,32,0.00625,0.001563,0,1,0,-1,2.098135,0,2737,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.327741,1,0,0,high
oracle_px_0001_39_32,manual_roi_0,39,32,0.003125,0.001563,0,1,0,-1,2.098422,0,1377,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.327786,1,0,0,high
oracle_px_0002_40_32,manual_roi_0,40,32,0.015,0.001563,0,1,0,-1,2.103179,0,3530,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.328529,1,0,0,high
oracle_px_0002_40_32,manual_roi_0,40,32,0.00625,0.001563,0,1,0,-1,2.091884,0,2738,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.326765,1,0,0,high
oracle_px_0002_40_32,manual_roi_0,40,32,0.003125,0.001563,0,1,0,-1,2.092171,0,1379,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.326809,1,0,0,high
oracle_px_0003_41_32,manual_roi_0,41,32,0.015,0.001563,0,1,0,-1,2.088178,0,3531,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.326186,1,0,0,high
