sample_id,roi_id,pixel_x,pixel_y,production_step_length,oracle_step_length,collider_match,domain_match,normal_angle_delta,hit_distance_delta,path_length_delta,boundary_event_delta,step_count_delta,ownership_graph_agreement,epsilon_stability_class,secondary_tags,decision_risk,oracle_repeat_match,oracle_self_path_delta,oracle_self_graph_delta,comparison_confidence
oracle_px_0000_32_26,manual_roi_0,32,26,0.02,0.001563,1,1,0,0.000389,0.011051,0,5055,0.998665,unresolved,,0.001335,1,0,0,high
oracle_px_0000_32_26,manual_roi_0,32,26,0.018,0.001563,1,1,0,0.000406,0.017049,0,5007,0.997963,unresolved,,0.002037,1,0,0,high
oracle_px_0000_32_26,manual_roi_0,32,26,0.016,0.001563,1,1,0,0.000481,0.006991,0,4948,0.999128,stable,,0.000872,1,0,0,high
oracle_px_0000_32_26,manual_roi_0,32,26,0.015,0.001563,1,1,0,0.000455,0.011034,0,4912,0.998659,unresolved,,0.001341,1,0,0,high
oracle_px_0000_32_26,manual_roi_0,32,26,0.014,0.001563,1,1,0,0.000413,0.013021,0,4871,0.998432,unresolved,,0.001568,1,0,0,high
oracle_px_0000_32_26,manual_roi_0,32,26,0.013,0.001563,1,1,0,0.000405,0.01103,0,4824,0.998666,unresolved,,0.001335,1,0,0,high
oracle_px_0000_32_26,manual_roi_0,32,26,0.0125,0.001563,1,1,0,0.000457,0.005985,0,4798,0.999248,stable,,0.000752,1,0,0,high
oracle_px_0000_32_26,manual_roi_0,32,26,0.011,0.001563,1,1,0,0.000404,0.000072,0,4705,0.999944,stable,,0.000056,1,0,0,high
oracle_px_0000_32_26,manual_roi_0,32,26,0.01,0.001563,1,1,0,0.000338,0.001145,0,4627,0.999827,stable,,0.000173,1,0,0,high
oracle_px_0000_32_26,manual_roi_0,32,26,0.0075,0.001563,1,1,0,0.000334,0.003601,0,4341,0.999541,stable,,0.000459,1,0,0,high
oracle_px_0000_32_26,manual_roi_0,32,26,0.00625,0.001563,1,1,0,0.000535,0.000257,0,4113,0.999908,stable,,0.000092,1,0,0,high
oracle_px_0000_32_26,manual_roi_0,32,26,0.003125,0.001563,1,1,0,0.000287,0.00003,0,2742,0.999963,stable,,0.000037,1,0,0,high
oracle_px_0001_33_26,manual_roi_0,33,26,0.02,0.001563,1,1,0,0.000066,0.015738,0,5052,0.998155,unresolved,,0.001845,1,0,0,high
oracle_px_0001_33_26,manual_roi_0,33,26,0.018,0.001563,1,1,0,0.00003,0.003736,0,5005,0.99956,stable,,0.00044,1,0,0,high
oracle_px_0001_33_26,manual_roi_0,33,26,0.016,0.001563,1,1,0,0.000008,0.011678,0,4945,0.998636,unresolved,,0.001364,1,0,0,high
oracle_px_0001_33_26,manual_roi_0,33,26,0.015,0.001563,1,1,0,0.000047,0.00072,0,4910,0.999911,stable,,0.00009,1,0,0,high
oracle_px_0001_33_26,manual_roi_0,33,26,0.014,0.001563,1,1,0,0.000011,0.003707,0,4869,0.999566,stable,,0.000434,1,0,0,high
