family_id,sample_id,pixel_x,pixel_y,offset_x,offset_y,family_class,collider_id,boundary_event_count,path_length
oracle_px_0000_32_26:family:0:0,oracle_px_0000_32_26,32,26,0,0,stable_family,25836914057,0,8.568955
oracle_px_0000_32_26:family:1:0,oracle_px_0000_32_26,33,26,1,0,stable_family,25836914057,0,8.564269
oracle_px_0000_32_26:family:-1:0,oracle_px_0000_32_26,31,26,-1,0,stable_family,25836914057,0,8.573642
oracle_px_0000_32_26:family:0:1,oracle_px_0000_32_26,32,27,0,1,stable_family,25836914057,0,8.562707
oracle_px_0000_32_26:family:0:-1,oracle_px_0000_32_26,32,25,0,-1,stable_family,25836914057,0,8.576766
oracle_px_0000_32_26:family:1:1,oracle_px_0000_32_26,33,27,1,1,stable_family,25836914057,0,8.558021
oracle_px_0000_32_26:family:1:-1,oracle_px_0000_32_26,33,25,1,-1,stable_family,25836914057,0,8.57208
oracle_px_0000_32_26:family:-1:1,oracle_px_0000_32_26,31,27,-1,1,stable_family,25836914057,0,8.567393
oracle_px_0000_32_26:family:-1:-1,oracle_px_0000_32_26,31,25,-1,-1,stable_family,25836914057,0,8.581452
oracle_px_0001_33_26:family:0:0,oracle_px_0001_33_26,33,26,0,0,stable_family,25836914057,0,8.564269
oracle_px_0001_33_26:family:1:0,oracle_px_0001_33_26,34,26,1,0,stable_family,25836914057,0,8.559583
oracle_px_0001_33_26:family:-1:0,oracle_px_0001_33_26,32,26,-1,0,stable_family,25836914057,0,8.568955
oracle_px_0001_33_26:family:0:1,oracle_px_0001_33_26,33,27,0,1,stable_family,25836914057,0,8.558021
oracle_px_0001_33_26:family:0:-1,oracle_px_0001_33_26,33,25,0,-1,stable_family,25836914057,0,8.57208
oracle_px_0001_33_26:family:1:1,oracle_px_0001_33_26,34,27,1,1,stable_family,25836914057,0,8.553334
oracle_px_0001_33_26:family:1:-1,oracle_px_0001_33_26,34,25,1,-1,stable_family,25836914057,0,8.567393
oracle_px_0001_33_26:family:-1:1,oracle_px_0001_33_26,32,27,-1,1,stable_family,25836914057,0,8.562707
oracle_px_0001_33_26:family:-1:-1,oracle_px_0001_33_26,32,25,-1,-1,stable_family,25836914057,0,8.576766
oracle_px_0002_34_26:family:0:0,oracle_px_0002_34_26,34,26,0,0,stable_family,25836914057,0,8.559583
oracle_px_0002_34_26:family:1:0,oracle_px_0002_34_26,35,26,1,0,stable_family,25836914057,0,8.556458
oracle_px_0002_34_26:family:-1:0,oracle_px_0002_34_26,33,26,-1,0,stable_family,25836914057,0,8.564269
oracle_px_0002_34_26:family:0:1,oracle_px_0002_34_26,34,27,0,1,stable_family,25836914057,0,8.553334
oracle_px_0002_34_26:family:0:-1,oracle_px_0002_34_26,34,25,0,-1,stable_family,25836914057,0,8.567393
oracle_px_0002_34_26:family:1:1,oracle_px_0002_34_26,35,27,1,1,stable_family,25836914057,0,8.548648
