x,y,classification,first_stable_step,max_decision_risk,max_path_length_delta,max_normal_angle_delta,ownership_transition,stable_at_0.00625,stable_at_0.003125,risk_0.00625,risk_0.003125,path_delta_0.00625,path_delta_0.003125,normal_delta_0.00625,normal_delta_0.003125
32,26,stable,0.016,0.002037,0.017049,0.0,0,1,1,9.2e-05,3.7e-05,0.000257,3e-05,0.0,0.0
32,27,stable,0.018,0.002067,0.0173,0.0,0,1,1,9.4e-05,3.8e-05,0.000259,2.8e-05,0.0,0.0
32,28,stable,0.02,0.001582,0.013108,0.0,0,1,1,0.000198,0.000214,0.001301,0.001588,0.0,0.0
32,29,stable,0.018,0.001376,0.011358,0.0,0,1,1,0.000211,0.000192,0.001299,0.001586,0.0,0.0
32,30,stable,0.018,0.002089,0.017607,0.0,0,1,1,0.000182,0.000189,0.001297,0.001584,0.0,0.0
32,31,stable,0.02,0.001811,0.015416,0.0,0,1,1,0.000336,1.5e-05,0.002857,1.9e-05,0.0,0.0
32,32,stable,0.018,0.001708,0.014045,0.0,0,1,1,0.000218,0.000217,0.001293,0.001545,0.0,0.0
32,33,stable,0.018,0.002129,0.017914,0.0,0,1,1,0.000366,4e-06,0.002853,1.5e-05,0.0,0.0
32,34,stable,0.02,0.001912,0.016162,0.0,0,1,1,0.000342,4.3e-05,0.002851,1.3e-05,0.0,0.0
32,35,stable,0.018,0.001251,0.01041,0.0,0,1,1,0.000367,3e-06,0.00285,1.1e-05,0.0,0.0
32,36,stable,0.018,0.00183,0.015097,0.0,0,1,1,0.000202,0.000216,0.001286,0.001573,0.0,0.0
32,37,stable,0.02,0.001814,0.015346,0.0,0,1,1,0.000169,0.000217,0.001284,0.001571,0.0,0.0
32,38,stable,0.02,0.001501,0.012576,0.0,0,1,1,0.000179,0.000187,0.001282,0.001569,0.0,0.0
32,39,stable,0.018,0.001481,0.01228,0.0,0,1,1,7.2e-05,1e-06,0.000282,5e-06,0.0,0.0
32,40,stable,0.015,0.002231,0.018528,0.0,0,1,1,9e-05,7e-06,0.000284,3e-06,0.0,0.0
32,41,stable,0.02,0.0009,0.007186,0.0,0,1,1,0.000279,0.000192,0.001848,0.001561,0.0,0.0
32,42,stable,0.02,0.001158,0.009462,0.0,0,1,1,0.000575,0.000191,0.0044,0.001562,0.0,0.0
33,26,stable,0.018,0.001845,0.015738,0.0,0,1,1,0.000521,0.000226,0.004429,0.001591,0.0,0.0
33,27,stable,0.02,0.001168,0.009984,0.0,0,1,1,0.00052,0.000227,0.004427,0.001589,0.0,0.0
33,28,stable,0.02,0.001153,0.009796,0.0,0,1,1,0.000708,0.00041,0.005987,0.003149,0.0,0.0
33,29,stable,0.018,0.001931,0.016045,0.0,0,1,1,9.6e-05,3.8e-05,0.000265,2.2e-05,0.0,0.0
33,30,stable,0.02,0.001494,0.012292,0.0,0,1,1,9.3e-05,1e-05,0.000267,2e-05,0.0,0.0
33,31,stable,0.02,0.001492,0.012483,0.0,0,1,1,6.4e-05,3e-06,0.000269,1.8e-05,0.0,0.0
33,32,stable,0.018,0.001919,0.016352,0.0,0,1,1,0.000166,0.000219,0.001291,0.001578,0.0,0.0
33,33,stable,0.02,0.001569,0.013038,0.0,0,1,1,7.5e-05,3e-05,0.000273,1.4e-05,0.0,0.0
33,34,stable,0.02,0.001057,0.008943,0.0,0,1,1,0.000156,0.000195,0.001287,0.001575,0.0,0.0
33,35,stable,0.018,0.001644,0.013535,0.0,0,1,1,9.4e-05,9e-06,0.000277,1e-05,0.0,0.0
33,36,stable,0.02,0.001622,0.013783,0.0,0,1,1,4.8e-05,3.5e-05,0.000278,9e-06,0.0,0.0
33,37,stable,0.02,0.001316,0.011014,0.0,0,1,1,6.5e-05,2e-06,0.00028,7e-06,0.0,0.0
33,38,stable,0.018,0.001494,0.01228,0.0,0,1,1,9.5e-05,9e-06,0.000282,5e-06,0.0,0.0
33,39,stable,0.015,0.002056,0.016966,0.0,0,1,1,0.000571,0.000217,0.004404,0.001566,0.0,0.0
33,40,stable,0.02,0.001617,0.013197,0.0,0,1,1,0.000592,0.000224,0.004402,0.001564,0.0,0.0
33,41,stable,0.02,0.001467,0.011872,0.0,0,1,1,0.000409,4e-05,0.002838,0.0,0.0,0.0
33,42,stable,0.015,0.001729,0.014149,0.0,0,1,1,0.000408,4e-05,0.002836,2e-06,0.0,0.0
34,26,stable,0.02,0.001109,0.009445,0.0,0,1,1,0.000335,1.6e-05,0.002865,2.7e-05,0.0,0.0
34,27,stable,0.02,0.001719,0.01467,0.0,0,1,1,0.000337,1.5e-05,0.002863,2.5e-05,0.0,0.0
34,28,stable,0.018,0.001525,0.01292,0.0,0,1,1,0.000355,3.5e-05,0.002861,2.3e-05,0.0,0.0
34,29,stable,0.02,0.00126,0.01073,0.0,0,1,1,0.000519,0.000225,0.004421,0.001583,0.0,0.0
34,30,stable,0.02,0.002044,0.016978,0.0,0,1,1,0.000587,0.000222,0.004419,0.001581,0.0,0.0
34,31,stable,0.018,0.001599,0.013227,0.0,0,1,1,0.000578,0.000193,0.004417,0.001579,0.0,0.0
34,32,stable,0.02,0.001361,0.011476,0.0,0,1,1,0.000529,0.000194,0.004416,0.001577,0.0,0.0
34,33,stable,0.02,0.001673,0.013666,0.0,0,1,1,0.00059,0.000223,0.004414,0.001575,0.0,0.0
34,34,stable,0.018,0.001437,0.011972,0.0,0,1,1,0.000551,0.000186,0.004412,0.001574,0.0,0.0
