sample_id,step_length,runtime_ms,step_count,event_count,refinement_count,graph_stability,decision_risk
oracle_px_0000_32_26,0.000781,34,10967,0,0,1,0
oracle_px_0000_32_26,0.02,1,429,0,0,0.998336,0.001664
oracle_px_0000_32_26,0.018,4,477,0,0,0.997638,0.002362
oracle_px_0000_32_26,0.016,3,536,0,0,0.998821,0.001179
oracle_px_0000_32_26,0.015,1,572,0,0,0.998346,0.001654
oracle_px_0000_32_26,0.014,1,613,0,0,0.998109,0.001891
oracle_px_0000_32_26,0.013,1,660,0,0,0.998341,0.001659
oracle_px_0000_32_26,0.0125,4,686,0,0,0.998936,0.001064
oracle_px_0000_32_26,0.011,2,779,0,0,0.99962,0.00038
oracle_px_0000_32_26,0.01,2,857,0,0,0.999487,0.000513
oracle_px_0000_32_26,0.0075,3,1143,0,0,0.9992,0.0008
oracle_px_0000_32_26,0.00625,7,1371,0,0,0.999673,0.000327
oracle_px_0000_32_26,0.003125,9,2742,0,0,0.999611,0.000389
oracle_px_0001_33_26,0.000781,134,10963,0,0,1,0
oracle_px_0001_33_26,0.02,2,429,0,0,0.998039,0.001961
oracle_px_0001_33_26,0.018,1,476,0,0,0.999445,0.000555
oracle_px_0001_33_26,0.016,2,536,0,0,0.99852,0.00148
oracle_px_0001_33_26,0.015,1,571,0,0,0.999795,0.000205
oracle_px_0001_33_26,0.014,2,612,0,0,0.99945,0.00055
oracle_px_0001_33_26,0.013,2,659,0,0,0.999568,0.000432
oracle_px_0001_33_26,0.0125,2,686,0,0,0.998644,0.001356
oracle_px_0001_33_26,0.011,2,779,0,0,0.999318,0.000682
oracle_px_0001_33_26,0.01,3,857,0,0,0.999185,0.000815
oracle_px_0001_33_26,0.0075,3,1142,0,0,0.999787,0.000213
oracle_px_0001_33_26,0.00625,4,1371,0,0,0.999364,0.000636
oracle_px_0001_33_26,0.003125,8,2741,0,0,0.999658,0.000342
oracle_px_0002_34_26,0.000781,19,10956,0,0,1,0
oracle_px_0002_34_26,0.02,1,428,0,0,0.999672,0.000328
oracle_px_0002_34_26,0.018,1,476,0,0,0.998734,0.001266
oracle_px_0002_34_26,0.016,1,535,0,0,0.999686,0.000314
oracle_px_0002_34_26,0.015,1,571,0,0,0.999093,0.000907
oracle_px_0002_34_26,0.014,1,612,0,0,0.99874,0.00126
oracle_px_0002_34_26,0.013,1,659,0,0,0.998856,0.001144
oracle_px_0002_34_26,0.0125,1,685,0,0,0.999393,0.000607
oracle_px_0002_34_26,0.011,2,779,0,0,0.998617,0.001383
oracle_px_0002_34_26,0.01,2,856,0,0,0.999644,0.000356
oracle_px_0002_34_26,0.0075,3,1142,0,0,0.999079,0.000921
oracle_px_0002_34_26,0.00625,3,1370,0,0,0.999392,0.000608
oracle_px_0002_34_26,0.003125,7,2739,0,0,0.99971,0.00029
oracle_px_0003_35_26,0.000781,21,10952,0,0,1,0
oracle_px_0003_35_26,0.02,0,428,0,0,0.999405,0.000595
oracle_px_0003_35_26,0.018,0,476,0,0,0.998473,0.001527
oracle_px_0003_35_26,0.016,0,535,0,0,0.999418,0.000582
oracle_px_0003_35_26,0.015,1,571,0,0,0.998827,0.001173
oracle_px_0003_35_26,0.014,1,612,0,0,0.998481,0.001519
oracle_px_0003_35_26,0.013,1,659,0,0,0.99859,0.00141
oracle_px_0003_35_26,0.0125,1,685,0,0,0.999128,0.000872
oracle_px_0003_35_26,0.011,1,778,0,0,0.999637,0.000363
oracle_px_0003_35_26,0.01,1,856,0,0,0.999388,0.000612
oracle_px_0003_35_26,0.0075,2,1141,0,0,0.999688,0.000312
oracle_px_0003_35_26,0.00625,2,1369,0,0,0.999865,0.000135
oracle_px_0003_35_26,0.003125,32,2738,0,0,0.999802,0.000198
oracle_px_0004_36_26,0.000781,22,10945,0,0,1,0
oracle_px_0004_36_26,0.02,1,428,0,0,0.998704,0.001296
oracle_px_0004_36_26,0.018,1,476,0,0,0.997772,0.002228
oracle_px_0004_36_26,0.016,1,535,0,0,0.998716,0.001284
oracle_px_0004_36_26,0.015,1,571,0,0,0.998125,0.001875
oracle_px_0004_36_26,0.014,1,611,0,0,0.999416,0.000584
oracle_px_0004_36_26,0.013,1,658,0,0,0.999408,0.000592
oracle_px_0004_36_26,0.0125,1,685,0,0,0.998426,0.001574
oracle_px_0004_36_26,0.011,1,778,0,0,0.998935,0.001065
oracle_px_0004_36_26,0.01,1,856,0,0,0.998687,0.001313
oracle_px_0004_36_26,0.0075,2,1141,0,0,0.998986,0.001014
oracle_px_0004_36_26,0.00625,2,1369,0,0,0.999153,0.000847
oracle_px_0004_36_26,0.003125,5,2737,0,0,0.999451,0.000549
oracle_px_0005_37_26,0.000781,29,10939,0,0,1,0
oracle_px_0005_37_26,0.02,0,428,0,0,0.998091,0.001909
oracle_px_0005_37_26,0.018,1,475,0,0,0.999265,0.000735
oracle_px_0005_37_26,0.016,1,535,0,0,0.998105,0.001895
oracle_px_0005_37_26,0.015,1,570,0,0,0.999269,0.000731
oracle_px_0005_37_26,0.014,1,611,0,0,0.998805,0.001195
oracle_px_0005_37_26,0.013,1,658,0,0,0.998797,0.001203
oracle_px_0005_37_26,0.0125,1,684,0,0,0.999275,0.000725
oracle_px_0005_37_26,0.011,1,777,0,0,0.999612,0.000388
oracle_px_0005_37_26,0.01,1,855,0,0,0.999246,0.000754
oracle_px_0005_37_26,0.0075,2,1140,0,0,0.999253,0.000747
oracle_px_0005_37_26,0.00625,2,1368,0,0,0.999283,0.000717
oracle_px_0005_37_26,0.003125,5,2735,0,0,0.999566,0.000434
oracle_px_0006_38_26,0.000781,20,10935,0,0,1,0
oracle_px_0006_38_26,0.02,1,428,0,0,0.997821,0.002179
oracle_px_0006_38_26,0.018,1,475,0,0,0.998988,0.001012
oracle_px_0006_38_26,0.016,1,534,0,0,0.999709,0.000291
oracle_px_0006_38_26,0.015,1,570,0,0,0.998998,0.001002
oracle_px_0006_38_26,0.014,1,611,0,0,0.998528,0.001472
oracle_px_0006_38_26,0.013,1,658,0,0,0.998526,0.001474
oracle_px_0006_38_26,0.0125,2,684,0,0,0.999007,0.000993
oracle_px_0006_38_26,0.011,2,777,0,0,0.99934,0.00066
oracle_px_0006_38_26,0.01,2,855,0,0,0.998965,0.001035
oracle_px_0006_38_26,0.0075,3,1139,0,0,0.999862,0.000138
oracle_px_0006_38_26,0.00625,4,1367,0,0,0.999737,0.000263
oracle_px_0006_38_26,0.003125,5,2734,0,0,0.99965,0.00035
oracle_px_0007_39_26,0.000781,19,10928,0,0,1,0
oracle_px_0007_39_26,0.02,0,427,0,0,0.999441,0.000559
oracle_px_0007_39_26,0.018,0,475,0,0,0.998272,0.001728
oracle_px_0007_39_26,0.016,0,534,0,0,0.998984,0.001016
oracle_px_0007_39_26,0.015,1,570,0,0,0.998273,0.001727
oracle_px_0007_39_26,0.014,1,610,0,0,0.99945,0.00055
oracle_px_0007_39_26,0.013,1,657,0,0,0.999331,0.000669
oracle_px_0007_39_26,0.0125,1,684,0,0,0.998279,0.001721
oracle_px_0007_39_26,0.011,2,777,0,0,0.998612,0.001388
oracle_px_0007_39_26,0.01,2,854,0,0,0.999418,0.000582
oracle_px_0007_39_26,0.0075,2,1139,0,0,0.999127,0.000873
oracle_px_0007_39_26,0.00625,3,1367,0,0,0.999008,0.000992
oracle_px_0007_39_26,0.003125,7,2733,0,0,0.999325,0.000675
oracle_px_0008_40_26,0.000781,19,10924,0,0,1,0
oracle_px_0008_40_26,0.02,0,427,0,0,0.999161,0.000839
