x,y,classification,first_stable_step,max_decision_risk,max_path_length_delta,max_normal_angle_delta,ownership_transition,stable_at_0.00625,stable_at_0.003125,risk_0.00625,risk_0.003125,path_delta_0.00625,path_delta_0.003125,normal_delta_0.00625,normal_delta_0.003125
32,26,stable,0.016,0.002362,0.018978,0.0,0,1,1,0.000327,0.000389,0.001672,0.001959,0.0,0.0
32,27,stable,0.018,0.002316,0.019229,0.0,0,1,1,0.000248,0.000311,0.00167,0.001957,0.0,0.0
32,28,stable,0.02,0.001818,0.014256,0.0,0,1,1,0.000439,0.00049,0.002449,0.002736,0.0,0.0
32,29,stable,0.018,0.001545,0.012506,0.0,0,1,1,0.000356,0.000443,0.002447,0.002734,0.0,0.0
32,30,stable,0.016,0.002565,0.020317,0.0,0,1,1,0.000652,0.000719,0.004007,0.004294,0.0,0.0
32,31,stable,0.02,0.002083,0.016564,0.0,0,1,1,0.000606,0.000287,0.004005,0.001167,0.0,0.0
32,32,stable,0.018,0.001929,0.015974,0.0,0,1,1,0.000429,0.000126,0.003222,0.000384,0.0,0.0
32,33,stable,0.016,0.002517,0.019843,0.0,0,1,1,0.000745,0.000446,0.004783,0.001945,0.0,0.0
32,34,stable,0.02,0.002201,0.01731,0.0,0,1,1,0.000631,0.000332,0.004,0.001162,0.0,0.0
32,35,stable,0.018,0.001468,0.011559,0.0,0,1,1,0.000572,0.000273,0.003998,0.00116,0.0,0.0
32,36,stable,0.016,0.002066,0.017026,0.0,0,1,1,0.000446,0.000499,0.003215,0.003502,0.0,0.0
32,37,stable,0.02,0.002004,0.016494,0.0,0,1,1,0.00034,0.000423,0.002432,0.002719,0.0,0.0
32,38,stable,0.02,0.00156,0.012943,0.0,0,1,1,0.000222,0.000286,0.001649,0.001936,0.0,0.0
32,39,stable,0.015,0.001945,0.01499,0.0,0,1,1,0.00046,0.000532,0.002428,0.002715,0.0,0.0
32,40,stable,0.014,0.002575,0.020457,0.0,0,1,1,0.000347,0.000431,0.001645,0.001932,0.0,0.0
32,41,stable,0.02,0.001325,0.009896,0.0,0,1,1,0.00025,0.000336,0.000862,0.001149,0.0,0.0
32,42,stable,0.018,0.001514,0.011392,0.0,0,1,1,0.000902,0.000615,0.00633,0.003491,0.0,0.0
33,26,stable,0.018,0.001961,0.016105,0.0,0,1,1,0.000636,0.000342,0.004796,0.001958,0.0,0.0
33,27,stable,0.02,0.001545,0.011913,0.0,0,1,1,0.000897,0.000604,0.006356,0.003518,0.0,0.0
33,28,stable,0.018,0.001271,0.010163,0.0,0,1,1,0.000826,0.000528,0.006354,0.003516,0.0,0.0
33,29,stable,0.018,0.002247,0.017974,0.0,0,1,1,0.000325,0.000389,0.001664,0.001951,0.0,0.0
33,30,stable,0.02,0.001652,0.01344,0.0,0,1,1,0.000171,0.000259,0.000881,0.001168,0.0,0.0
33,31,stable,0.02,0.001624,0.013631,0.0,0,1,1,0.000125,0.000192,0.000879,0.001166,0.0,0.0
33,32,stable,0.018,0.002203,0.0175,0.0,0,1,1,0.000421,0.000503,0.002439,0.002727,0.0,0.0
33,33,stable,0.02,0.00184,0.014967,0.0,0,1,1,0.000273,0.000321,0.001657,0.001944,0.0,0.0
33,34,stable,0.02,0.001161,0.00931,0.0,0,1,1,0.000251,0.000299,0.001655,0.001942,0.0,0.0
33,35,stable,0.016,0.002068,0.016245,0.0,0,1,1,0.000435,0.000522,0.002434,0.002721,0.0,0.0
33,36,stable,0.02,0.002,0.015713,0.0,0,1,1,0.000331,0.000413,0.001651,0.001938,0.0,0.0
33,37,stable,0.02,0.001641,0.012943,0.0,0,1,1,0.000298,0.000365,0.001649,0.001936,0.0,0.0
33,38,stable,0.018,0.001666,0.013428,0.0,0,1,1,0.000171,0.000258,0.000866,0.001153,0.0,0.0
33,39,stable,0.015,0.002291,0.018895,0.0,0,1,1,0.000814,0.000499,0.006333,0.003495,0.0,0.0
33,40,stable,0.02,0.001748,0.014345,0.0,0,1,1,0.000698,0.000396,0.00555,0.002712,0.0,0.0
33,41,stable,0.02,0.00168,0.013802,0.0,0,1,1,0.000604,0.000303,0.004767,0.001929,0.0,0.0
33,42,stable,0.014,0.001865,0.015297,0.0,0,1,1,0.000514,0.000212,0.003984,0.001146,0.0,0.0
34,26,stable,0.02,0.001383,0.010593,0.0,0,1,1,0.000608,0.00029,0.004013,0.001175,0.0,0.0
34,27,stable,0.02,0.001912,0.015819,0.0,0,1,1,0.000526,0.000208,0.004011,0.001173,0.0,0.0
34,28,stable,0.018,0.001872,0.01485,0.0,0,1,1,0.000688,0.000409,0.00479,0.001952,0.0,0.0
34,29,stable,0.02,0.001371,0.011097,0.0,0,1,1,0.000637,0.000342,0.004788,0.00195,0.0,0.0
34,30,stable,0.02,0.002358,0.018908,0.0,0,1,1,0.00087,0.00057,0.006349,0.00351,0.0,0.0
34,31,stable,0.018,0.001768,0.014376,0.0,0,1,1,0.000723,0.000442,0.005566,0.002728,0.0,0.0
34,32,stable,0.02,0.001525,0.012624,0.0,0,1,1,0.000701,0.000387,0.005564,0.002726,0.0,0.0
34,33,stable,0.02,0.001958,0.015595,0.0,0,1,1,0.000867,0.000567,0.006343,0.003505,0.0,0.0
34,34,stable,0.018,0.001741,0.013902,0.0,0,1,1,0.000849,0.00055,0.006341,0.003503,0.0,0.0
34,35,stable,0.015,0.00233,0.019369,0.0,0,1,1,0.000698,0.000398,0.005558,0.00272,0.0,0.0
34,36,stable,0.02,0.001295,0.0106,0.0,0,1,1,0.000686,0.00038,0.005556,0.002718,0.0,0.0
34,37,stable,0.018,0.001654,0.012647,0.0,0,1,1,0.000896,0.000615,0.006335,0.003497,0.0,0.0
34,38,stable,0.015,0.00227,0.018114,0.0,0,1,1,0.000779,0.000477,0.005552,0.002714,0.0,0.0
34,39,stable,0.02,0.001746,0.013564,0.0,0,1,1,0.000699,0.000412,0.004769,0.001931,0.0,0.0
34,40,stable,0.02,0.001668,0.013021,0.0,0,1,1,0.000598,0.000316,0.003986,0.001148,0.0,0.0
34,41,stable,0.015,0.001858,0.014516,0.0,0,1,1,0.000514,0.000562,0.003203,0.00349,0.0,0.0
34,42,stable,0.016,0.002501,0.019983,0.0,0,1,1,0.000413,0.000501,0.00242,0.002707,0.0,0.0
35,26,stable,0.02,0.001527,0.012694,0.0,0,1,1,0.000135,0.000198,0.000887,0.001174,0.0,0.0
