region_id,collider_id,area,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,contour_pixel_count,mean_discontinuity_score,max_discontinuity_score,boundary_flip_count,high_vector_count,boundary_high_vector_density,boundary_aligns_with_high_vector_density
0,25836914057,65,95.0,25.0,63,25,127,25,65,2.334107,2.373467,66,66,1.015385,True
1,25836914057,453,150.245,27.715,63,27,256,29,389,2.992696,3.0,197,197,0.506427,True
2,25836914057,453,150.245,31.715,63,31,256,33,389,2.992692,3.0,197,197,0.506427,True
3,25836914057,421,153.19,35.618,63,35,256,37,389,2.9927,3.0,197,197,0.506427,True
4,25836914057,201,100.313,39.746,63,39,146,41,169,2.942953,3.0,89,89,0.526627,True
5,25887245710,52,159.5,39.5,147,39,172,40,52,2.760092,3.0,30,30,0.576923,True
6,25836914057,168,214.5,39.5,173,39,256,40,168,2.958665,3.0,86,86,0.511905,True
7,25836914057,233,101.85,43.918,63,43,146,45,169,2.942993,3.0,89,89,0.526627,True
8,25887245710,52,159.5,43.5,147,43,172,44,52,2.760085,3.0,30,30,0.576923,True
9,25836914057,168,214.5,43.5,173,43,256,44,168,2.958662,3.0,86,86,0.511905,True
10,25836914057,252,104.5,48.0,63,47,146,49,170,2.92343,3.0,90,90,0.529412,True
11,25887245710,65,158.2,47.8,147,47,172,49,53,2.709069,3.0,31,31,0.584906,True
12,25836914057,168,214.5,47.5,173,47,256,48,168,2.95866,3.0,86,86,0.511905,True
13,25836914057,201,100.313,51.746,63,51,146,53,169,2.943071,3.0,89,89,0.526627,True
14,25887245710,52,159.5,51.5,147,51,172,52,52,2.760071,3.0,30,30,0.576923,True
15,25836914057,168,214.5,51.5,173,51,256,52,168,2.958657,3.0,86,86,0.511905,True
16,25836914057,201,100.313,55.746,63,55,146,57,169,2.943107,3.0,89,89,0.526627,True
17,25887245710,52,159.5,55.5,147,55,172,56,52,2.760064,3.0,30,30,0.576923,True
18,25836914057,168,214.5,55.5,173,55,256,56,168,2.958655,3.0,86,86,0.511905,True
19,25836914057,117,82.231,59.923,63,59,104,61,85,2.92856,3.0,47,47,0.552941,True
20,25937577361,10,107.0,59.5,105,59,109,60,10,2.365635,3.0,9,9,0.9,True
21,25836914057,74,128.0,59.5,110,59,146,60,74,2.863735,3.0,41,41,0.554054,True
22,25887245710,52,159.5,59.5,147,59,172,60,52,2.760061,3.0,30,30,0.576923,True
23,25836914057,168,214.5,59.5,173,59,256,60,168,2.958654,3.0,86,86,0.511905,True
24,25836914057,233,101.85,63.918,63,63,146,65,169,2.943171,3.0,89,89,0.526627,True
25,25887245710,52,159.5,63.5,147,63,172,64,52,2.760055,3.0,30,30,0.576923,True
26,25836914057,168,214.5,63.5,173,63,256,64,168,2.958652,3.0,86,86,0.511905,True
27,25836914057,233,101.85,67.918,63,67,146,69,169,2.943197,3.0,89,89,0.526627,True
28,25887245710,52,159.5,67.5,147,67,172,68,52,2.760052,3.0,30,30,0.576923,True
29,25836914057,168,214.5,67.5,173,67,256,68,168,2.95865,3.0,86,86,0.511905,True
30,25836914057,233,101.85,71.918,63,71,146,73,169,2.943217,3.0,89,89,0.526627,True
31,25887245710,52,159.5,71.5,147,71,172,72,52,2.760047,3.0,30,30,0.576923,True
32,25836914057,168,214.5,71.5,173,71,256,72,168,2.958649,3.0,86,86,0.511905,True
33,25836914057,233,101.85,75.918,63,75,146,77,169,2.943233,3.0,89,89,0.526627,True
34,25887245710,52,159.5,75.5,147,75,172,76,52,2.760045,3.0,30,30,0.576923,True
35,25836914057,168,214.5,75.5,173,75,256,76,168,2.958648,3.0,86,86,0.511905,True
36,25836914057,233,101.85,79.918,63,79,146,81,169,2.943243,3.0,89,89,0.526627,True
37,25887245710,52,159.5,79.5,147,79,172,80,52,2.760044,3.0,30,30,0.576923,True
38,25836914057,168,214.5,79.5,173,79,256,80,168,2.958648,3.0,86,86,0.511905,True
39,25836914057,233,101.85,83.918,63,83,146,85,169,2.943246,3.0,89,89,0.526627,True
40,25887245710,52,159.5,83.5,147,83,172,84,52,2.760042,3.0,30,30,0.576923,True
41,25836914057,168,214.5,83.5,173,83,256,84,168,2.958647,3.0,86,86,0.511905,True
42,25836914057,233,101.85,87.918,63,87,146,89,169,2.943142,3.0,89,89,0.526627,True
43,25887245710,52,159.5,87.5,147,87,172,88,52,2.760041,3.0,30,30,0.576923,True
44,25836914057,168,214.5,87.5,173,87,256,88,168,2.958647,3.0,86,86,0.511905,True
45,25836914057,233,101.85,91.918,63,91,146,93,169,2.94195,3.0,89,89,0.526627,True
46,25887245710,52,159.5,91.5,147,91,172,92,52,2.760041,3.0,30,30,0.576923,True
47,25836914057,168,214.5,91.5,173,91,256,92,168,2.958647,3.0,86,86,0.511905,True
48,25836914057,233,101.85,95.918,63,95,146,97,169,2.940917,3.0,89,89,0.526627,True
49,25887245710,52,159.5,95.5,147,95,172,96,52,2.760042,3.0,30,30,0.576923,True
50,25836914057,168,214.5,95.5,173,95,256,96,168,2.958647,3.0,86,86,0.511905,True
51,25836914057,252,104.5,100.0,63,99,146,101,170,2.920456,3.0,90,90,0.529412,True
52,25887245710,65,158.2,99.8,147,99,172,101,53,2.709036,3.0,31,31,0.584906,True
53,25836914057,168,214.5,99.5,173,99,256,100,168,2.958648,3.0,86,86,0.511905,True
54,25836914057,252,104.5,104.0,63,103,146,105,170,2.91969,3.0,90,90,0.529412,True
55,25887245710,65,158.2,103.8,147,103,172,105,53,2.709037,3.0,31,31,0.584906,True
56,25836914057,168,214.5,103.5,173,103,256,104,168,2.958648,3.0,86,86,0.511905,True
57,25836914057,252,104.5,108.0,63,107,146,109,170,2.919022,3.0,90,90,0.529412,True
58,25887245710,65,158.2,107.8,147,107,172,109,53,2.709039,3.0,31,31,0.584906,True
59,25836914057,168,214.5,107.5,173,107,256,108,168,2.958649,3.0,86,86,0.511905,True
60,25836914057,233,101.85,111.918,63,111,146,113,169,2.937983,3.0,89,89,0.526627,True
61,25887245710,52,159.5,111.5,147,111,172,112,52,2.760052,3.0,30,30,0.576923,True
62,25836914057,168,214.5,111.5,173,111,256,112,168,2.95865,3.0,86,86,0.511905,True
63,25836914057,252,104.5,116.0,63,115,146,117,170,2.917909,3.0,90,90,0.529412,True
64,25887245710,65,158.2,115.8,147,115,172,117,53,2.709046,3.0,31,31,0.584906,True
65,25836914057,168,214.5,115.5,173,115,256,116,168,2.958652,3.0,86,86,0.511905,True
66,25836914057,233,101.85,119.918,63,119,146,121,169,2.936975,3.0,89,89,0.526627,True
67,25887245710,52,159.5,119.5,147,119,172,120,52,2.760061,3.0,30,30,0.576923,True
68,25836914057,74,191.0,119.5,173,119,209,120,74,2.865847,3.0,41,41,0.554054,True
69,25987909012,10,212.0,119.5,210,119,214,120,10,2.363163,3.0,9,9,0.9,True
70,25836914057,84,235.5,119.5,215,119,256,120,84,2.955917,3.0,44,44,0.52381,True
71,25836914057,233,101.85,123.918,63,123,146,125,169,2.936546,3.0,89,89,0.526627,True
72,25887245710,52,159.5,123.5,147,123,172,124,52,2.760064,3.0,30,30,0.576923,True
73,25836914057,168,214.5,123.5,173,123,256,124,168,2.958655,3.0,86,86,0.511905,True
74,25836914057,233,101.85,127.918,63,127,146,129,169,2.936156,3.0,89,89,0.526627,True
75,25887245710,52,159.5,127.5,147,127,172,128,52,2.760071,3.0,30,30,0.576923,True
76,25836914057,168,214.5,127.5,173,127,256,128,168,2.958657,3.0,86,86,0.511905,True
77,25836914057,233,101.85,131.918,63,131,146,133,169,2.935796,3.0,89,89,0.526627,True
78,25887245710,52,159.5,131.5,147,131,172,132,52,2.760077,3.0,30,30,0.576923,True
79,25836914057,168,214.5,131.5,173,131,256,132,168,2.95866,3.0,86,86,0.511905,True
80,25836914057,252,104.5,136.0,63,135,146,137,170,2.915926,3.0,90,90,0.529412,True
81,25887245710,65,158.2,135.8,147,135,172,137,53,2.709076,3.0,31,31,0.584906,True
82,25836914057,168,214.5,135.5,173,135,256,136,168,2.958662,3.0,86,86,0.511905,True
83,25836914057,252,104.5,140.0,63,139,146,141,170,2.91559,3.0,90,90,0.529412,True
84,25887245710,65,158.2,139.8,147,139,172,141,53,2.709083,3.0,31,31,0.584906,True
