region_id,collider_id,area,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,contour_pixel_count,mean_discontinuity_score,max_discontinuity_score,boundary_flip_count,high_vector_count,boundary_high_vector_density,boundary_aligns_with_high_vector_density
0,25836914057,193,159.0,25.0,63,25,255,25,193,2.350314,2.385498,194,194,1.005181,True
1,25836914057,581,159.334,27.998,63,27,256,29,389,2.992696,3.0,197,197,0.506427,True
2,25836914057,582,159.5,32.0,63,31,256,33,390,2.992692,3.0,197,197,0.505128,True
3,25836914057,575,159.384,35.988,63,35,256,37,390,2.915199,3.0,206,206,0.528205,True
4,25887245710,7,169.0,37.0,166,37,172,37,7,1.218786,1.22452,9,9,1.285714,True
5,25836914057,252,104.5,40.0,63,39,146,41,170,2.923352,3.0,90,90,0.529412,True
6,25887245710,78,159.5,40.0,147,39,172,41,54,2.662628,3.0,32,32,0.592593,True
7,25836914057,252,214.5,40.0,173,39,256,41,170,2.938709,3.0,87,87,0.511765,True
8,25836914057,252,104.5,44.0,63,43,146,45,170,2.923391,3.0,90,90,0.529412,True
9,25887245710,78,159.5,44.0,147,43,172,45,54,2.662619,3.0,32,32,0.592593,True
10,25836914057,252,214.5,44.0,173,43,256,45,170,2.938706,3.0,87,87,0.511765,True
11,25836914057,252,104.5,48.0,63,47,146,49,170,2.92343,3.0,90,90,0.529412,True
12,25887245710,78,159.5,48.0,147,47,172,49,54,2.662608,3.0,32,32,0.592593,True
13,25836914057,252,214.5,48.0,173,47,256,49,170,2.938702,3.0,87,87,0.511765,True
14,25836914057,252,104.5,52.0,63,51,146,53,170,2.923468,3.0,90,90,0.529412,True
15,25887245710,78,159.5,52.0,147,51,172,53,54,2.662598,3.0,32,32,0.592593,True
16,25836914057,251,214.335,51.996,173,51,256,53,169,2.938698,3.0,87,87,0.514793,True
17,25836914057,252,104.5,56.0,63,55,146,57,170,2.923504,3.0,90,90,0.529412,True
18,25887245710,78,159.5,56.0,147,55,172,57,54,2.66259,3.0,32,32,0.592593,True
19,25836914057,251,214.335,55.996,173,55,256,57,169,2.938695,3.0,87,87,0.514793,True
20,25836914057,126,83.5,60.0,63,59,104,61,86,2.909797,3.0,48,48,0.55814,True
21,25937577361,15,107.0,60.0,105,59,109,61,12,2.169269,3.0,11,11,0.916667,True
22,25836914057,111,128.0,60.0,110,59,146,61,76,2.805073,3.0,43,43,0.565789,True
23,25887245710,78,159.5,60.0,147,59,172,61,54,2.662583,3.0,32,32,0.592593,True
24,25836914057,219,210.658,59.849,173,59,256,61,169,2.938693,3.0,87,87,0.514793,True
25,25836914057,252,104.5,64.0,63,63,146,65,170,2.923567,3.0,90,90,0.529412,True
26,25887245710,78,159.5,64.0,147,63,172,65,54,2.662577,3.0,32,32,0.592593,True
27,25836914057,252,214.5,64.0,173,63,256,65,170,2.93869,3.0,87,87,0.511765,True
28,25836914057,252,104.5,68.0,63,67,146,69,170,2.923592,3.0,90,90,0.529412,True
29,25887245710,78,159.5,68.0,147,67,172,69,54,2.662571,3.0,32,32,0.592593,True
30,25836914057,252,214.5,68.0,173,67,256,69,170,2.938688,3.0,87,87,0.511765,True
31,25836914057,252,104.5,72.0,63,71,146,73,170,2.923613,3.0,90,90,0.529412,True
32,25887245710,78,159.5,72.0,147,71,172,73,54,2.662566,3.0,32,32,0.592593,True
33,25836914057,252,214.5,72.0,173,71,256,73,170,2.938686,3.0,87,87,0.511765,True
34,25836914057,252,104.5,76.0,63,75,146,77,170,2.923628,3.0,90,90,0.529412,True
35,25887245710,78,159.5,76.0,147,75,172,77,54,2.662563,3.0,32,32,0.592593,True
