region_id,node_id,object_id,node_center_x,node_center_y,object_centroid_projected_x,object_centroid_projected_y,max_decision_risk,inner_high_risk_radius,outer_stable_radius,required_precision_label_inside_region,convergence_class_distribution,region_class,sample_count,high_risk_sample_count,stable_sample_count,sealed
1,1,geometry:25836914057,456,246,480,270,2.253311,32.526912,,0.003125,threshold_snap:115,UNSEALED_NONCONVERGENT,115,115,0,no
2,2,geometry:25836914057,456,246,480,270,2.253311,32.526912,,0.003125,threshold_snap:115,UNSEALED_NONCONVERGENT,115,115,0,no
3,3,geometry:25836914057,456,286,480,270,2.253309,28.017851,,0.003125,threshold_snap:146,UNSEALED_NONCONVERGENT,146,146,0,no
4,4,geometry:25836914057,456,286,480,270,2.253309,28.017851,,0.003125,threshold_snap:146,UNSEALED_NONCONVERGENT,146,146,0,no
5,5,geometry:25836914057,448,254,480,270,2.253311,34.885527,,0.003125,threshold_snap:119,UNSEALED_NONCONVERGENT,119,119,0,no
6,6,geometry:25836914057,448,254,480,270,2.253311,34.885527,,0.003125,threshold_snap:119,UNSEALED_NONCONVERGENT,119,119,0,no
7,7,geometry:25836914057,448,238,480,270,2.253311,43.84062,,0.003125,threshold_snap:85,UNSEALED_NONCONVERGENT,85,85,0,no
8,8,geometry:25836914057,453,243,480,270,2.253311,36.769553,,0.003125,threshold_snap:95,UNSEALED_NONCONVERGENT,95,95,0,no
9,9,geometry:25836914057,448,286,480,270,2.253309,34.885527,,0.003125,threshold_snap:117,UNSEALED_NONCONVERGENT,117,117,0,no
10,10,geometry:25836914057,448,286,480,270,2.253309,34.885527,,0.003125,threshold_snap:117,UNSEALED_NONCONVERGENT,117,117,0,no
11,11,geometry:25836914057,456,294,480,270,2.253309,32.526912,,0.003125,threshold_snap:111,UNSEALED_NONCONVERGENT,111,111,0,no
12,12,geometry:25836914057,458,292,480,270,2.253309,29.698485,,0.003125,threshold_snap:127,UNSEALED_NONCONVERGENT,127,127,0,no
13,13,geometry:25836914057,456,262,480,270,2.253311,27.892651,,0.003125,threshold_snap:214,UNSEALED_NONCONVERGENT,214,214,0,no
14,14,geometry:25836914057,456,262,480,270,2.253311,27.892651,,0.003125,threshold_snap:214,UNSEALED_NONCONVERGENT,214,214,0,no
15,15,geometry:25836914057,456,294,480,270,2.253309,32.526912,,0.003125,threshold_snap:111,UNSEALED_NONCONVERGENT,111,111,0,no
16,16,geometry:25836914057,456,262,480,270,2.253311,27.892651,,0.003125,threshold_snap:214,UNSEALED_NONCONVERGENT,214,214,0,no
17,17,geometry:25836914057,456,262,480,270,2.253311,27.892651,,0.003125,threshold_snap:214,UNSEALED_NONCONVERGENT,214,214,0,no
18,18,geometry:25836914057,448,302,480,270,2.253309,43.84062,,0.003125,threshold_snap:83,UNSEALED_NONCONVERGENT,83,83,0,no
19,19,geometry:25836914057,458,248,480,270,2.253311,29.698485,,0.003125,threshold_snap:129,UNSEALED_NONCONVERGENT,129,129,0,no
20,20,geometry:25836914057,453,297,480,270,2.253309,36.769553,,0.003125,threshold_snap:91,UNSEALED_NONCONVERGENT,91,91,0,no
21,21,geometry:25836914057,453,265,480,270,2.253311,27.892651,,0.003125,threshold_snap:198,UNSEALED_NONCONVERGENT,198,198,0,no
22,22,geometry:25836914057,456,278,480,270,2.253309,27.856777,,0.003125,threshold_snap:211,UNSEALED_NONCONVERGENT,211,211,0,no
23,23,geometry:25836914057,456,278,480,270,2.253309,27.856777,,0.003125,threshold_snap:211,UNSEALED_NONCONVERGENT,211,211,0,no
24,24,geometry:25836914057,456,278,480,270,2.253309,27.856777,,0.003125,threshold_snap:211,UNSEALED_NONCONVERGENT,211,211,0,no
25,25,geometry:25836914057,456,278,480,270,2.253309,27.856777,,0.003125,threshold_snap:211,UNSEALED_NONCONVERGENT,211,211,0,no
26,26,geometry:25836914057,448,270,480,270,2.253311,31,,0.003125,threshold_snap:154,UNSEALED_NONCONVERGENT,154,154,0,no
27,27,geometry:25836914057,448,270,480,270,2.253311,31,,0.003125,threshold_snap:154,UNSEALED_NONCONVERGENT,154,154,0,no
28,28,geometry:25836914057,448,270,480,270,2.253311,31,,0.003125,threshold_snap:154,UNSEALED_NONCONVERGENT,154,154,0,no
29,29,geometry:25836914057,453,275,480,270,2.253309,27.892651,,0.003125,threshold_snap:199,UNSEALED_NONCONVERGENT,199,199,0,no
30,30,geometry:25836914057,456,254,480,270,2.253311,28.017851,,0.003125,threshold_snap:151,UNSEALED_NONCONVERGENT,151,151,0,no
31,31,geometry:25836914057,456,254,480,270,2.253311,28.017851,,0.003125,threshold_snap:151,UNSEALED_NONCONVERGENT,151,151,0,no
32,32,geometry:25836914057,464,286,480,270,2.253309,28,,0.003125,threshold_snap:204,UNSEALED_NONCONVERGENT,204,204,0,no
33,33,geometry:25836914057,464,286,480,270,2.253309,28,,0.003125,threshold_snap:204,UNSEALED_NONCONVERGENT,204,204,0,no
34,34,geometry:25836914057,460,290,480,270,2.253309,27.586228,,0.003125,threshold_snap:138,UNSEALED_NONCONVERGENT,138,138,0,no
35,35,geometry:25836914057,458,280,480,270,2.253309,27.856777,,0.003125,threshold_snap:215,UNSEALED_NONCONVERGENT,215,215,0,no
36,36,geometry:25836914057,464,286,480,270,2.253309,28,,0.003125,threshold_snap:204,UNSEALED_NONCONVERGENT,204,204,0,no
37,37,geometry:25836914057,464,286,480,270,2.253309,28,,0.003125,threshold_snap:204,UNSEALED_NONCONVERGENT,204,204,0,no
38,38,geometry:25836914057,461,251,480,270,2.253311,27.892651,,0.003125,threshold_snap:179,UNSEALED_NONCONVERGENT,179,179,0,no
39,39,geometry:25836914057,461,257,480,270,2.253311,27.784888,,0.003125,threshold_snap:213,UNSEALED_NONCONVERGENT,213,213,0,no
40,40,geometry:25836914057,461,251,480,270,2.253311,27.892651,,0.003125,threshold_snap:179,UNSEALED_NONCONVERGENT,179,179,0,no
41,41,geometry:25836914057,468,254,480,270,2.253311,28,,0.003125,threshold_snap:219,UNSEALED_NONCONVERGENT,219,219,0,no
42,42,geometry:25836914057,456,270,480,270,2.253311,28,,0.003125,threshold_snap:226,UNSEALED_NONCONVERGENT,226,226,0,no
43,43,geometry:25836914057,460,254,480,270,2.253311,28,,0.003125,threshold_snap:193,UNSEALED_NONCONVERGENT,193,193,0,no
44,44,geometry:25836914057,456,270,480,270,2.253311,28,,0.003125,threshold_snap:226,UNSEALED_NONCONVERGENT,226,226,0,no
45,45,geometry:25836914057,464,270,480,270,2.253311,27.856777,,0.003125,threshold_snap:255,UNSEALED_NONCONVERGENT,255,255,0,no
46,46,geometry:25836914057,464,270,480,270,2.253311,27.856777,,0.003125,threshold_snap:255,UNSEALED_NONCONVERGENT,255,255,0,no
47,47,geometry:25836914057,464,270,480,270,2.253311,27.856777,,0.003125,threshold_snap:255,UNSEALED_NONCONVERGENT,255,255,0,no
48,48,geometry:25836914057,464,270,480,270,2.253311,27.856777,,0.003125,threshold_snap:255,UNSEALED_NONCONVERGENT,255,255,0,no
49,49,geometry:25836914057,464,270,480,270,2.253311,27.856777,,0.003125,threshold_snap:255,UNSEALED_NONCONVERGENT,255,255,0,no
50,50,geometry:25836914057,464,270,480,270,2.253311,27.856777,,0.003125,threshold_snap:255,UNSEALED_NONCONVERGENT,255,255,0,no
51,51,geometry:25836914057,464,270,480,270,2.253311,27.856777,,0.003125,threshold_snap:255,UNSEALED_NONCONVERGENT,255,255,0,no
52,52,geometry:25836914057,463,253,480,270,2.253311,27.892651,,0.003125,threshold_snap:201,UNSEALED_NONCONVERGENT,201,201,0,no
53,53,geometry:25836914057,460,282,480,270,2.253309,28,,0.003125,threshold_snap:207,UNSEALED_NONCONVERGENT,207,207,0,no
54,54,geometry:25836914057,464,302,480,270,2.253309,34.885527,,0.003125,threshold_snap:91,UNSEALED_NONCONVERGENT,91,91,0,no
55,55,geometry:25836914057,464,274,480,270,2.253309,32.249031,,0.003125,threshold_snap:255,UNSEALED_NONCONVERGENT,255,255,0,no
