edge_id,node_a,node_b,seam_length_px,mean_continuity_discontinuity_score,max_continuity_discontinuity_score,collider_flip_count,domain_flip_count,path_length_delta_mean,path_length_delta_max,step_count_delta_mean,step_count_delta_max,boundary_event_delta_mean,boundary_event_delta_max
1,0,1,322,2.981374,3.0,322,0,0.002094,0.004398,693.478261,700.0,0.0,0.0
2,0,2,390,2.984638,3.0,390,0,0.007384,0.010086,694.615385,700.0,0.0,0.0
3,0,3,390,2.989799,3.0,390,0,0.027105,0.030021,696.410256,700.0,0.0,0.0
4,0,4,170,2.976975,3.0,170,0,0.049722,0.052471,691.764706,700.0,0.0,0.0
5,0,5,52,3.0,3.0,52,0,,,700.0,700.0,0.0,0.0
6,0,6,168,3.0,3.0,168,0,,,700.0,700.0,0.0,0.0
7,0,7,170,2.977073,3.0,170,0,0.070633,0.07314,691.764706,700.0,0.0,0.0
8,0,8,52,3.0,3.0,52,0,,,700.0,700.0,0.0,0.0
9,0,9,104,3.0,3.0,104,0,,,700.0,700.0,0.0,0.0
10,0,10,170,2.977162,3.0,170,0,0.089793,0.092093,691.764706,700.0,0.0,0.0
11,0,11,52,3.0,3.0,52,0,,,700.0,700.0,0.0,0.0
12,0,12,168,3.0,3.0,168,0,,,700.0,700.0,0.0,0.0
13,0,13,170,2.977243,3.0,170,0,0.107311,0.109373,691.764706,700.0,0.0,0.0
14,0,14,52,3.0,3.0,52,0,,,700.0,700.0,0.0,0.0
15,0,15,104,3.0,3.0,104,0,,,700.0,700.0,0.0,0.0
16,0,16,170,2.977317,3.0,170,0,0.123079,0.12494,691.764706,700.0,0.0,0.0
17,0,17,52,3.0,3.0,52,0,,,700.0,700.0,0.0,0.0
18,0,18,104,3.0,3.0,104,0,,,700.0,700.0,0.0,0.0
19,0,19,86,2.955792,3.0,86,0,0.137135,0.138749,683.72093,700.0,0.0,0.0
20,0,20,10,3.0,3.0,10,0,,,700.0,700.0,0.0,0.0
21,0,21,74,3.0,3.0,74,0,,,700.0,700.0,0.0,0.0
22,0,22,52,3.0,3.0,52,0,,,700.0,700.0,0.0,0.0
23,0,23,168,3.0,3.0,168,0,,,700.0,700.0,0.0,0.0
24,0,24,170,2.977439,3.0,170,0,0.14945,0.150864,691.764706,700.0,0.0,0.0
25,0,25,52,3.0,3.0,52,0,,,700.0,700.0,0.0,0.0
26,0,26,168,3.0,3.0,168,0,,,700.0,700.0,0.0,0.0
27,0,27,170,2.977488,3.0,170,0,0.159994,0.161217,691.764706,700.0,0.0,0.0
28,0,28,52,3.0,3.0,52,0,,,700.0,700.0,0.0,0.0
29,0,29,104,3.0,3.0,104,0,,,700.0,700.0,0.0,0.0
30,0,30,170,2.977529,3.0,170,0,0.168835,0.169805,691.764706,700.0,0.0,0.0
