region_id,collider_id,area,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,contour_pixel_count,mean_discontinuity_score,max_discontinuity_score,boundary_flip_count,high_vector_count,boundary_high_vector_density,boundary_aligns_with_high_vector_density
0,25836914057,389,159.252,27.504,63,27,256,29,389,2.992761,3.0,197,197,0.506427,True
1,25836914057,389,159.252,31.504,63,31,256,33,389,2.992747,3.0,197,197,0.506427,True
2,25836914057,389,159.252,35.504,63,35,256,37,389,2.99274,3.0,197,197,0.506427,True
3,25836914057,201,100.313,39.746,63,39,146,41,169,2.943016,3.0,89,89,0.526627,True
4,25887245710,52,159.5,39.5,147,39,172,40,52,2.760093,3.0,30,30,0.576923,True
5,25836914057,168,214.5,39.5,173,39,256,40,168,2.958665,3.0,86,86,0.511905,True
6,25836914057,201,100.313,43.746,63,43,146,45,169,2.943033,3.0,89,89,0.526627,True
7,25887245710,52,159.5,43.5,147,43,172,44,52,2.760085,3.0,30,30,0.576923,True
8,25836914057,168,214.5,43.5,173,43,256,44,168,2.958662,3.0,86,86,0.511905,True
9,25836914057,169,104.254,47.509,63,47,146,49,169,2.943053,3.0,89,89,0.526627,True
10,25887245710,52,159.5,47.5,147,47,172,48,52,2.760078,3.0,30,30,0.576923,True
11,25836914057,168,214.5,47.5,173,47,256,48,168,2.95866,3.0,86,86,0.511905,True
12,25836914057,169,104.254,51.509,63,51,146,53,169,2.943075,3.0,89,89,0.526627,True
13,25887245710,52,159.5,51.5,147,51,172,52,52,2.760071,3.0,30,30,0.576923,True
14,25836914057,168,214.5,51.5,173,51,256,52,168,2.958657,3.0,86,86,0.511905,True
15,25836914057,169,104.254,55.509,63,55,146,57,169,2.943098,3.0,89,89,0.526627,True
16,25887245710,52,159.5,55.5,147,55,172,56,52,2.760065,3.0,30,30,0.576923,True
17,25836914057,168,214.5,55.5,173,55,256,56,168,2.958655,3.0,86,86,0.511905,True
18,25836914057,117,82.231,59.923,63,59,104,61,85,2.92852,3.0,47,47,0.552941,True
19,25937577361,10,107.0,59.5,105,59,109,60,10,2.365628,3.0,9,9,0.9,True
20,25836914057,74,128.0,59.5,110,59,146,60,74,2.863735,3.0,41,41,0.554054,True
21,25887245710,52,159.5,59.5,147,59,172,60,52,2.76006,3.0,30,30,0.576923,True
22,25836914057,168,214.5,59.5,173,59,256,60,168,2.958654,3.0,86,86,0.511905,True
23,25836914057,169,104.254,63.509,63,63,146,65,169,2.94314,3.0,89,89,0.526627,True
24,25887245710,52,159.5,63.5,147,63,172,64,52,2.760055,3.0,30,30,0.576923,True
25,25836914057,168,214.5,63.5,173,63,256,64,168,2.958652,3.0,86,86,0.511905,True
26,25836914057,169,104.254,67.509,63,67,146,69,169,2.943157,3.0,89,89,0.526627,True
27,25887245710,52,159.5,67.5,147,67,172,68,52,2.760053,3.0,30,30,0.576923,True
28,25836914057,168,214.5,67.5,173,67,256,68,168,2.958651,3.0,86,86,0.511905,True
29,25836914057,169,104.254,71.509,63,71,146,73,169,2.943171,3.0,89,89,0.526627,True
30,25887245710,52,159.5,71.5,147,71,172,72,52,2.760047,3.0,30,30,0.576923,True
31,25836914057,168,214.5,71.5,173,71,256,72,168,2.958649,3.0,86,86,0.511905,True
32,25836914057,169,104.254,75.509,63,75,146,77,169,2.94318,3.0,89,89,0.526627,True
33,25887245710,52,159.5,75.5,147,75,172,76,52,2.760044,3.0,30,30,0.576923,True
34,25836914057,168,214.5,75.5,173,75,256,76,168,2.958648,3.0,86,86,0.511905,True
35,25836914057,169,104.254,79.509,63,79,146,81,169,2.943184,3.0,89,89,0.526627,True
36,25887245710,52,159.5,79.5,147,79,172,80,52,2.760043,3.0,30,30,0.576923,True
37,25836914057,168,214.5,79.5,173,79,256,80,168,2.958648,3.0,86,86,0.511905,True
38,25836914057,169,104.254,83.509,63,83,146,85,169,2.943183,3.0,89,89,0.526627,True
39,25887245710,52,159.5,83.5,147,83,172,84,52,2.760042,3.0,30,30,0.576923,True
40,25836914057,168,214.5,83.5,173,83,256,84,168,2.958647,3.0,86,86,0.511905,True
41,25836914057,169,104.254,87.509,63,87,146,89,169,2.943075,3.0,89,89,0.526627,True
42,25887245710,52,159.5,87.5,147,87,172,88,52,2.760041,3.0,30,30,0.576923,True
43,25836914057,168,214.5,87.5,173,87,256,88,168,2.958647,3.0,86,86,0.511905,True
44,25836914057,169,104.254,91.509,63,91,146,93,169,2.941881,3.0,89,89,0.526627,True
45,25887245710,52,159.5,91.5,147,91,172,92,52,2.760041,3.0,30,30,0.576923,True
46,25836914057,168,214.5,91.5,173,91,256,92,168,2.958647,3.0,86,86,0.511905,True
47,25836914057,169,104.254,95.509,63,95,146,97,169,2.940845,3.0,89,89,0.526627,True
48,25887245710,52,159.5,95.5,147,95,172,96,52,2.760042,3.0,30,30,0.576923,True
49,25836914057,168,214.5,95.5,173,95,256,96,168,2.958647,3.0,86,86,0.511905,True
50,25836914057,169,104.254,99.509,63,99,146,101,169,2.93995,3.0,89,89,0.526627,True
51,25887245710,52,159.5,99.5,147,99,172,100,52,2.760043,3.0,30,30,0.576923,True
52,25836914057,168,214.5,99.5,173,99,256,100,168,2.958648,3.0,86,86,0.511905,True
53,25836914057,169,104.254,103.509,63,103,146,105,169,2.939174,3.0,89,89,0.526627,True
54,25887245710,52,159.5,103.5,147,103,172,104,52,2.760044,3.0,30,30,0.576923,True
55,25836914057,168,214.5,103.5,173,103,256,104,168,2.958648,3.0,86,86,0.511905,True
56,25836914057,169,104.254,107.509,63,107,146,109,169,2.938497,3.0,89,89,0.526627,True
57,25887245710,52,159.5,107.5,147,107,172,108,52,2.760047,3.0,30,30,0.576923,True
58,25836914057,168,214.5,107.5,173,107,256,108,168,2.958649,3.0,86,86,0.511905,True
59,25836914057,169,104.254,111.509,63,111,146,113,169,2.937903,3.0,89,89,0.526627,True
60,25887245710,52,159.5,111.5,147,111,172,112,52,2.760053,3.0,30,30,0.576923,True
61,25836914057,168,214.5,111.5,173,111,256,112,168,2.958651,3.0,86,86,0.511905,True
62,25836914057,169,104.254,115.509,63,115,146,117,169,2.937369,3.0,89,89,0.526627,True
63,25887245710,52,159.5,115.5,147,115,172,116,52,2.760055,3.0,30,30,0.576923,True
64,25836914057,168,214.5,115.5,173,115,256,116,168,2.958652,3.0,86,86,0.511905,True
65,25836914057,201,100.313,119.746,63,119,146,121,169,2.936893,3.0,89,89,0.526627,True
66,25887245710,52,159.5,119.5,147,119,172,120,52,2.76006,3.0,30,30,0.576923,True
67,25836914057,74,191.0,119.5,173,119,209,120,74,2.865847,3.0,41,41,0.554054,True
68,25987909012,10,212.0,119.5,210,119,214,120,10,2.363181,3.0,9,9,0.9,True
69,25836914057,84,235.5,119.5,215,119,256,120,84,2.955917,3.0,44,44,0.52381,True
70,25836914057,201,100.313,123.746,63,123,146,125,169,2.936463,3.0,89,89,0.526627,True
71,25887245710,52,159.5,123.5,147,123,172,124,52,2.760065,3.0,30,30,0.576923,True
72,25836914057,168,214.5,123.5,173,123,256,124,168,2.958655,3.0,86,86,0.511905,True
73,25836914057,201,100.313,127.746,63,127,146,129,169,2.936072,3.0,89,89,0.526627,True
74,25887245710,52,159.5,127.5,147,127,172,128,52,2.760071,3.0,30,30,0.576923,True
75,25836914057,168,214.5,127.5,173,127,256,128,168,2.958657,3.0,86,86,0.511905,True
76,25836914057,169,104.254,131.509,63,131,146,133,169,2.935712,3.0,89,89,0.526627,True
77,25887245710,52,159.5,131.5,147,131,172,132,52,2.760078,3.0,30,30,0.576923,True
78,25836914057,168,214.5,131.5,173,131,256,132,168,2.95866,3.0,86,86,0.511905,True
79,25836914057,169,104.254,135.509,63,135,146,137,169,2.935372,3.0,89,89,0.526627,True
80,25887245710,52,159.5,135.5,147,135,172,136,52,2.760085,3.0,30,30,0.576923,True
81,25836914057,168,214.5,135.5,173,135,256,136,168,2.958662,3.0,86,86,0.511905,True
82,25836914057,201,100.313,139.746,63,139,146,141,169,2.935044,3.0,89,89,0.526627,True
83,25887245710,52,159.5,139.5,147,139,172,140,52,2.760093,3.0,30,30,0.576923,True
84,25836914057,168,214.5,139.5,173,139,256,140,168,2.958665,3.0,86,86,0.511905,True
85,25836914057,389,159.252,143.504,63,143,256,145,389,2.989007,3.0,197,197,0.506427,True
86,25836914057,389,159.252,147.504,63,147,256,149,389,2.988874,3.0,197,197,0.506427,True
87,25836914057,389,159.252,151.504,63,151,256,153,389,2.988746,3.0,197,197,0.506427,True
