node_id,hit,collider_id,domain_id,area_px,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,mean_path_length,mean_step_count,mean_boundary_event_count
0,0,0,0,44480,160.778,89.397,0,0,319,179,10.869219,191.763871,0.0
1,1,25836914057,0,389,159.252,27.504,63,27,256,29,8.445387,581.696658,0.0
2,1,25836914057,0,421,153.19,31.618,63,31,256,33,8.431878,571.672209,0.0
3,1,25836914057,0,389,159.252,35.504,63,35,256,37,8.393161,580.192802,0.0
4,1,25836914057,0,169,104.254,39.509,63,39,146,41,8.397642,579.289941,0.0
5,1,25887245710,0,52,159.5,39.5,147,39,172,40,8.138129,580.0,0.0
6,1,25836914057,0,168,214.5,39.5,173,39,256,40,8.395814,580.0,0.0
7,1,25836914057,0,201,100.313,43.746,63,43,146,45,8.400231,559.716418,0.0
8,1,25887245710,0,52,159.5,43.5,147,43,172,44,8.116055,579.5,0.0
9,1,25836914057,0,168,214.5,43.5,173,43,256,44,8.374114,579.5,0.0
10,1,25836914057,0,169,104.254,47.509,63,47,146,49,8.356016,578.786982,0.0
11,1,25887245710,0,52,159.5,47.5,147,47,172,48,8.095765,579.5,0.0
12,1,25836914057,0,168,214.5,47.5,173,47,256,48,8.354171,579.5,0.0
13,1,25836914057,0,201,100.313,51.746,63,51,146,53,8.362458,559.134328,0.0
14,1,25887245710,0,52,159.5,51.5,147,51,172,52,8.077275,579.0,0.0
15,1,25836914057,0,168,214.5,51.5,173,51,256,52,8.336001,579.0,0.0
16,1,25836914057,0,201,100.313,55.746,63,55,146,57,8.346233,559.134328,0.0
17,1,25887245710,0,52,159.5,55.5,147,55,172,56,8.060598,579.0,0.0
18,1,25836914057,0,168,214.5,55.5,173,55,256,56,8.319616,579.0,0.0
19,1,25836914057,0,117,82.231,59.923,63,59,104,61,8.445428,544.230769,0.0
20,1,25937577361,0,10,107.0,59.5,105,59,109,60,8.168158,578.5,0.0
21,1,25836914057,0,74,128.0,59.5,110,59,146,60,8.162164,578.5,0.0
22,1,25887245710,0,52,159.5,59.5,147,59,172,60,8.045745,578.5,0.0
23,1,25836914057,0,168,214.5,59.5,173,59,256,60,8.305021,578.5,0.0
24,1,25836914057,0,201,100.313,63.746,63,63,146,65,8.319159,558.552239,0.0
25,1,25887245710,0,52,159.5,63.5,147,63,172,64,8.032721,578.5,0.0
26,1,25836914057,0,168,214.5,63.5,173,63,256,64,8.292233,578.5,0.0
27,1,25836914057,0,169,104.254,67.509,63,67,146,69,8.283133,577.781065,0.0
28,1,25887245710,0,52,159.5,67.5,147,67,172,68,8.021549,578.5,0.0
29,1,25836914057,0,168,214.5,67.5,173,67,256,68,8.281253,578.5,0.0
30,1,25836914057,0,169,104.254,71.509,63,71,146,73,8.273979,577.278107,0.0
31,1,25887245710,0,52,159.5,71.5,147,71,172,72,8.012228,578.0,0.0
32,1,25836914057,0,168,214.5,71.5,173,71,256,72,8.272093,578.0,0.0
33,1,25836914057,0,201,100.313,75.746,63,75,146,77,8.292105,557.970149,0.0
34,1,25887245710,0,52,159.5,75.5,147,75,172,76,8.004759,578.0,0.0
35,1,25836914057,0,168,214.5,75.5,173,75,256,76,8.264758,578.0,0.0
36,1,25836914057,0,201,100.313,79.746,63,79,146,81,8.286729,547.940299,0.0
37,1,25887245710,0,52,159.5,79.5,147,79,172,80,7.999152,566.0,0.0
38,1,25836914057,0,168,214.5,79.5,173,79,256,80,8.259253,566.0,0.0
39,1,25836914057,0,169,104.254,83.509,63,83,146,85,8.257482,548.946746,0.0
40,1,25887245710,0,52,159.5,83.5,147,83,172,84,7.995412,549.5,0.0
41,1,25836914057,0,168,214.5,83.5,173,83,256,84,8.25558,549.5,0.0
42,1,25836914057,0,201,100.313,87.746,63,87,146,89,8.281459,522.447761,0.0
43,1,25887245710,0,52,159.5,87.5,147,87,172,88,7.993542,535.5,0.0
44,1,25836914057,0,168,214.5,87.5,173,87,256,88,8.253743,535.5,0.0
45,1,25836914057,0,201,100.313,91.746,63,91,146,93,8.28157,512.41791,0.0
46,1,25887245710,0,52,159.5,91.5,147,91,172,92,7.993542,523.5,0.0
47,1,25836914057,0,168,214.5,91.5,173,91,256,92,8.253743,523.5,0.0
48,1,25836914057,0,169,104.254,95.509,63,95,146,97,8.257493,512.662722,0.0
49,1,25887245710,0,52,159.5,95.5,147,95,172,96,7.995412,513.0,0.0
50,1,25836914057,0,168,214.5,95.5,173,95,256,96,8.25558,513.0,0.0
51,1,25836914057,0,201,100.313,99.746,63,99,146,101,8.287282,496.537313,0.0
52,1,25887245710,0,52,159.5,99.5,147,99,172,100,7.999152,504.5,0.0
53,1,25836914057,0,168,214.5,99.5,173,99,256,100,8.259253,504.5,0.0
54,1,25836914057,0,201,100.313,103.746,63,103,146,105,8.292879,489.686567,0.0
55,1,25887245710,0,52,159.5,103.5,147,103,172,104,8.004759,496.5,0.0
56,1,25836914057,0,168,214.5,103.5,173,103,256,104,8.264758,496.5,0.0
57,1,25836914057,0,201,100.313,107.746,63,107,146,109,8.300301,484.253731,0.0
58,1,25887245710,0,52,159.5,107.5,147,107,172,108,8.012228,490.0,0.0
59,1,25836914057,0,168,214.5,107.5,173,107,256,108,8.272093,490.0,0.0
60,1,25836914057,0,169,104.254,111.509,63,111,146,113,8.283176,484.822485,0.0
61,1,25887245710,0,52,159.5,111.5,147,111,172,112,8.021549,485.0,0.0
62,1,25836914057,0,168,214.5,111.5,173,111,256,112,8.281253,485.0,0.0
63,1,25836914057,0,201,100.313,115.746,63,115,146,117,8.320592,475.895522,0.0
64,1,25887245710,0,52,159.5,115.5,147,115,172,116,8.032721,480.0,0.0
65,1,25836914057,0,168,214.5,115.5,173,115,256,116,8.292233,480.0,0.0
66,1,25836914057,0,201,100.313,119.746,63,119,146,121,8.333449,472.970149,0.0
67,1,25887245710,0,52,159.5,119.5,147,119,172,120,8.045745,476.5,0.0
68,1,25836914057,0,74,191.0,119.5,173,119,209,120,8.162164,476.5,0.0
69,1,25987909012,0,10,212.0,119.5,210,119,214,120,8.168158,476.5,0.0
70,1,25836914057,0,84,235.5,119.5,215,119,256,120,8.436521,476.5,0.0
71,1,25836914057,0,201,100.313,123.746,63,123,146,125,8.348103,470.044776,0.0
72,1,25887245710,0,52,159.5,123.5,147,123,172,124,8.060598,473.0,0.0
73,1,25836914057,0,168,214.5,123.5,173,123,256,124,8.319616,473.0,0.0
74,1,25836914057,0,201,100.313,127.746,63,127,146,129,8.364543,467.537313,0.0
75,1,25887245710,0,52,159.5,127.5,147,127,172,128,8.077275,470.0,0.0
76,1,25836914057,0,168,214.5,127.5,173,127,256,128,8.336001,470.0,0.0
77,1,25836914057,0,201,100.313,131.746,63,131,146,133,8.382761,465.447761,0.0
78,1,25887245710,0,52,159.5,131.5,147,131,172,132,8.095765,467.5,0.0
79,1,25836914057,0,168,214.5,131.5,173,131,256,132,8.354171,467.5,0.0
80,1,25836914057,0,201,100.313,135.746,63,135,146,137,8.402745,463.776119,0.0
81,1,25887245710,0,52,159.5,135.5,147,135,172,136,8.116055,465.5,0.0
82,1,25836914057,0,168,214.5,135.5,173,135,256,136,8.374114,465.5,0.0
83,1,25836914057,0,201,100.313,139.746,63,139,146,141,8.424481,462.522388,0.0
84,1,25887245710,0,52,159.5,139.5,147,139,172,140,8.138129,464.0,0.0
85,1,25836914057,0,168,214.5,139.5,173,139,256,140,8.395814,464.0,0.0
86,1,25836914057,0,389,159.252,143.504,63,143,256,145,8.393206,462.48072,0.0
87,1,25836914057,0,421,153.19,147.618,63,147,256,149,8.433379,460.990499,0.0
88,1,25836914057,0,389,159.252,151.504,63,151,256,153,8.445438,459.987147,0.0
