edge_id,node_a,node_b,seam_length_px,mean_continuity_discontinuity_score,max_continuity_discontinuity_score,collider_flip_count,domain_flip_count,path_length_delta_mean,path_length_delta_max,step_count_delta_mean,step_count_delta_max,boundary_event_delta_mean,boundary_event_delta_max
1,0,1,196,2.34962,2.385498,196,0,1.748098,1.927488,170.0,340.0,0.0,0.0
2,0,2,394,2.992696,3.0,394,0,5.737395,12.241164,512.449239,700.0,0.0,0.0
3,0,3,394,2.992692,3.0,394,0,5.746704,12.267276,511.954315,700.0,0.0,0.0
4,0,4,387,2.9927,3.0,387,0,5.759041,12.291763,514.614987,700.0,0.0,0.0
5,0,5,7,0.0,0.0,7,0,,,337.0,337.0,0.0,0.0
6,0,6,171,2.983509,3.0,171,0,5.046973,12.314559,509.403509,700.0,0.0,0.0
7,0,7,52,3.0,3.0,52,0,,,518.5,700.0,0.0,0.0
8,0,8,171,3.0,3.0,171,0,5.046973,12.314559,509.403509,700.0,0.0,0.0
9,0,9,171,2.983549,3.0,171,0,5.059838,12.335669,508.912281,700.0,0.0,0.0
10,0,10,52,3.0,3.0,52,0,,,518.0,700.0,0.0,0.0
11,0,11,171,3.0,3.0,171,0,6.877566,12.335669,510.877193,700.0,0.0,0.0
12,0,12,171,2.98359,3.0,171,0,5.072167,12.355063,508.912281,700.0,0.0,0.0
13,0,13,52,3.0,3.0,52,0,,,518.0,700.0,0.0,0.0
14,0,14,171,3.0,3.0,171,0,5.072167,12.355063,508.912281,700.0,0.0,0.0
15,0,15,171,2.983629,3.0,171,0,5.083783,12.372779,508.912281,700.0,0.0,0.0
16,0,16,52,3.0,3.0,52,0,,,518.0,700.0,0.0,0.0
17,0,17,171,3.0,3.0,171,0,5.083783,12.372779,508.912281,700.0,0.0,0.0
18,0,18,171,2.983666,3.0,171,0,5.094546,12.388794,508.912281,700.0,0.0,0.0
19,0,19,52,3.0,3.0,52,0,,,518.0,700.0,0.0,0.0
20,0,20,171,3.0,3.0,171,0,6.917203,12.388794,510.877193,700.0,0.0,0.0
21,0,21,87,2.968488,3.0,87,0,5.077394,12.322381,498.689655,698.0,0.0,0.0
22,0,22,10,3.0,3.0,10,0,,,516.5,698.0,0.0,0.0
23,0,23,74,3.0,3.0,74,0,,,516.5,698.0,0.0,0.0
24,0,24,52,3.0,3.0,52,0,,,516.5,698.0,0.0,0.0
25,0,25,171,3.0,3.0,171,0,5.077394,12.322381,507.438596,698.0,0.0,0.0
26,0,26,171,2.983731,3.0,171,0,4.541006,10.699877,480.421053,643.0,0.0,0.0
27,0,27,52,3.0,3.0,52,0,,,489.0,643.0,0.0,0.0
28,0,28,171,3.0,3.0,171,0,6.080042,10.699877,482.380117,643.0,0.0,0.0
29,0,29,171,2.983758,3.0,171,0,4.085129,9.320847,457.824561,597.0,0.0,0.0
30,0,30,52,3.0,3.0,52,0,,,466.0,597.0,0.0,0.0
31,0,31,171,3.0,3.0,171,0,5.393478,9.320847,459.783626,597.0,0.0,0.0
32,0,32,171,2.983779,3.0,171,0,3.697446,8.148566,438.666667,558.0,0.0,0.0
33,0,33,52,3.0,3.0,52,0,,,446.5,558.0,0.0,0.0
34,0,34,171,3.0,3.0,171,0,4.809753,8.148566,440.625731,558.0,0.0,0.0
35,0,35,171,2.983795,3.0,171,0,3.366134,7.147785,421.964912,524.0,0.0,0.0
36,0,36,52,3.0,3.0,52,0,,,429.5,524.0,0.0,0.0
37,0,37,171,3.0,3.0,171,0,4.311187,7.147785,423.923977,524.0,0.0,0.0
38,0,38,171,2.983804,3.0,171,0,3.083768,6.29643,407.719298,495.0,0.0,0.0
39,0,39,52,3.0,3.0,52,0,,,415.0,495.0,0.0,0.0
40,0,40,171,3.0,3.0,171,0,3.88669,6.29643,409.678363,495.0,0.0,0.0
41,0,41,171,2.983808,3.0,171,0,2.842766,5.571863,395.929825,471.0,0.0,0.0
42,0,42,52,3.0,3.0,52,0,,,403.0,471.0,0.0,0.0
43,0,43,171,3.0,3.0,171,0,3.524897,5.571863,397.888889,471.0,0.0,0.0
44,0,44,171,2.983701,3.0,171,0,2.636633,4.954771,386.105263,451.0,0.0,0.0
45,0,45,52,3.0,3.0,52,0,,,393.0,451.0,0.0,0.0
46,0,46,171,3.0,3.0,171,0,2.636633,4.954771,386.105263,451.0,0.0,0.0
47,0,47,171,2.982482,3.0,171,0,2.459898,4.42878,377.263158,433.0,0.0,0.0
48,0,48,52,3.0,3.0,52,0,,,384.0,433.0,0.0,0.0
49,0,49,171,3.0,3.0,171,0,2.952196,4.42878,379.222222,433.0,0.0,0.0
50,0,50,171,2.981425,3.0,171,0,2.306651,3.976311,369.894737,418.0,0.0,0.0
51,0,51,52,3.0,3.0,52,0,,,376.5,418.0,0.0,0.0
52,0,52,171,3.0,3.0,171,0,2.724262,3.976311,371.853801,418.0,0.0,0.0
53,0,53,171,2.980513,3.0,171,0,2.174351,3.589741,363.017544,405.0,0.0,0.0
54,0,54,52,3.0,3.0,52,0,,,369.5,405.0,0.0,0.0
55,0,55,171,3.0,3.0,171,0,2.528495,3.589741,364.97076,405.0,0.0,0.0
56,0,56,171,2.979721,3.0,171,0,2.059552,3.258868,357.614035,394.0,0.0,0.0
57,0,57,52,3.0,3.0,52,0,,,364.0,394.0,0.0,0.0
58,0,58,171,3.0,3.0,171,0,2.359797,3.258868,359.567251,394.0,0.0,0.0
59,0,59,171,2.97903,3.0,171,0,1.959378,2.975091,353.192982,385.0,0.0,0.0
60,0,60,52,3.0,3.0,52,0,,,359.5,385.0,0.0,0.0
61,0,61,171,3.0,3.0,171,0,1.959378,2.975091,353.192982,385.0,0.0,0.0
62,0,62,171,2.978423,3.0,171,0,1.87139,2.731109,349.263158,377.0,0.0,0.0
63,0,63,52,3.0,3.0,52,0,,,355.5,377.0,0.0,0.0
64,0,64,171,3.0,3.0,171,0,2.086947,2.731109,351.216374,377.0,0.0,0.0
65,0,65,171,2.977878,3.0,171,0,1.792382,2.517357,345.824561,370.0,0.0,0.0
66,0,66,52,3.0,3.0,52,0,,,352.0,370.0,0.0,0.0
67,0,67,167,3.0,3.0,167,0,1.974372,2.517357,348.107784,370.0,0.0,0.0
68,0,68,4,0.0,0.0,4,0,,,334.0,334.0,0.0,0.0
69,0,69,171,2.977392,3.0,171,0,1.721852,2.332344,343.368421,365.0,0.0,0.0
70,0,70,52,3.0,3.0,52,0,,,349.5,365.0,0.0,0.0
71,0,71,75,3.0,3.0,75,0,,,349.293333,365.0,0.0,0.0
72,0,72,8,3.0,3.0,8,0,,,353.375,365.0,0.0,0.0
73,0,73,88,3.0,3.0,88,0,1.875322,2.332344,341.204545,365.0,0.0,0.0
74,0,74,171,2.976954,3.0,171,0,1.658308,2.171532,340.912281,360.0,0.0,0.0
75,0,75,52,3.0,3.0,52,0,,,347.0,360.0,0.0,0.0
76,0,76,171,3.0,3.0,171,0,1.787573,2.171532,342.865497,360.0,0.0,0.0
77,0,77,171,2.976555,3.0,171,0,1.600408,2.031048,338.947368,356.0,0.0,0.0
78,0,78,52,3.0,3.0,52,0,,,345.0,356.0,0.0,0.0
79,0,79,171,3.0,3.0,171,0,1.709129,2.031048,340.900585,356.0,0.0,0.0
80,0,80,171,2.976187,3.0,171,0,1.547072,1.907577,336.982456,352.0,0.0,0.0
81,0,81,52,3.0,3.0,52,0,,,343.0,352.0,0.0,0.0
82,0,82,171,3.0,3.0,171,0,1.638371,1.907577,338.935673,352.0,0.0,0.0
83,0,83,171,2.975826,3.0,171,0,1.494825,1.798334,335.508772,349.0,0.0,0.0
84,0,84,52,3.0,3.0,52,0,,,341.5,349.0,0.0,0.0
85,0,85,171,3.0,3.0,171,0,1.571987,1.798334,337.461988,349.0,0.0,0.0
86,0,86,171,2.97548,3.0,171,0,1.444582,1.700918,334.526316,347.0,0.0,0.0
87,0,87,52,3.0,3.0,52,0,,,340.5,347.0,0.0,0.0
88,0,88,171,3.0,3.0,171,0,1.510054,1.700918,336.479532,347.0,0.0,0.0
89,0,89,394,2.98903,3.0,394,0,1.420606,1.616699,334.685279,344.0,0.0,0.0
90,0,90,394,2.988894,3.0,394,0,1.372848,1.540033,334.192893,343.0,0.0,0.0
91,0,91,394,2.988763,3.0,394,0,1.326972,1.46964,333.208122,341.0,0.0,0.0
92,4,5,9,1.218786,1.22452,9,0,0.102521,0.116856,0.0,0.0,0.0,0.0
93,6,7,3,1.178796,1.178806,3,0,0.002547,0.002571,0.0,0.0,0.0,0.0
94,7,8,3,1.222571,1.222597,3,0,0.111984,0.112049,0.0,0.0,0.0,0.0
95,9,10,3,1.178804,1.178805,3,0,0.002565,0.002568,0.0,0.0,0.0,0.0
96,10,11,3,1.222461,1.22249,3,0,0.111708,0.111782,0.0,0.0,0.0,0.0
97,12,13,3,1.178801,1.178801,3,0,0.002559,0.00256,0.0,0.0,0.0,0.0
98,13,14,3,1.22235,1.222377,3,0,0.111432,0.111498,0.0,0.0,0.0,0.0
99,15,16,3,1.178799,1.1788,3,0,0.002555,0.002557,0.0,0.0,0.0,0.0
100,16,17,3,1.22225,1.222273,3,0,0.111183,0.111239,0.0,0.0,0.0,0.0
101,18,19,3,1.178796,1.178796,3,0,0.002547,0.002547,0.0,0.0,0.0,0.0
102,19,20,3,1.222159,1.22218,3,0,0.110953,0.111006,0.0,0.0,0.0,0.0
103,21,22,3,2.029429,2.033774,3,0,0.073572,0.084435,0.0,0.0,0.0,0.0
