x,y,neighbor_x,neighbor_y,collider_change,domain_change,hit_distance_delta,hit_normal_angle_delta,path_length_delta,boundary_event_delta,step_count_delta,ownership_flip_score,total_transport_discontinuity_score
160,27,160,28,1,0,9.264708,0.0,1.745182,0,0.0,1.0,2.349036
161,27,161,28,1,0,9.264708,0.0,1.745182,0,0.0,1.0,2.349036
162,27,162,28,1,0,9.264708,0.0,1.745182,0,0.0,1.0,2.349036
163,27,163,28,1,0,9.264708,0.0,1.745182,0,0.0,1.0,2.349036
156,27,156,28,1,0,9.265395,0.0,1.744494,0,0.0,1.0,2.348899
157,27,157,28,1,0,9.265395,0.0,1.744494,0,0.0,1.0,2.348899
158,27,158,28,1,0,9.265395,0.0,1.744494,0,0.0,1.0,2.348899
159,27,159,28,1,0,9.265395,0.0,1.744494,0,0.0,1.0,2.348899
164,27,164,28,1,0,9.265848,0.0,1.744041,0,0.0,1.0,2.348808
165,27,165,28,1,0,9.265848,0.0,1.744041,0,0.0,1.0,2.348808
166,27,166,28,1,0,9.265848,0.0,1.744041,0,0.0,1.0,2.348808
167,27,167,28,1,0,9.265848,0.0,1.744041,0,0.0,1.0,2.348808
152,27,152,28,1,0,9.267921,0.0,1.741968,0,0.0,1.0,2.348394
153,27,153,28,1,0,9.267921,0.0,1.741968,0,0.0,1.0,2.348394
154,27,154,28,1,0,9.267921,0.0,1.741968,0,0.0,1.0,2.348394
155,27,155,28,1,0,9.267921,0.0,1.741968,0,0.0,1.0,2.348394
168,27,168,28,1,0,9.268826,0.0,1.741064,0,0.0,1.0,2.348213
169,27,169,28,1,0,9.268826,0.0,1.741064,0,0.0,1.0,2.348213
170,27,170,28,1,0,9.268826,0.0,1.741064,0,0.0,1.0,2.348213
171,27,171,28,1,0,9.268826,0.0,1.741064,0,0.0,1.0,2.348213
148,27,148,28,1,0,9.272282,0.0,1.737608,0,0.0,1.0,2.347522
149,27,149,28,1,0,9.272282,0.0,1.737608,0,0.0,1.0,2.347522
150,27,150,28,1,0,9.272282,0.0,1.737608,0,0.0,1.0,2.347522
151,27,151,28,1,0,9.272282,0.0,1.737608,0,0.0,1.0,2.347522
172,27,172,28,1,0,9.27364,0.0,1.73625,0,0.0,1.0,2.34725
173,27,173,28,1,0,9.27364,0.0,1.73625,0,0.0,1.0,2.34725
174,27,174,28,1,0,9.27364,0.0,1.73625,0,0.0,1.0,2.34725
175,27,175,28,1,0,9.27364,0.0,1.73625,0,0.0,1.0,2.34725
144,27,144,28,1,0,9.278449,0.0,1.731441,0,0.0,1.0,2.346288
145,27,145,28,1,0,9.278449,0.0,1.731441,0,0.0,1.0,2.346288
146,27,146,28,1,0,9.278449,0.0,1.731441,0,0.0,1.0,2.346288
147,27,147,28,1,0,9.278449,0.0,1.731441,0,0.0,1.0,2.346288
176,27,176,28,1,0,9.280287,0.0,1.729603,0,0.0,1.0,2.345921
177,27,177,28,1,0,9.280287,0.0,1.729603,0,0.0,1.0,2.345921
178,27,178,28,1,0,9.280287,0.0,1.729603,0,0.0,1.0,2.345921
179,27,179,28,1,0,9.280287,0.0,1.729603,0,0.0,1.0,2.345921
140,27,140,28,1,0,9.286454,0.0,1.723435,0,0.0,1.0,2.344687
141,27,141,28,1,0,9.286454,0.0,1.723435,0,0.0,1.0,2.344687
142,27,142,28,1,0,9.286454,0.0,1.723435,0,0.0,1.0,2.344687
143,27,143,28,1,0,9.286454,0.0,1.723435,0,0.0,1.0,2.344687
180,27,180,28,1,0,9.288744,0.0,1.721146,0,0.0,1.0,2.344229
181,27,181,28,1,0,9.288744,0.0,1.721146,0,0.0,1.0,2.344229
182,27,182,28,1,0,9.288744,0.0,1.721146,0,0.0,1.0,2.344229
183,27,183,28,1,0,9.288744,0.0,1.721146,0,0.0,1.0,2.344229
136,27,136,28,1,0,9.296303,0.0,1.713587,0,0.0,1.0,2.342717
137,27,137,28,1,0,9.296303,0.0,1.713587,0,0.0,1.0,2.342717
138,27,138,28,1,0,9.296303,0.0,1.713587,0,0.0,1.0,2.342717
139,27,139,28,1,0,9.296303,0.0,1.713587,0,0.0,1.0,2.342717
184,27,184,28,1,0,9.299044,0.0,1.710846,0,0.0,1.0,2.342169
185,27,185,28,1,0,9.299044,0.0,1.710846,0,0.0,1.0,2.342169
186,27,186,28,1,0,9.299044,0.0,1.710846,0,0.0,1.0,2.342169
187,27,187,28,1,0,9.299044,0.0,1.710846,0,0.0,1.0,2.342169
132,27,132,28,1,0,9.307935,0.0,1.701955,0,0.0,1.0,2.340391
133,27,133,28,1,0,9.307935,0.0,1.701955,0,0.0,1.0,2.340391
134,27,134,28,1,0,9.307935,0.0,1.701955,0,0.0,1.0,2.340391
135,27,135,28,1,0,9.307935,0.0,1.701955,0,0.0,1.0,2.340391
188,27,188,28,1,0,9.31113,0.0,1.69876,0,0.0,1.0,2.339752
189,27,189,28,1,0,9.31113,0.0,1.69876,0,0.0,1.0,2.339752
190,27,190,28,1,0,9.31113,0.0,1.69876,0,0.0,1.0,2.339752
191,27,191,28,1,0,9.31113,0.0,1.69876,0,0.0,1.0,2.339752
128,27,128,28,1,0,9.32138,0.0,1.68851,0,0.0,1.0,2.337702
129,27,129,28,1,0,9.32138,0.0,1.68851,0,0.0,1.0,2.337702
130,27,130,28,1,0,9.32138,0.0,1.68851,0,0.0,1.0,2.337702
131,27,131,28,1,0,9.32138,0.0,1.68851,0,0.0,1.0,2.337702
192,27,192,28,1,0,9.325024,0.0,1.684866,0,0.0,1.0,2.336973
193,27,193,28,1,0,9.325024,0.0,1.684866,0,0.0,1.0,2.336973
194,27,194,28,1,0,9.325024,0.0,1.684866,0,0.0,1.0,2.336973
195,27,195,28,1,0,9.325024,0.0,1.684866,0,0.0,1.0,2.336973
124,27,124,28,1,0,9.336608,0.0,1.673282,0,0.0,1.0,2.334656
125,27,125,28,1,0,9.336608,0.0,1.673282,0,0.0,1.0,2.334656
126,27,126,28,1,0,9.336608,0.0,1.673282,0,0.0,1.0,2.334656
127,27,127,28,1,0,9.336608,0.0,1.673282,0,0.0,1.0,2.334656
196,27,196,28,1,0,9.340713,0.0,1.669177,0,0.0,1.0,2.333835
197,27,197,28,1,0,9.340713,0.0,1.669177,0,0.0,1.0,2.333835
