region_id,collider_id,area,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,contour_pixel_count,mean_discontinuity_score,max_discontinuity_score,boundary_flip_count,high_vector_count,boundary_high_vector_density,boundary_aligns_with_high_vector_density
0,25836914057,12852,121.713,90.75,63,25,256,154,2721,2.848155,3.029963,4090,4090,1.503124,True
1,25887245710,7,169.0,37.0,166,37,172,37,7,1.218783,1.224511,9,9,1.285714,True
2,25887245710,78,159.5,40.0,147,39,172,41,54,2.662629,3.0,32,32,0.592593,True
3,25836914057,252,214.5,40.0,173,39,256,41,170,2.93871,3.0,87,87,0.511765,True
4,25887245710,260,158.85,48.0,147,43,172,53,118,2.499556,3.0,72,72,0.610169,True
5,25836914057,252,214.5,44.0,173,43,256,45,170,2.938706,3.0,87,87,0.511765,True
6,25836914057,252,214.5,48.0,173,47,256,49,170,2.938702,3.0,87,87,0.511765,True
7,25836914057,252,214.5,52.0,173,51,256,53,170,2.938698,3.0,87,87,0.511765,True
8,25887245710,78,159.5,56.0,147,55,172,57,54,2.66259,3.0,32,32,0.592593,True
9,25836914057,252,214.5,56.0,173,55,256,57,170,2.938695,3.0,87,87,0.511765,True
10,25937577361,22,107.091,60.091,105,58,109,62,13,2.162016,3.029963,20,20,1.538462,True
11,25887245710,273,159.19,63.905,147,59,172,69,94,2.369785,3.0,60,60,0.638298,True
12,25836914057,523,213.319,62.0,173,59,256,65,306,2.92022,3.0,156,156,0.509804,True
13,25836914057,252,214.5,68.0,173,67,256,69,170,2.938688,3.0,87,87,0.511765,True
14,25887245710,260,158.85,76.0,147,71,172,81,118,2.499495,3.0,72,72,0.610169,True
15,25836914057,252,214.5,72.0,173,71,256,73,170,2.938686,3.0,87,87,0.511765,True
16,25836914057,252,214.5,76.0,173,75,256,77,170,2.938685,3.0,87,87,0.511765,True
17,25836914057,252,214.5,80.0,173,79,256,81,170,2.938684,3.0,87,87,0.511765,True
18,25887245710,169,159.0,86.0,147,83,172,89,86,2.549664,3.0,52,52,0.604651,True
19,25836914057,252,214.5,84.0,173,83,256,85,170,2.938684,3.0,87,87,0.511765,True
20,25836914057,252,214.5,88.0,173,87,256,89,170,2.938683,3.0,87,87,0.511765,True
21,25887245710,455,158.943,99.943,147,91,172,109,158,2.36947,3.0,100,100,0.632911,True
22,25836914057,252,214.5,92.0,173,91,256,93,170,2.938683,3.0,87,87,0.511765,True
23,25836914057,555,212.984,98.0,173,95,256,101,242,2.89962,3.0,124,124,0.512397,True
24,25836914057,252,214.5,104.0,173,103,256,105,170,2.938686,3.0,87,87,0.511765,True
25,25836914057,252,214.5,108.0,173,107,256,109,170,2.938687,3.0,87,87,0.511765,True
26,25887245710,273,159.19,115.905,147,111,172,121,94,2.369786,3.0,60,60,0.638298,True
27,25836914057,519,213.333,113.977,173,111,256,117,306,2.887005,3.0,162,162,0.529412,True
28,25987909012,4,211.5,117.0,210,117,213,117,4,2.023469,2.029963,6,6,1.5,True
29,25836914057,112,191.17,120.009,173,119,210,121,77,2.79505,3.0,45,45,0.584416,True
30,25987909012,13,212.0,119.846,210,119,214,121,10,2.159907,3.0,13,13,1.3,True
31,25836914057,127,235.331,120.008,214,119,256,121,87,2.917319,3.0,47,47,0.54023,True
32,25887245710,78,159.5,124.0,147,123,172,125,54,2.662592,3.0,32,32,0.592593,True
33,25836914057,252,214.5,124.0,173,123,256,125,170,2.938696,3.0,87,87,0.511765,True
34,25887245710,273,159.19,131.905,147,127,172,137,94,2.369842,3.0,60,60,0.638298,True
35,25836914057,523,213.319,130.0,173,127,256,133,306,2.920233,3.0,156,156,0.509804,True
36,25836914057,252,214.5,136.0,173,135,256,137,170,2.938706,3.0,87,87,0.511765,True
37,25887245710,85,160.282,140.165,147,139,172,142,55,1.996354,3.0,60,60,1.090909,True
