group_key,from_step,to_step,lineage_type,from_node,to_node,overlap_px,centroid_distance,persistence_basis
domain_resolver_stress|checkerboard|1|full_frame_control_plus_roi_seeds,0.02,0.016,persist,0,0,289,0.0,overlap
domain_resolver_stress|checkerboard|1|full_frame_control_plus_roi_seeds,0.016,0.015,persist,0,0,289,0.0,overlap
domain_resolver_stress|checkerboard|1|full_frame_control_plus_roi_seeds,0.015,0.014,persist,0,0,289,0.0,overlap
domain_resolver_stress|checkerboard|1|full_frame_control_plus_roi_seeds,0.014,0.013,persist,0,0,289,0.0,overlap
domain_resolver_stress|checkerboard|1|full_frame_control_plus_roi_seeds,0.013,0.0125,persist,0,0,289,0.0,overlap
domain_resolver_stress|checkerboard|1|full_frame_control_plus_roi_seeds,0.0125,0.011,persist,0,0,289,0.0,overlap
domain_resolver_stress|checkerboard|1|full_frame_control_plus_roi_seeds,0.011,0.010,persist,0,0,289,0.0,overlap
domain_resolver_stress|checkerboard|1|full_frame_control_plus_roi_seeds,0.010,0.0075,persist,0,0,289,0.0,overlap
domain_resolver_stress|checkerboard|1|full_frame_control_plus_roi_seeds,0.0075,0.00625,persist,0,0,289,0.0,overlap
domain_resolver_stress|checkerboard|1|full_frame_control_plus_roi_seeds,0.00625,0.003125,persist,0,0,289,0.0,overlap
domain_resolver_stress|checkerboard|4|full_frame_control_plus_roi_seeds,0.02,0.016,persist,0,0,289,0.0,overlap
domain_resolver_stress|checkerboard|4|full_frame_control_plus_roi_seeds,0.016,0.015,persist,0,0,289,0.0,overlap
domain_resolver_stress|checkerboard|4|full_frame_control_plus_roi_seeds,0.015,0.003125,persist,0,0,289,0.0,overlap
domain_resolver_stress|row|1|full_frame_control_plus_roi_seeds,0.02,0.016,persist,0,0,289,0.0,overlap
domain_resolver_stress|row|1|full_frame_control_plus_roi_seeds,0.016,0.015,persist,0,0,289,0.0,overlap
domain_resolver_stress|row|1|full_frame_control_plus_roi_seeds,0.015,0.014,persist,0,0,289,0.0,overlap
domain_resolver_stress|row|1|full_frame_control_plus_roi_seeds,0.014,0.013,persist,0,0,289,0.0,overlap
domain_resolver_stress|row|1|full_frame_control_plus_roi_seeds,0.013,0.0125,persist,0,0,289,0.0,overlap
domain_resolver_stress|row|1|full_frame_control_plus_roi_seeds,0.0125,0.011,persist,0,0,289,0.0,overlap
domain_resolver_stress|row|1|full_frame_control_plus_roi_seeds,0.011,0.010,persist,0,0,289,0.0,overlap
domain_resolver_stress|row|1|full_frame_control_plus_roi_seeds,0.010,0.0075,persist,0,0,289,0.0,overlap
domain_resolver_stress|row|1|full_frame_control_plus_roi_seeds,0.0075,0.00625,persist,0,0,289,0.0,overlap
domain_resolver_stress|row|1|full_frame_control_plus_roi_seeds,0.00625,0.003125,persist,0,0,289,0.0,overlap
domain_resolver_stress|row|4|full_frame_control_plus_roi_seeds,0.02,0.016,persist,0,0,289,0.0,overlap
domain_resolver_stress|row|4|full_frame_control_plus_roi_seeds,0.016,0.015,persist,0,0,289,0.0,overlap
domain_resolver_stress|row|4|full_frame_control_plus_roi_seeds,0.015,0.003125,persist,0,0,289,0.0,overlap
